Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Justin Martinez,ARI,,24,27,24,100,.223,.278,1,0.8083516367831756,0.6484665427509294,0.5004055150040552,0.9776951672862454,0.9535315985130112,0.9637546468401487,0.9656133828996283,0.8578066914498141,0.8847583643122676,0.6301115241635687,0.03438661710037175,0.9981412639405205,0.9340148698884758,1,0.5012165450121655,0.9312267657992565,0.9879182156133829,0.9981412639405205,.160,.216,0,7.4,31.914893617021278,87.2,50,51.9,4,54.3,.167,.259,.375,.333,0,0,2,0,1,4,1,14,46,25,0.46,0.566038,0.666667,0.23
Taj Bradley,MIN,,24,38,35,159,.183,.132,0.9981412639405205,0.801226481888504,0.8882434944237919,0.5004055150040552,0.9925650557620818,0.9907063197026023,0.9888475836431226,0.6068773234200744,0.8141263940520446,0.9851301115241635,0.9758364312267658,0.9814126394052045,0.9823420074349443,0.026022304832713755,0.7704460966542751,0.967558799675588,0.007434944237918215,0.7156133828996283,0.966542750929368,.133,.184,5,7.9,35.714285714285715,82.6,20,39.5,24,31.8,.057,.132,.143,.053,2.6,1,3,0,0,2,1,15,88,28,0.553459,0.782609,0.814815,0.169811
Bubba Chandler,PIT,,23,159,142,608,.238,.245,0.9962825278810409,0.8018460605749972,0.8529275092936803,0.5004055150040552,0.9516728624535316,0.9154275092936803,0.9107806691449815,0.8094795539033457,0.6737918215613383,0.8475836431226765,0.8940520446096655,0.7973977695167286,0.9377323420074349,0.5631970260223048,0.820631970260223,0.6167883211678832,0.6468401486988847,0.8104089219330854,0.8680297397769516,.173,.252,3.4,9.4,31.290322580645164,85.3,30.7,34,12,33,.183,.270,.261,.279,1.9,3,15,5,0,26,2,54,288,95,0.473684,0.6369640000000001,0.797927,0.148026
Bryan Woo,SEA,,25,37,37,149,.127,.139,0.9944237918215614,0.8686056640446379,0.8122676579925651,0.5004055150040552,0.9981412639405205,0.9944237918215614,0.9944237918215614,0.9656133828996283,1,0.9507434944237918,0.9433085501858736,0.34572490706319703,0.9869888475836431,0.7741635687732342,0.9693308550185874,0.8077858880778589,0.5511152416356877,0.9851301115241635,0.9869888475836431,.120,.171,0,0,33.33333333333333,84.2,38.1,43.2,8,38.7,.135,.135,.189,.238,0,0,0,2,0,5,0,16,75,29,0.5,0.65,0.673077,0.186667
Jacob Misiorowski,MIL,,23,69,56,294,.239,.205,0.9925650557620818,0.834683730959136,0.9735130111524164,0.5004055150040552,0.9479553903345725,0.9925650557620818,0.9925650557620818,0.9656133828996283,0.2527881040892193,0.8903345724907064,0.9739776951672863,0.9618959107806692,0.8921933085501859,0.7741635687732342,0.8717472118959108,0.39172749391727496,0.9052044609665427,0.6440520446096655,0.8568773234200744,.128,.177,0,14.5,31.952662721893486,82.9,23.5,31.9,8,34.4,.071,.246,.143,.091,0,0,10,1,0,4,1,22,131,45,0.44745799999999997,0.576642,0.822785,0.145763
Paul Skenes,PIT,,23,104,96,421,.214,.222,0.9907063197026023,0.7888349081586403,0.7030669144981413,0.5004055150040552,0.9860594795539034,0.949814126394052,0.921003717472119,0.46189591078066916,0.8252788104089219,0.5752788104089219,0.7908921933085502,0.6384758364312267,0.9888475836431226,0.8615241635687733,0.966542750929368,0.8077858880778589,0.3903345724907063,0.9702602230483272,0.9739776951672863,.161,.245,6,7.7,28.000000000000004,86.3,34,43.3,6,38.6,.177,.240,.250,.320,2.9,3,8,2,1,17,1,45,210,81,0.5,0.670996,0.735484,0.172986
Kumar Rocker,TEX,,25,35,34,132,.124,.175,0.9888475836431226,0.8269389973779712,0.6463754646840149,0.5004055150040552,1,1,0.9981412639405205,0.40892193308550184,0.9907063197026023,1,0.2342007434944238,0.9442379182156134,0.9962825278810409,0.8615241635687733,0.9888475836431226,0.978102189781022,0.2100371747211896,0.43866171003717475,1,.097,.153,6.3,2.9,48.48484848484848,89,25,51.4,6,41.3,.118,.143,.265,.200,2.9,1,1,2,0,4,1,18,75,31,0.568182,0.696429,0.8461540000000001,0.234848
Logan Henderson,MIL,,23,98,90,387,.251,.306,0.9869888475836431,0.6483454409963106,0.5720260223048328,0.5004055150040552,0.9200743494423792,0.8382899628252788,0.7639405204460966,0.662639405204461,0.9414498141263941,0.9814126394052045,0.25092936802973975,0.6105947955390335,0.7072490706319703,0.0018587360594795538,0.6013011152416357,0.8783454987834549,0.362453531598513,0.5436802973977695,0.7472118959107806,.191,.302,4.7,6.1,35.148514851485146,88.9,34.4,26.5,29,28.6,.211,.276,.433,.237,3.1,3,6,5,0,19,5,26,199,57,0.511628,0.673797,0.833333,0.13436700000000001
Franco Aleman,CLE,,25,91,76,394,.256,.263,0.9851301115241635,0.7099935203023824,0.49790892193308556,0.5004055150040552,0.8996282527881041,0.9349442379182156,0.9442379182156134,0.8968401486988847,0.5157992565055762,0.912639405204461,0.05483271375464684,0.09572490706319703,0.9721189591078067,0.9024163568773235,0.8903345724907064,0.6686942416869425,0.39219330855018586,0.7481412639405205,0.8773234200743495,.168,.235,2.3,11,32.45614035087719,90.7,44.2,37.4,5,35.1,.184,.311,.237,.317,1.1,1,10,1,0,14,1,34,188,66,0.481013,0.670886,0.811321,0.149367
Yilber Díaz,ARI,,25,211,191,818,.260,.302,0.983271375464684,0.7401205339331135,0.7476765799256504,0.5004055150040552,0.8838289962825279,0.7369888475836431,0.7741635687732342,0.8429368029739777,0.7713754646840149,0.7342007434944238,0.6301115241635687,0.7434944237918215,0.8392193308550185,0.48977695167286245,0.9349442379182156,0.462287104622871,0.6338289962825279,0.7211895910780669,0.9144981412639405,.207,.299,3.1,8.5,29.519450800915326,87.2,31.8,29.9,13,36.6,.246,.313,.372,.344,1.9,4,18,10,1,47,4,63,374,137,0.45598999999999995,0.639175,0.814516,0.155257
