Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.850000023841858,679,1459.8,67.2959824492854,0.41073342241037103,68.7067158716958,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2699999809265137,727,1350.2,58.6163122499032,-2.230596635819604,57.38571561408361,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF",4.650000095367432,715,1193.1,46.1749236703143,0.41073342241037103,47.5856570927246,"Juan Soto","20123",665742
"Cal Raleigh ","SEA","C/DH",18.729999542236328,705,1194.2,46.2620371485927,-0.05968173484840416,47.20235541374431,"Cal Raleigh","21534",663728
"Kyle Schwarber ","PHI","OF/DH",24.690000534057617,724,1182.9,45.3671441444593,0.41073342241037103,46.77787756686969,"Kyle Schwarber","16478",656941
"Geraldo Perdomo ","ARI","SS",76.7699966430664,720,1030.5,33.297967699333,2.735263442838431,37.03323114217136,"Geraldo Perdomo","22799",672695
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,687,1012.1,31.8407967899476,2.735263442838431,35.57606023278603,"Bobby Witt Jr.","25764",677951
"Francisco Lindor ","NYM","SS",25.350000381469727,732,997.2,30.6608051296301,2.735263442838431,34.39606857246855,"Francisco Lindor","12916",596019
"Pete Alonso ","BAL","1B",24.440000534057617,709,1034.1,33.583066355517,-0.2436209483900635,34.33944540712696,"Pete Alonso","19251",624413
"George Springer ","TOR","OF/DH",94.37999725341797,586,1011.6,32.8529017685112,0.41073342241037103,34.26363519092153,"George Springer","12856",543807
"Rafael Devers ","SFG","1B/DH",61.619998931884766,729,1027.6,33.0683048929624,-0.2436209483900635,33.82468394457236,"Rafael Devers","17350",646240
"Matt Olson ","ATL","1B",48.0099983215332,724,1017.8,32.2922029955724,-0.2436209483900635,33.048582047182336,"Matt Olson","14344",621566
"Corbin Carroll ","ARI","OF",14.100000381469727,642,1000.7,30.937984378698,0.41073342241037103,32.34871780110836,"Corbin Carroll","25878",682998
"José Ramírez ","CLE","3B/DH",6.28000020980835,673,1031.5,33.3771617704952,-2.230596635819604,32.14656513467557,"Jose Ramirez","13510",608070
"Nick Kurtz ","ATH","1B/DH",19.8700008392334,489,884.4,30.0662084432474,-0.2436209483900635,30.82258749485728,"Nick Kurtz","35110",701762
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,691,947.3,26.709020978634,0.41073342241037103,28.119754401044375,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,680,953,27.1604271842588,-0.2436209483900635,27.916806235868744,"Vladimir Guerrero Jr.","19611",665489
"Julio Rodríguez ","SEA","OF",9.489999771118164,710,944.1,26.4555999509148,0.41073342241037103,27.866333373325187,"Julio Rodriguez","23697",677594
"James Wood ","WSN","OF/DH",37.790000915527344,689,933.3,25.6003039823625,0.41073342241037103,27.01103740477292,"James Wood","29518",695578
"Brent Rooker ","ATH","OF/DH",42.11000061035156,699,926.1,25.0301066699944,0.41073342241037103,26.440840092404745,"Brent Rooker","19627",667670
"Elly De La Cruz ","CIN","SS",8.449999809265137,699,892.1,22.337508250478,2.735263442838431,26.07277169331641,"Elly De La Cruz","26668",682829
"Ketel Marte ","ARI","2B/DH",32.63999938964844,556,847,22.0712048283725,2.6383783436995003,25.70958317207206,"Ketel Marte","13613",606466
"Byron Buxton ","MIN","OF/DH",73.4800033569336,542,853.8,23.6614265264205,0.41073342241037103,25.0721599488309,"Byron Buxton","14161",621439
"Freddie Freeman ","LAD","1B",67.87999725341797,627,916.3,24.2540047726043,-0.2436209483900635,25.010383824214294,"Freddie Freeman","5361",518692
"Trea Turner ","PHI","SS",26.780000686645508,639,877,21.1416777759281,2.735263442838431,24.876941218766486,"Trea Turner","16252",607208
"Yandy Díaz ","TBR","1B/DH",138.63999938964844,651,913.7,24.0481001875825,-0.2436209483900635,24.80447923919245,"Yandy Diaz","16578",650490
"Junior Caminero ","TBR","3B/DH",16.479999542236328,653,935.1,25.7428533104546,-2.230596635819604,24.51225667463499,"Junior Caminero","28163",691406
"Bo Bichette ","NYM","SS/DH",92.86000061035156,628,862.3,19.977524929843,2.735263442838431,23.712788372681462,"Bo Bichette","19612",666182
"Maikel Garcia ","KCR","2B/3B/SS/OF/DH",63.150001525878906,666,856.5,19.518199317102,2.735263442838431,23.253462759940433,"Maikel Garcia","22715",672580
"Cody Bellinger ","NYY","1B/OF",80.98999786376953,656,877.7,21.1971136257416,0.41073342241037103,22.607847048152003,"Cody Bellinger","15998",641355
"Gunnar Henderson ","BAL","SS/DH",12.510000228881836,651,844.7,18.5837092773875,2.735263442838431,22.318972720225922,"Gunnar Henderson","26289",683002
"Brice Turang ","MIL","2B",48.18000030517578,659,845.8,18.6708227556659,2.6383783436995003,22.30920109936546,"Brice Turang","22186",668930
"Randy Arozarena ","SEA","OF",89.37999725341797,709,872,20.7457074201168,0.41073342241037103,22.1564408425272,"Randy Arozarena","19290",668227
"Michael Busch ","CHC","1B",106.45999908447266,592,869.4,21.1407754146063,-0.2436209483900635,21.897154466216172,"Michael Busch","26319",683737
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,412,685,20.0592717312912,0.41073342241037103,21.470005153701546,"Ronald Acuna Jr.","18401",660670
"Jeremy Peña ","HOU","SS",122.9800033569336,543,778.6,17.6309108025807,2.735263442838431,21.366174245419106,"Jeremy Pena","21636",665161
"Kyle Tucker ","LAD","OF/DH",13.130000114440918,597,859,19.9415492123243,0.41073342241037103,21.352282634734706,"Kyle Tucker","18345",663656
"Eugenio Suárez ","CIN","3B",97.91999816894531,657,895,22.5671710568485,-2.230596635819604,21.3365744210289,"Eugenio Suarez","12552",553993
"Vinnie Pasquantino ","KCR","1B/DH",77.0999984741211,682,869.5,20.5477222422112,-0.2436209483900635,21.304101293821148,"Vinnie Pasquantino","27676",686469
"Kyle Stowers ","MIA","OF/DH",164.42999267578125,457,723.7,19.7436115255193,0.41073342241037103,21.15434494792969,"Kyle Stowers","26151",669065
"Jarren Duran ","BOS","OF",64.04000091552734,696,858.6,19.6845068665427,0.41073342241037103,21.09524028895309,"Jarren Duran","24617",680776
"Riley Greene ","DET","OF/DH",78.4800033569336,655,853,19.2410200680342,0.41073342241037103,20.651753490444506,"Riley Greene","25976",682985
"Seiya Suzuki ","CHC","OF/DH",113.43000030517578,651,840.7,18.2669329927385,0.41073342241037103,19.677666415148874,"Seiya Suzuki","30116",673548
"Manny Machado ","SDP","3B/DH",37.52000045776367,678,873.1,20.8328208983953,-2.230596635819604,19.602224262575692,"Manny Machado","11493",592518
"Taylor Ward ","BAL","OF",148.42999267578125,663,838.7,18.108544850414,0.41073342241037103,19.519278272824376,"Taylor Ward","17548",621493
"Shea Langeliers ","ATH","C/DH",54.04999923706055,523,769.5,18.4126762037824,-0.05968173484840416,19.35299446893396,"Shea Langeliers","25816",669127
"Tyler Soderstrom ","ATH","1B/OF",82.8499984741211,624,836.1,17.9026402653922,0.41073342241037103,19.313373687802535,"Tyler Soderstrom","27467",691016
"Bryce Harper ","PHI","1B",47.900001525878906,580,824.4,18.478501081572,-0.2436209483900635,19.234880133181953,"Bryce Harper","11579",547180
"Josh Naylor ","SEA","1B/DH",67.45999908447266,604,838.2,18.0689478148329,-0.2436209483900635,18.825326866442822,"Josh Naylor","18839",647304
"Christian Yelich ","MIL","OF/DH",127.22000122070312,644,829.7,17.3957982099538,0.41073342241037103,18.806531632364162,"Christian Yelich","11477",592885
"Jazz Chisholm Jr. ","NYY","2B/3B",19.520000457763672,531,734.3,15.02407231936,2.6383783436995003,18.662450663059527,"Jazz Chisholm Jr.","20454",665862
"Hunter Goodman ","COL","C/DH",67.36000061035156,579,808.4,17.2865175154149,-0.05968173484840416,18.226835780566574,"Hunter Goodman","29715",696100
"Corey Seager ","TEX","SS/DH",95.08999633789062,445,644,14.3333029231552,2.735263442838431,18.068566365993565,"Corey Seager","13624",608369
"Trevor Story ","BOS","SS",111.33000183105469,654,784.8,13.8399844147689,2.735263442838431,17.575247857607344,"Trevor Story","12564",596115
"Will Smith ","LAD","C",95.69000244140625,436,663.1,16.5220038343043,-0.05968173484840416,17.462322099455804,"Will Smith","19197",669257
"Jose Altuve ","HOU","2B/OF/DH",116.5199966430664,654,784.5,13.8162261934202,2.6383783436995003,17.45460453711974,"Jose Altuve","5417",514888
"Willy Adames ","SFG","SS",133.92999267578125,686,777.6,13.2697871024007,2.735263442838431,17.005050545239165,"Willy Adames","15986",642715
"Pete Crow-Armstrong ","CHC","OF",32.939998626708984,647,806.2,15.534737537641,0.41073342241037103,16.945470960051363,"Pete Crow-Armstrong","27769",691718
"Spencer Torkelson ","DET","1B/DH",188.35000610351562,649,812.4,16.0257407788469,-0.2436209483900635,16.78211983045686,"Spencer Torkelson","27465",679529
"Ramón Laureano ","SDP","OF/DH",224.47999572753906,488,696.9,15.292441672765,0.41073342241037103,16.70317509517536,"Ramon Laureano","17128",657656
"Jorge Polanco ","NYM","2B/3B/DH",209.42999267578125,524,698.4,12.7068561717077,2.6383783436995003,16.345234515407213,"Jorge Polanco","13152",593871
"CJ Abrams ","WSN","SS",65,635,766.5,12.3907329124998,2.735263442838431,16.12599635533823,"CJ Abrams","25768",682928
"Zach Neto ","LAA","SS",32.29999923706055,554,719.8,12.1479621214126,2.735263442838431,15.883225564251022,"Zach Neto","31347",687263
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,530,724.9,14.3547696228738,-0.05968173484840416,15.29508788802541,"Ben Rice","29576",700250
"Trent Grisham ","NYY","OF",253.82000732421875,581,765.1,13.7071710892119,0.41073342241037103,15.117904511622255,"Trent Grisham","18564",663757
"Ian Happ ","CHC","OF",184.86000061035156,663,782.8,13.6815962724444,0.41073342241037103,15.092329694854788,"Ian Happ","17919",664023
"Jonathan Aranda ","TBR","1B/DH",195.60000610351562,422,622,14.3188295236806,-0.2436209483900635,15.075208575290503,"Jonathan Aranda","21837",666018
"Brandon Nimmo ","TEX","OF",145.4600067138672,652,781.6,13.5865633870497,0.41073342241037103,14.997296809460096,"Brandon Nimmo","12927",607043
"TJ Friedl ","CIN","OF",265.1499938964844,685,778.8,13.3648199877955,0.41073342241037103,14.775553410205806,"TJ Friedl","19522",670770
"Nico Hoerner ","CHC","2B/SS",101.93000030517578,649,746.8,10.8306097106035,2.6383783436995003,14.468988054303036,"Nico Hoerner","21479",663538
"Giancarlo Stanton ","NYY","OF/DH",251.4600067138672,281,470.6,12.9209888636023,0.41073342241037103,14.331722286012651,"Giancarlo Stanton","4949",519317
"Jacob Wilson ","ATH","SS",196.44000244140625,523,663.1,9.98642703211933,2.735263442838431,13.721690474957747,"Jacob Wilson","33266",805779
"Mickey Moniak ","COL","OF/DH",245.8300018310547,461,631.1,12.1097542461397,0.41073342241037103,13.520487668550016,"Mickey Moniak","19956",666160
"Iván Herrera ","STL","C/DH",178.42999267578125,452,627.9,12.5324273703706,-0.05968173484840416,13.472745635522212,"Ivan Herrera","20599",671056
"Brandon Lowe ","PIT","2B/DH",187.57000732421875,553,687.6,9.67303460242713,2.6383783436995003,13.311412946126655,"Brandon Lowe","18882",664040
"Andy Pages ","LAD","OF",133.4199981689453,624,759.6,11.8442938214802,0.41073342241037103,13.255027243890668,"Andy Pages","24816",681624
"Mookie Betts ","LAD","SS",60.58000183105469,663,729.9,9.49222990796157,2.735263442838431,13.2274933508,"Mookie Betts","13611",605141
"William Contreras ","MIL","C/DH",56.560001373291016,659,759.4,11.8284550072479,-0.05968173484840416,12.768773272399441,"William Contreras","20503",661388
"Mike Trout ","LAA","OF/DH",178.44000244140625,556,711.1,11.3087305574232,0.41073342241037103,12.719463979833602,"Mike Trout","10155",545361
"Ryan O'Hearn ","PIT","1B/OF/DH",285.44000244140625,544,698.1,11.1806665015809,0.41073342241037103,12.591399923991279,"Ryan O'Hearn","16442",656811
"Heliot Ramos ","SFG","OF",218.8000030517578,695,750.3,11.1077889596714,0.41073342241037103,12.518522382081773,"Heliot Ramos","22515",671218
"Alec Burleson ","STL","1B/OF/DH",175.19000244140625,546,698.1,11.0304233567031,0.41073342241037103,12.441156779113463,"Alec Burleson","27615",676475
"Wyatt Langford ","TEX","OF",37.75,573,718.8,10.6414581739111,0.41073342241037103,12.052191596321485,"Wyatt Langford","33333",694671
"Gleyber Torres ","DET","2B/DH",261.510009765625,628,715.6,8.35975469034144,2.6383783436995003,11.99813303404094,"Gleyber Torres","16997",650402
"Zach McKinstry ","DET","2B/3B/SS/OF",510.30999755859375,511,626.5,7.98938289684797,2.6383783436995003,11.627761240547468,"Zach McKinstry","19392",656716
"Jo Adell ","LAA","OF",120.33000183105469,573,709.8,9.9287115334509,0.41073342241037103,11.339444955861266,"Jo Adell","20220",666176
"Dansby Swanson ","CHC","SS",152.30999755859375,645,705.3,7.5440557573703,2.735263442838431,11.27931920020873,"Dansby Swanson","18314",621020
"Willson Contreras ","BOS","1B/DH",168.1999969482422,563,706.9,10.4502644514695,-0.2436209483900635,11.206643503079386,"Willson Contreras","11609",575929
