Name,Team,POS,ADP,IP,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",7.019999980926514,195.1,1238.7400451660155,54.385804309478885,-15.620776430305826,49.021230396288075,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.649999618530273,187.2,1202.3799774169922,52.24836032043376,-15.620776430305826,46.373413643078855,"Paul Skenes","33677",694973
"Cristopher Sánchez ","PHI","SP",24.75,202,1194.6000000000004,50.567464385555766,-15.620776430305826,44.29115818301437,"Cristopher Sanchez","20778",650911
"Garrett Crochet ","BOS","SP",12.239999771118164,205.1,1165.5400451660157,48.05362949225941,-15.620776430305826,41.1770769816419,"Garrett Crochet","27463",676979
"Logan Webb ","SFG","SP",57.189998626708984,207,1123.6000000000001,44.42560083333464,-15.620776430305826,36.68275801307062,"Logan Webb","17995",657277
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,173.2,1040.6799774169922,43.299917106968906,-15.620776430305826,35.288286745162566,"Yoshinobu Yamamoto","33825",808967
"Hunter Brown ","HOU","SP",36.189998626708984,185.1,1055.840045166016,40.3278177488275,-15.620776430305826,31.60651800033346,"Hunter Brown","25880",686613
"Max Fried ","NYY","SP",50.04999923706055,195.1,1070.1400451660159,39.80104100096516,-15.620776430305826,30.95395900681611,"Max Fried","13743",608331
"Zack Wheeler ","PHI","SP",110.48999786376953,149.2,883.1799774169922,38.314391659351244,-15.620776430305826,29.112331786150882,"Zack Wheeler","10310",554430
"Nathan Eovaldi ","TEX","SP",132.50999450683594,130,800,38.03012141412581,-15.620776430305826,28.76018430457731,"Nathan Eovaldi","9132",543135
"Chris Sale ","ATL","SP",39.36000061035156,125.2,759.9799774169924,36.295991843299554,-15.620776430305826,26.61198423318245,"Chris Sale","10603",519242
"Carlos Rodón ","NYY","SP",202.3000030517578,195.1,1016.9400451660158,35.19896859282201,-15.620776430305826,25.253016907647,"Carlos Rodon","16137",607074
"Jesús Luzardo ","PHI","SP",70.58999633789062,183.2,985.6799774169922,34.94253922206777,-15.620776430305826,24.93535806494614,"Jesus Luzardo","19959",666200
"Trevor Rogers ","BAL","SP",146.07000732421875,109.2,671.2799774169923,34.382341674951675,-15.620776430305826,24.241398149288482,"Trevor Rogers","22286",669432
"Bryan Woo ","SEA","SP",34.77000045776367,186.2,989.8799774169922,34.22598184999147,-15.620776430305826,24.047703172400023,"Bryan Woo","30279",693433
"Nick Pivetta ","SDP","SP",96.01000213623047,181.2,964.8799774169925,33.863151968616606,-15.620776430305826,23.59823780938086,"Nick Pivetta","15454",601713
"Kevin Gausman ","TOR","SP",112.94999694824219,193,994.9000000000001,33.29239183092823,-15.620776430305826,22.89119319797543,"Kevin Gausman","14107",592332
"Freddy Peralta ","NYM","SP",56.36000061035156,176.2,933.1799774169924,32.92073778020113,-15.620776430305826,22.430796655676836,"Freddy Peralta","18679",642547
"Jack Dreyer ","LAD","SP",999,76.1,504.3399887084961,31.855840914314477,-15.620776430305826,21.111626760986724,"Jack Dreyer","30249",676263
"Jacob deGrom ","TEX","SP",50.0099983215332,172.2,896.2799774169923,31.168537339431673,-15.620776430305826,20.260210803683304,"Jacob deGrom","10954",594798
"Framber Valdez ","DET","SP",81.13999938964844,192,961.7000000000003,30.42042183186148,-15.620776430305826,19.33346241428345,"Framber Valdez","17295",664285
"Kris Bubic ","KCR","SP",190.69000244140625,116.1,645.5399887084964,29.671978882629123,-15.620776430305826,18.406308397637584,"Kris Bubic","21455",663460
"Cade Smith ","CLE","RP",39.90999984741211,73.2,656.4799774169921,4.017327013401216,20.694823109108,18.298505085756453,"Cade Smith","27867",671922
"Abner Uribe ","MIL","RP",167.27999877929688,75.1,655.939988708496,3.9706152251290563,20.694823109108,18.265806833965943,"Abner Uribe","25327",682842
"Logan Gilbert ","SEA","SP",37.150001525878906,131,706,29.538680465472773,-15.620776430305826,18.24118136556947,"Logan Gilbert","22250",669302
"Aroldis Chapman ","BOS","RP",64.55000305175781,61.1,643.4399887084961,2.8893012194563368,20.694823109108,17.508887029995037,"Aroldis Chapman","10233",547973
"Hunter Greene ","CIN","SP",444.32000732421875,107.2,599.7799774169921,28.917144814491863,-15.620776430305826,17.47123720898867,"Hunter Greene","22182",668881
"Joe Ryan ","MIN","SP",78.52999877929688,171,857.8000000000002,28.271772710597894,-15.620776430305826,16.671764999423203,"Joe Ryan","21390",657746
"Robert Suarez ","ATL","RP",214.39999389648438,69.2,618.0799774169922,0.6955303879745954,20.694823109108,15.97324744795782,"Robert Suarez","30115",663158
"Edwin Díaz ","LAD","RP",33,66.1,616.739988708496,0.5796145033393747,20.694823109108,15.892106328713165,"Edwin Diaz","14710",621242
"Andrés Muñoz ","SEA","RP",41.189998626708984,62.1,613.3399887084961,0.2854970937964042,20.694823109108,15.686224142033087,"Andres Munoz","20373",662253
"Emmet Sheehan ","LAD","SP",111.20999908447266,73.1,439.4399887084961,27.321537474844,-15.620776430305826,15.494635311059815,"Emmet Sheehan","29839",686218
"Matthew Boyd ","CHC","SP",212.75999450683594,179.2,873.9799774169921,26.719755771352713,-15.620776430305826,14.749161893068244,"Matthew Boyd","15440",571510
"Jhoan Duran ","PHI","RP",41.84000015258789,70,597.3000000000001,-1.1020440615099296,20.694823109108,14.714945333318651,"Jhoan Duran","21029",661395
"Spencer Schwellenbach ","ATL","SP",743.1900024414062,110.2,586.1799774169924,26.660796298337623,-15.620776430305826,14.676124245667957,"Spencer Schwellenbach","31846",680885
"Bryan Abreu ","HOU","RP",181.6999969482422,71,595.5999999999999,-1.249102766281435,20.694823109108,14.612004239978596,"Bryan Abreu","16609",650556
"Mason Miller ","SDP","RP",27.860000610351562,61.2,592.580005645752,-1.5103477416655056,20.694823109108,14.429132757209747,"Mason Miller","31757",695243
"Ranger Suarez ","BOS","SP",183.97999572753906,157.1,777.9400451660156,26.366914302546533,-15.620776430305826,14.3120699472113,"Ranger Suarez","17277",624133
"Garrett Whitlock ","BOS","RP",624.97998046875,72,578.8000000000001,-2.7023887899055685,20.694823109108,13.594704023441704,"Garrett Whitlock","20191",676477
"Adrian Morejon ","SDP","RP",735.8499755859375,73.2,573.6799774169922,-3.145296960174935,20.694823109108,13.284668304253149,"Adrian Morejon","20039",670970
"Ryne Nelson ","ARI","SP",251.42999267578125,154,754.1000000000003,25.420505361436867,-15.620776430305826,13.139680185186869,"Ryne Nelson","26253",669194
"Cole Ragans ","KCR","SP",48.15999984741211,61.2,364.98000564575193,25.16388639645979,-15.620776430305826,12.821786477496754,"Cole Ragans","21846",666142
"Shawn Armstrong ","CLE","SP/RP",748.469970703125,74,563.1,-4.06051918103052,20.694823109108,12.644012749654237,"Shawn Armstrong","12857",542888
"Shohei Ohtani ","LAD","SP",1.2699999809265137,47,303.90000000000003,24.99158011449792,-15.620776430305826,12.608337394199063,"Shohei Ohtani","19755",660271
"Dylan Cease ","TOR","SP",74.7699966430664,168,806.7,24.931239933390103,-15.620776430305826,12.533589357175492,"Dylan Cease","18525",656302
"Sean Newcomb ","CHW","SP",999,92.1,490.63998870849616,24.911366748191355,-15.620776430305826,12.508970909637885,"Sean Newcomb","16943",656794
"Cade Horton ","CHC","SP",177.7100067138672,118,598.2,24.892903618474634,-15.620776430305826,12.48609920659857,"Cade Horton","31872",690990
"Tyler Glasnow ","LAD","SP",113.73999786376953,90.1,481.13998870849605,24.809487355868303,-15.620776430305826,12.382765047317132,"Tyler Glasnow","14374",607192
"Drew Rasmussen ","TBR","SP",132.36000061035156,150,730.0000000000001,24.775570462476278,-15.620776430305826,12.340749575098682,"Drew Rasmussen","25385",656876
"Ronny Henriquez ","MIA","RP",999,73,558.0000000000001,-4.501695295344985,20.694823109108,12.335189469634113,"Ronny Henriquez","24094",678692
"David Bednar ","NYY","RP",64.05999755859375,62.2,557.4800056457519,-4.546677469594529,20.694823109108,12.30370194765943,"David Bednar","19569",670280
"Brandon Woodruff ","MIL","SP",143.82000732421875,64.2,371.3799774169923,24.63763922058663,-15.620776430305826,12.169883505653978,"Brandon Woodruff","16162",605540
"Carlos Estévez ","KCR","RP",120.08999633789062,66,554.1000000000001,-4.839065265114876,20.694823109108,12.09903049079519,"Carlos Estevez","14542",608032
"Tyler Rogers ","TOR","RP",743.280029296875,77.1,552.7399887084962,-4.956713205704977,20.694823109108,12.016676932382119,"Tyler Rogers","15541",643511
"Tony Santillan ","CIN","RP",718.1199951171875,73.2,547.7799774169922,-5.385779579928827,20.694823109108,11.716330470425424,"Tony Santillan","19926",663574
"Brad Keller ","PHI","SP/RP",745.9099731445312,69.2,544.8799774169922,-5.636644429244899,20.694823109108,11.540725075904174,"Brad Keller","15734",641745
"Eury Pérez ","MIA","SP",78.6500015258789,95.1,493.339988708496,24.065051695434313,-15.620776430305826,11.460575168430964,"Eury Perez","27768",691587
"George Kirby ","SEA","SP",64.58000183105469,126,620.3000000000001,23.92498977255112,-15.620776430305826,11.287069660077274,"George Kirby","25436",669923
"Dennis Santana ","PIT","RP",150.50999450683594,70.1,539.8399887084961,-6.072629259559242,20.694823109108,11.235535694684133,"Dennis Santana","17878",642701
"Nick Lodolo ","CIN","SP",127.94999694824219,156.2,745.4799774169923,23.882919190901674,-15.620776430305826,11.234953585232931,"Nick Lodolo","26378",666157
"Emilio Pagán ","CIN","RP",111.94000244140625,68.2,539.0799774169922,-6.13837412787705,20.694823109108,11.189514286861666,"Emilio Pagan","14771",641941
"Merrill Kelly ","ARI","SP",284.17999267578125,184,860.5000000000001,23.825861397899725,-15.620776430305826,11.164271695561899,"Merrill Kelly","11156",518876
"Blake Snell ","LAD","SP",178.41000366210938,61.1,348.63998870849605,23.78638804956665,-15.620776430305826,11.11537301397901,"Blake Snell","13543",605483
"Devin Williams ","NYM","RP",59.470001220703125,62,535.3,-6.465361529646675,20.694823109108,10.96062310562293,"Devin Williams","15816",642207
"Kyle Leahy ","STL","SP/RP",733.6699829101562,88,534.7,-6.517264601918957,20.694823109108,10.924290955032331,"Kyle Leahy","24763",681517
"Pablo López ","MIN","SP",743.4000244140625,75.2,402.27997741699227,23.351091556674387,-15.620776430305826,10.576137669146295,"Pablo Lopez","17085",641154
"Andrew Abbott ","CIN","SP",221.92999267578125,166.1,779.6400451660156,23.274336373371014,-15.620776430305826,10.481055102637919,"Andrew Abbott","29911",671096
