Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Roman Anthony,BOS,DH/OF,21,265,212,1069,0.9921259842519685,0.890748031496063,1,0.7418799212598426,0.9797244094488189,0.6476377952755906,0.9566929133858267,0.9783464566929134,0.9773622047244095,0.9714566929133859,0.9311023622047244,0.9891732283464567,0.985236220472441,0.9960629921259843,0.9901574803149606,0.968503937007874,0.6289370078740157,0.08759842519685039,0.5255905511811023,0.04367301231802912,0.03543307086614173,0.6456692913385826,0.7952755905511811,0.4015748031496063,0.07874015748031496,0.06719367588932806,0.03557312252964427,4.56522,"'-1.54295","'-0.00582245283018868",.283,.581,20.3,19.2,19.354838709677423,95,116,98.8,109.6,57.6,21.1,5.5,27,35.640785781103844,55.625,84.26966292134831,9.635173058933583,6.3,.288,.423,.491,.345,12.075471698113208,32,51,9,2,61,10,56,381,103
Sal Stewart,CIN,1B,22,165,143,627,0.9901574803149606,0.9507874015748031,0.9980314960629921,0.7389886811023623,0.9561023622047244,0.5899887514060743,0.9566929133858267,0.9940944881889764,0.9812992125984252,0.6033464566929134,0.33070866141732286,0.9507874015748031,0.937007874015748,0.9586614173228346,0.8917322834645669,0.9173228346456693,0.8395669291338582,0.6299212598425197,0.6161417322834646,0.7525195968645016,0.84251968503937,0.4035433070866142,0.4940944881889764,0.33661417322834647,0.5984251968503937,0.13142292490118576,0.5632411067193676,4.105119999999999,0.00391386,0.000023720363636363635,.283,.625,21,11.5,31.085043988269803,93.1,113.7,96.2,107.1,51.3,15.8,14.2,25.4,50.23923444976076,73.07692307692307,80.86124401913875,12.759170653907494,17.6,.315,.394,.629,.321,15.151515151515152,25,19,15,0,45,10,26,315,80
Carson Benge,NYM,OF,23,103,90,412,0.9153543307086615,0.11122047244094488,0.9960629921259843,0.7454478346456692,0.8828740157480315,0.6584645669291339,0.8375984251968503,0.9448818897637795,0.9488188976377953,0.3090551181102362,0.4793307086614173,0.9281496062992126,0.6456692913385826,0.9360236220472441,0.8001968503937008,0.9468503937007874,0.7568897637795275,0.2687007874015748,0.859251968503937,0.5352743561030235,0.6023622047244095,0.8011811023622047,0.8011811023622047,0.8818897637795275,0.812992125984252,0.12648221343873517,0.34189723320158105,7.247889999999999,0.405441,0.003936320388349514,.259,.500,15.5,8.7,28.57142857142857,92.1,110.4,95.4,105.9,53.5,18.4,9.1,20.1,47.0873786407767,69.14893617021278,86.92307692307692,9.466019417475726,13.9,.178,.272,.311,.188,10.679611650485436,11,9,1,1,16,3,19,194,39
Samuel Basallo,BAL,C/DH,21,318,269,1241,0.9803149606299213,0.9192913385826772,0.9940944881889764,0.6582800196850394,0.9777559055118109,0.43742969628796396,0.875,0.984251968503937,0.9812992125984252,0.7706692913385826,0.2263779527559055,0.9763779527559056,0.9812992125984252,0.9783464566929134,0.9478346456692913,0.9655511811023622,0.5039370078740157,0.6771653543307087,0.328740157480315,0.5095184770436729,0.4015748031496063,0.4940944881889764,0.33661417322834647,0.04921259842519685,0.30118110236220474,0.4515810276679842,0.4426877470355731,1.24658,"'-0.668267","'-0.00210146855345912",.263,.587,21,13.2,33.05898491083676,94.2,115.9,97.4,108.2,57.4,23.6,14.8,30.4,46.65592264302981,66.015625,81.95266272189349,14.182111200644645,15.7,.271,.374,.591,.287,12.893081761006288,41,42,17,0,73,23,75,579,176
Cole Young,SEA,2B,22,244,205,958,0.8533464566929134,0.7627952755905512,0.9921259842519685,0.7269931102362206,0.684251968503937,0.8053993250843645,0.7224409448818898,0.7962598425196851,0.6624015748031497,0.7421259842519685,0.75,0.7263779527559056,0.46358267716535434,0.7096456692913385,0.6456692913385826,0.7726377952755905,0.9606299212598425,0.2549212598425197,0.9114173228346457,0.2833146696528556,0.42913385826771655,0.9232283464566929,0.9212598425196851,0.7421259842519685,0.18110236220472442,0.30138339920948615,0.17687747035573123,6.469519999999999,"'-0.781208","'-0.003201672131147541",.247,.422,8.5,12.7,24.624060150375943,89.7,109.2,92.2,104.4,44.6,11.5,9,17.9,43.215031315240076,66.43192488262912,90.1060070671378,7.724425887265135,10.7,.273,.389,.459,.297,6.147540983606558,15,31,13,5,56,5,28,414,74
Carter Jensen,KCR,C/DH,22,182,153,781,0.9517716535433071,0.9665354330708661,0.9901574803149606,0.703863188976378,0.8913385826771654,0.5441507311586052,0.6919291338582677,0.9566929133858267,0.9409448818897638,0.906496062992126,0.8641732283464567,0.969488188976378,0.6023622047244095,0.9891732283464567,0.906496062992126,0.9872047244094488,0.23622047244094488,0.7696850393700787,0.2952755905511811,0.08398656215005601,0.1437007874015748,0.7667322834645669,0.5964566929133859,0.5826771653543307,0.6614173228346457,0.3359683794466403,0.6314229249011858,5.45115,0.202423,0.0011122142857142856,.244,.520,14.9,15.9,21.651785714285715,94,110,98.4,107.3,59.4,28.6,16.6,31,38.412291933418686,60.96096096096096,86.20689655172413,11.907810499359796,18.6,.288,.401,.647,.345,8.241758241758241,15,29,11,1,44,14,52,300,93
Ryan Clifford,NYM,1B/OF,22,142,114,548,0.9183070866141733,0.5216535433070866,0.9881889763779528,0.6675073818897638,0.8742125984251968,0.5653824521934758,0.5334645669291339,0.8858267716535433,0.859251968503937,0.8838582677165354,0.734251968503937,0.9625984251968503,0.7263779527559056,0.9537401574803149,0.9153543307086615,0.937007874015748,0.452755905511811,0.6830708661417323,0.3937007874015748,0.21948488241881295,0.22440944881889763,0.7116141732283464,0.5570866141732284,0.21653543307086615,0.1062992125984252,0.4782608695652174,0.8053359683794467,2.96266,"'-0.6622680000000001","'-0.004663859154929577",.231,.454,12.3,15.5,24.834437086092716,93.6,111,96,107.4,53.1,24.6,14.9,29,42.15328467153285,63.414634146341456,85.25641025641025,12.226277372262777,22.2,.219,.359,.395,.263,7.042253521126762,10,22,5,0,25,5,35,231,67
Jac Caglianone,KCR,OF,23,128,112,453,0.9753937007874016,0.9862204724409449,0.9862204724409449,0.7189345472440944,0.9297244094488188,0.5732564679415073,0.9763779527559056,0.9724409448818898,0.8415354330708661,0.29429133858267714,0.12992125984251968,0.9665354330708661,0.9291338582677166,0.9498031496062992,0.9872047244094488,0.9389763779527559,0.8464566929133859,0.6161417322834646,0.6377952755905512,0.7973124300111982,0.8464566929133859,0.7696850393700787,0.4881889763779528,0.2736220472440945,0.5078740157480315,0.7569169960474308,0.6996047430830039,3.5487,"'-0.11298599999999999","'-0.000882703125",.291,.568,11.7,8.6,35.361216730038024,93.9,113.6,95.9,109.5,53.2,15.6,14.1,25,51.214128035320094,73.15789473684211,86.33093525179855,12.803532008830024,20.2,.357,.422,.705,.349,8.59375,11,11,6,0,40,11,20,232,58
Noelvi Marte,CIN,3B/OF,24,53,43,181,0.9980314960629921,0.9301181102362205,0.984251968503937,0.7814345472440944,0.9066929133858267,0.7450787401574803,0.9960629921259843,0.9862204724409449,0.9586614173228346,0.8612204724409449,0.13188976377952755,0.7627952755905512,0.8730314960629921,0.9537401574803149,0.906496062992126,0.952755905511811,0.9143700787401575,0.2952755905511811,0.8533464566929134,0.8286674132138858,0.7637795275590551,0.952755905511811,0.7381889763779528,0.4645669291338583,0.6043307086614174,0.8814229249011858,0.8745059288537549,4.83744,0.00693166,0.00013078603773584904,.344,.590,16.2,15.1,35.353535353535364,90,112.8,96,107.3,54.1,13.2,9.6,20.2,51.93370165745856,71.95121951219512,91.52542372881358,10.497237569060774,24.3,.326,.434,.535,.361,11.320754716981131,6,8,6,0,14,1,7,94,19
JJ Wetherholt,STL,2B,23,218,183,848,0.8887795275590551,0.9251968503937008,0.9822834645669292,0.7133981299212598,0.7533464566929134,0.6787120359955006,0.7618110236220472,0.8297244094488189,0.8730314960629921,0.7125984251968503,0.9596456692913385,0.8927165354330708,0.2785433070866142,0.8769685039370079,0.5511811023622047,0.8927165354330708,0.8661417322834646,0.47834645669291337,0.6801181102362205,0.22172452407614784,0.3543307086614173,0.4242125984251969,0.7539370078740157,0.7677165354330708,0.7893700787401575,0.7312252964426877,0.32707509881422925,6.55167,0.783978,0.003596229357798165,.250,.434,12.6,12.4,18.269230769230766,91.4,107.6,94.1,103.7,49,15.1,12.3,24.3,42.21698113207547,65.27777777777779,81.20567375886525,10.25943396226415,13.6,.306,.408,.557,.324,8.715596330275227,19,27,14,1,56,10,33,358,87
