Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Walker Jenkins,MIN,OF,21,111,90,401,0.5647590361445783,0.6204819277108434,1,0.6740399096385542,0.646987951807229,0.807013769363167,0.2545180722891566,0.34186746987951805,0.4186746987951807,0.875,0.7951807228915663,0.8930722891566265,0.8719879518072289,0.7530120481927711,0.8855421686746988,0.7093373493975904,0.8373493975903614,0.6024096385542169,0.891566265060241,0.2272727272727273,0.4006024096385542,0.9337349397590361,0.9156626506024096,0.4789156626506024,0.7018072289156626,0.5858895705521472,0.3880368098159509,4.71395,0.261915,0.0023595945945945945,.213,.333,5.6,17.1,21.698113207547173,92.2,112.3,92.6,107.2,44.4,16.2,13.4,17.7,40.897755610972574,62.43386243386243,90.67796610169492,7.231920199501247,13.9,.256,.396,.389,.300,3.603603603603603,4,19,6,0,23,2,18,164,29
George Lombard Jr.,NYY,SS,20,59,41,235,0.963855421686747,0.2891566265060241,0.9969879518072289,0.623023343373494,0.6186746987951808,0.6914802065404474,0.6731927710843374,0.5466867469879518,0.23493975903614459,1,0.9427710843373494,0.911144578313253,0.5481927710843374,0.8463855421686747,0.6686746987951807,0.8524096385542169,0.8795180722891566,0.07530120481927711,0.5075301204819277,0.052727272727272734,0.1460843373493976,0.5933734939759037,0.7710843373493976,0.32228915662650603,0.20180722891566266,0.3389570552147239,0.48466257668711654,3.5095400000000003,"'-0.25009000000000003","'-0.004238813559322032",.249,.369,3.1,27.1,18.181818181818183,92.4,109.1,94.2,104.5,50,15.3,3.2,26.8,34.893617021276604,56.31067961165049,82.75862068965517,9.361702127659576,15.6,.146,.407,.146,.188,1.6949152542372878,1,16,0,0,6,0,9,82,22
A.J. Ewing,NYM,OF,21,51,46,182,0.9728915662650602,0.6536144578313253,0.9939759036144579,0.7891566265060241,0.6475903614457831,0.8147590361445783,0.9849397590361446,0.9849397590361446,0.838855421686747,0.37349397590361444,0.8283132530120482,0.5858433734939759,0.5105421686746988,0.4939759036144578,0.4743975903614458,0.3177710843373494,0.9668674698795181,0.7515060240963856,0.9563253012048193,0.4772727272727273,0.7198795180722891,0.9246987951807228,0.9337349397590361,0.9759036144578314,0.9819277108433735,0.06288343558282208,0.2929447852760736,9.18399,0.882674,0.01730733333333333,.319,.577,12.2,9.8,21.34831460674157,89.2,108.8,90.6,103.2,34.1,9.8,16,14.6,45.05494505494506,67.74193548387096,90.4761904761905,6.593406593406594,12.2,.326,.392,.435,.366,9.803921568627453,5,5,3,1,15,0,5,82,12
Travis Bazzana,CLE,2B,23,116,94,484,0.7981927710843374,0.8629518072289156,0.9909638554216867,0.7329631024096386,0.7135542168674699,0.7577452667814113,0.4879518072289157,0.7198795180722891,0.7951807228915663,0.9186746987951807,0.8042168674698795,0.7515060240963856,0.7078313253012049,0.6746987951807228,0.6686746987951807,0.5933734939759037,0.5993975903614458,0.6445783132530121,0.8313253012048193,0.3,0.5090361445783133,0.8132530120481928,0.8283132530120482,0.9246987951807228,0.75,0.18558282208588958,0.2684049079754601,7.791869999999999,0.402479,0.0034696465517241376,.233,.407,10.3,18.1,21.6,90.5,110.3,91.9,104.5,41.2,21.6,14,20.1,42.14876033057851,64.1025641025641,87.33333333333331,8.47107438016529,11.4,.287,.422,.511,.373,6.0344827586206895,7,21,11,2,27,2,25,204,41
Jasson Domínguez,NYY,OF,23,105,92,402,0.8945783132530121,0.7981927710843374,0.9879518072289156,0.749905873493976,0.7566265060240964,0.75,0.9352409638554217,0.9141566265060241,0.5512048192771084,0.5105421686746988,0.7394578313253012,0.911144578313253,0.6927710843373494,0.838855421686747,0.7756024096385542,0.713855421686747,0.8825301204819277,0.5783132530120482,0.7515060240963856,0.5045454545454545,0.7951807228915663,0.8689759036144579,0.7018072289156626,0.5572289156626506,0.9006024096385542,0.49079754601226994,0.4263803680981595,5.2274400000000005,0.8692479999999999,0.00827855238095238,.290,.483,6.6,11.4,23.07692307692308,92.4,110.2,94.1,105.4,44.7,15.2,13.2,21.9,45.52238805970149,69.58762886597938,88.14814814814815,9.950248756218906,14.5,.326,.410,.478,.370,4.761904761904762,5,12,5,0,30,3,16,183,40
Emmanuel Rodriguez,MIN,OF,23,108,81,461,0.9021084337349398,0.8463855421686747,0.9849397590361446,0.6282003012048193,0.9271084337349397,0.4713855421686747,0.24096385542168675,0.8237951807228916,0.9728915662650602,0.963855421686747,0.7710843373493976,0.9337349397590361,1,0.9156626506024096,0.9969879518072289,0.9051204819277109,0.2319277108433735,0.6987951807228916,0.09186746987951808,0.3509090909090909,0.7981927710843374,0.20783132530120482,0.23493975903614459,0.2740963855421687,0.1566265060240964,0.8788343558282209,0.9478527607361963,3.09233,"'-0.612187","'-0.005668398148148147",.212,.440,19.2,21.3,22.30769230769231,93.1,118.3,95.4,111.3,51.9,28.7,15.1,36.4,42.95010845986985,69.65174129353234,76.42857142857143,15.61822125813449,28.8,.247,.417,.506,.304,9.25925925925926,10,23,3,0,20,6,31,198,72
Bryce Eldridge,SFG,1B/DH,21,136,114,571,0.9578313253012049,0.9186746987951807,0.9819277108433735,0.6442018072289156,0.9533132530120481,0.42276247848537,0.8012048192771084,0.9548192771084337,0.9608433734939759,0.6987951807228916,0.572289156626506,0.9337349397590361,0.9292168674698795,0.9864457831325302,0.8524096385542169,0.9879518072289156,0.17921686746987953,0.6987951807228916,0.17921686746987953,0.2872727272727273,0.5587349397590361,0.44879518072289154,0.32228915662650603,0.12349397590361445,0.28012048192771083,0.9708588957055214,0.9708588957055214,1.87635,"'-0.319742","'-0.002351044117647059",.264,.532,17.8,14,25.52552552552553,93.1,113.1,97.5,106.6,60.3,30.1,15.1,33.9,41.85639229422067,64.70588235294117,80.51948051948051,14.185639229422069,30.1,.333,.441,.518,.485,9.558823529411764,13,19,6,0,38,5,41,239,81
Kahlil Watson,CLE,SS/OF,23,159,126,673,0.7530120481927711,0.8689759036144579,0.9789156626506024,0.6380835843373494,0.8105421686746987,0.47740963855421686,0.2289156626506024,0.6280120481927711,0.7033132530120482,0.9442771084337349,0.786144578313253,0.9879518072289156,0.7635542168674698,0.9262048192771084,0.8719879518072289,0.9698795180722891,0.28313253012048195,0.9503012048192772,0.20180722891566266,0.30727272727272725,0.6204819277108434,0.1686746987951807,0.3373493975903614,0.8825301204819277,0.7439759036144579,0.7484662576687117,0.6395705521472392,7.36338,0.522284,0.003284805031446541,.210,.385,8.5,18.9,22.03856749311295,94.4,110.9,95.6,107,57.3,27.7,21.3,33.1,42.199108469539375,65.80645161290322,75.49019607843138,13.967310549777118,18.1,.278,.421,.516,.368,4.402515723270441,7,30,7,1,35,7,44,284,94
Hendry Mendez,MIN,OF,22,28,22,110,0.8659638554216867,0.9668674698795181,0.9759036144578314,0.7092432228915663,0.6346385542168675,0.8332616179001721,0.8403614457831325,0.5918674698795181,0.5135542168674698,0.9668674698795181,0.9216867469879518,0.9021084337349398,0.2063253012048193,0.27259036144578314,0.7108433734939759,0.9593373493975904,0.6129518072289156,0.10240963855421686,0.8704819277108434,0.11181818181818183,0.5813253012048193,0.9698795180722891,0.9096385542168675,0.5331325301204819,0.7530120481927711,0.0736196319018405,0.3174846625766871,5.12599,0.09734010000000001,0.003476432142857143,.268,.377,6.2,21.4,18.75,92.3,105.7,88.6,104.8,56.2,21.4,4.4,19,38.18181818181819,65.21739130434783,93.33333333333331,7.272727272727272,12.5,.409,.536,.455,.563,3.571428571428571,1,6,1,0,9,0,6,42,8
Pedro Ramírez,CHC,2B/3B,22,174,155,690,0.6370481927710844,0.8283132530120482,0.9728915662650602,0.6628388554216867,0.6771084337349398,0.6529690189328744,0.7289156626506024,0.7304216867469879,0.6144578313253012,0.3102409638554217,0.4307228915662651,0.7078313253012049,0.7575301204819277,0.5978915662650602,0.7846385542168675,0.5753012048192772,0.7921686746987951,0.37349397590361444,0.9382530120481928,0.4327272727272728,0.23493975903614459,0.9367469879518072,0.927710843373494,0.9096385542168675,0.9216867469879518,0.6702453987730062,0.6794478527607362,7.62458,1.71448,0.009853333333333334,.255,.410,7.3,9.2,28.486646884273,90.2,110.8,91.3,105.5,40.7,17.2,10.6,15.4,44.20289855072464,59.206798866855536,90.9090909090909,6.811594202898552,18.9,.297,.374,.548,.319,5.172413793103448,9,16,10,1,46,9,30,305,47
