Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Noah Schultz,CHW,SP,22,45,43,166,.149,.146,1,0.9397946195356733,0.89321608040201,0.9320580474934036,1,0.992462311557789,0.9899497487437185,0.7261306532663316,0.9874371859296482,0.9974874371859297,1,0.8567839195979899,0.9899497487437185,0.8994974874371859,0.9057788944723618,0.7678100263852242,0.914572864321608,0.6457286432160804,0.9371859296482412,.115,.173,4.2,4.4,43.678160919540225,78.4,29.2,42.2,4.2,37,.093,.133,.186,.130,2.2222222222222223,1,2,1,0,4,1,19,81,30,48.79518072289157,54.43037974683544,79.06976744186046,18.072289156626507
Payton Tolle,BOS,SP,23,61,56,220,.200,.274,0.9974874371859297,0.7862111790261777,0.8439070351758794,0.8918205804749341,0.9849246231155779,0.9233668341708543,0.9535175879396985,0.8530150753768844,0.9057788944723618,0.8492462311557789,0.9685929648241206,0.6005025125628141,0.8190954773869347,0.09296482412060302,0.5917085427135679,0.7862796833773087,0.35175879396984927,0.8090452261306532,0.7462311557788944,.162,.224,2.6,6.6,32.11009174311927,83,36.8,31.1,19.6,28.7,.214,.262,.357,.297,1.639344262295082,1,4,3,1,12,1,19,108,31,49.09090909090909,65.76576576576578,75.34246575342465,14.09090909090909
Didier Fuentes,ATL,SP,20,63,53,241,.261,.254,0.9949748743718593,0.645934984951141,0.5175879396984924,0.9597625329815304,0.8756281407035176,0.9233668341708543,0.9258793969849246,0.5804020100502513,0.6871859296482412,0.3417085427135678,0.20351758793969849,0.36055276381909546,0.8391959798994975,0.12688442211055276,0.9271356783919598,0.2730870712401056,0.6746231155778895,0.9195979899497487,0.8492462311557789,.162,.240,5.9,9.5,24.6031746031746,90.4,41.2,31.7,18.8,37.6,.151,.270,.264,.212,3.1746031746031744,2,6,3,0,8,1,20,101,38,41.908713692946066,60.86956521739131,71.42857142857143,15.767634854771785
Hagen Smith,CHW,SP,22,112,92,485,.254,.297,0.992462311557789,0.7249536490720975,0.7660175879396984,0.8225593667546174,0.8982412060301508,0.9748743718592965,0.9597989949748744,0.9020100502512562,0.25125628140703515,0.7738693467336684,0.6017587939698492,0.6005025125628141,0.8278894472361809,0.23869346733668342,0.8479899497487438,0.6055408970976254,0.4271356783919598,0.7286432160804021,0.8743718592964824,.146,.216,1.8,16.1,30.501930501930502,88,36.8,31.3,17.1,34.2,.174,.321,.304,.255,0.8928571428571428,1,18,6,0,16,2,35,225,77,46.39175257731959,64.60176991150442,77.39726027397259,15.876288659793813
Kendry Rojas,MIN,SP,23,62,56,260,.307,.298,0.9899497487437185,0.636737723357332,0.5188442211055276,0.9373350923482848,0.5741206030150754,0.30904522613065327,0.4748743718592965,0.8693467336683417,0.7939698492462312,0.9095477386934674,0.2701005025125628,0.4610552763819096,0.5339195979899497,0.8153266331658291,0.6922110552763819,0.9142480211081794,0.0728643216080402,0.4623115577889447,0.8517587939698492,.251,.359,2.4,8.1,33.82352941176471,89.9,39,24.2,6.9,30.4,.250,.323,.321,.325,1.6129032258064515,1,5,1,0,14,1,15,135,41,51.92307692307693,71.7741935483871,82.02247191011236,15.769230769230768
Ethan Pecko,HOU,SP,23,37,34,164,.279,.305,0.9874371859296482,0.6204502614214432,0.48052763819095484,0.6589709762532981,0.7964824120603015,0.5100502512562815,0.5866834170854272,0.9547738693467337,0.7939698492462312,0.5678391959798995,0.34673366834170855,0.03391959798994975,0.864321608040201,0.6017587939698492,0.7298994974874372,0.6477572559366754,0.27386934673366836,0.6193467336683417,0.7914572864321608,.228,.334,0,8.1,27.380952380952387,89.5,54.5,32.4,10.9,31.2,.235,.297,.382,.333,0,0,3,2,0,8,1,12,77,24,46.95121951219512,67.5,79.62962962962962,14.634146341463413
Welinton Herrera,COL,SP,22,75,60,336,.299,.319,0.9849246231155779,0.7153390081453884,0.8099874371859297,0.9320580474934036,0.6256281407035176,0.7751256281407035,0.8065326633165829,0.8316582914572864,0.1984924623115578,0.32914572864321606,0.9597989949748744,0.6419597989949749,0.8505025125628141,0.8492462311557789,0.7839195979899497,0.19393139841688653,0.9371859296482412,0.9057788944723618,0.6306532663316583,.192,.282,2.9,17.3,24.489795918367342,83.4,35.3,32,6.2,32.4,.217,.360,.317,.333,1.3333333333333337,1,13,3,0,13,1,24,136,44,40.476190476190474,52.9100529100529,72,13.095238095238097
Jose Franco,CIN,SP,25,40,36,143,.293,.336,0.9824120603015075,0.6766080843973606,0.48115577889447236,0.854221635883905,0.6771356783919598,0.3592964824120603,0.6532663316582915,0.7374371859296482,0.8391959798994975,0.9535175879396985,0.5188442211055276,0.01507537688442211,0.7010050251256281,0.9233668341708543,0.8869346733668342,0.9050131926121372,0.3065326633165829,0.8190954773869347,0.9472361809045227,.245,.321,4,7.5,36.61971830985916,88.5,60,27.5,2.5,35.1,.278,.350,.389,.375,2.5,1,3,1,0,10,1,11,74,26,51.748251748251754,66.66666666666666,75,18.181818181818183
Thomas White,MIA,SP,21,61,52,294,.258,.306,0.9798994974874372,0.6290307076278491,0.5354899497487438,0.7631926121372031,0.885678391959799,0.9032663316582915,0.9057788944723618,0.46984924623115576,0.5087939698492462,0.17587939698492464,0.24748743718592964,0.5188442211055276,0.9371859296482412,0.4120603015075377,0.8203517587939698,0.2691292875989446,0.3391959798994975,0.7964824120603015,0.7336683417085427,.168,.247,6.9,11.5,22.222222222222218,90,37.9,36.1,14,33.3,.212,.328,.327,.345,3.278688524590164,2,7,3,0,11,1,22,123,41,41.83673469387755,65.9090909090909,75.86206896551724,13.945578231292515
Angel Chivilli,NYY,RP,23,29,27,116,.178,.124,0.9773869346733668,0.8924122591851077,0.9761306532663316,0.9689973614775724,0.9949748743718593,0.9698492462311558,0.992462311557789,0.9547738693467337,0.8793969849246231,0.3341708542713568,0.9949748743718593,0.9623115577889447,0.8165829145728644,0.9170854271356784,0.9233668341708543,0.7269129287598944,0.23366834170854273,0.8467336683417085,0.9396984924623115,.148,.170,0,6.9,24.52830188679245,79.9,22.2,31,3.1,37.5,.074,.138,.111,.111,0,0,2,1,0,2,0,9,56,21,48.27586206896552,68.25396825396825,74.4186046511628,18.103448275862068
