Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Jesus Pinto,DET,OF,19,117,95,490,0.8776978417266187,0.841726618705036,1,0.7149280575539568,0.7223021582733813,0.7533401849948612,0.9064748201438849,0.658273381294964,0.35251798561151076,0.8884892086330936,0.8776978417266187,0.8776978417266187,0.8093525179856115,0.935251798561151,0.7949640287769785,0.9136690647482014,0.7446043165467626,0.02877697841726619,0.7913669064748201,0.17647058823529413,0.2302158273381295,0.9064748201438849,0.8345323741007195,0.7410071942446043,0.17266187050359713,0.3695652173913043,0.1079136690647482,6.878639999999999,"'-0.78928","'-0.006745982905982906",.256,.334,2.8,17.9,16.94915254237288,91.3,109.8,95.2,104.9,52.1,20.5,"'-4.6",23.8,38.571428571428584,58.661417322834644,88.59060402684564,9.183673469387756,5.6,.263,.402,.400,.343,1.7094017094017095,2,21,6,2,25,1,24,189,45
JoJo Parker,TOR,3B/SS,19,135,110,635,0.802158273381295,0.7014388489208633,0.9928057553956835,0.6607464028776978,0.820863309352518,0.6269270298047277,0.5719424460431655,0.7805755395683454,0.7086330935251799,0.7194244604316546,0.6906474820143885,0.9064748201438849,0.762589928057554,0.9496402877697842,0.841726618705036,0.9460431654676259,0.5179856115107914,0.20863309352517986,0.7482014388489209,0.106951871657754,0.04316546762589928,0.7985611510791367,0.8705035971223022,0.49640287769784175,0.7050359712230215,0.3695652173913043,0.2589928057553957,5.4311,0.41072,0.0030423703703703698,.214,.355,8.2,15.6,22.492401215805472,91.9,109.2,95.8,105.6,54.8,27.4,3.2,24.2,36.37795275590551,51.307189542483655,85.3503184713376,8.818897637795276,9.5,.227,.363,.391,.310,4.4444444444444455,6,21,9,0,25,3,37,231,56
Edward Florentino,PIT,OF,19,40,28,161,1,1,0.9856115107913669,0.6780575539568345,0.8366906474820144,0.5272353545734841,0.960431654676259,0.9856115107913669,0.9460431654676259,0.9928057553956835,0.9784172661870504,0.9856115107913669,0.5863309352517986,0.8345323741007195,0.9172661870503597,0.6798561151079137,0.8489208633093526,0.7985611510791367,0.1223021582733813,0.026737967914438502,0.1079136690647482,0.12949640287769784,0.5107913669064749,0.2158273381294964,0.02877697841726619,1,1,3.23413,"'-0.892342","'-0.02230855",.276,.567,13.6,27.5,13.636363636363635,94.5,107.6,93.8,106.4,40.9,17.5,16.8,40.4,32.29813664596273,54.794520547945204,70,13.043478260869565,40.9,.321,.500,.750,.316,7.5,3,11,3,0,9,3,7,52,21
Yasser Mercedes,MIN,OF,21,67,55,300,0.9856115107913669,0.9928057553956835,0.9784172661870504,0.8340827338129497,0.9661870503597123,0.6808838643371017,0.9712230215827338,0.9928057553956835,0.9784172661870504,0.8884892086330936,0.7841726618705036,0.9316546762589928,0.9568345323741008,0.9928057553956835,0.9496402877697842,0.9712230215827338,0.7266187050359713,0.8129496402877698,0.7050359712230215,0.213903743315508,0.2733812949640288,0.6115107913669064,0.7769784172661871,0.9784172661870504,0.920863309352518,0.7572463768115942,0.9640287769784173,9.2903,0.9568909999999999,0.014281955223880597,.289,.571,17.1,17.9,20.26143790849673,92.7,113.7,98,107.4,58.5,20.9,17.1,25.2,39.66666666666666,59.863945578231295,81.81818181818183,10,31.7,.327,.448,.764,.343,10.44776119402985,7,12,2,2,18,6,14,119,30
Alirio Ferrebus,PHI,C/1B,20,107,93,316,0.7482014388489209,0.9280575539568345,0.9712230215827338,0.689748201438849,0.8553956834532374,0.6217882836587872,0.8669064748201439,0.8633093525179856,0.7589928057553957,0.1223021582733813,0.04316546762589928,0.8848920863309353,0.8992805755395683,0.8848920863309353,0.9028776978417267,0.8705035971223022,0.920863309352518,0.3237410071942446,0.9064748201438849,0.8877005347593583,0.6690647482014388,0.9280575539568345,0.762589928057554,0.4676258992805755,0.8129496402877698,0.3695652173913043,0.5683453237410072,5.11041,0.662993,0.006196196261682244,.249,.394,8.8,6.5,39.215686274509814,91.5,111.7,94.3,106.2,48.8,14,7,18.7,54.1139240506329,68.09815950920245,89.18918918918921,10.126582278481012,15,.333,.402,.538,.364,6.5420560747663545,7,7,10,0,31,3,15,171,32
Anibal Salas,DET,OF,20,107,85,446,0.6870503597122302,0.6762589928057554,0.9640287769784173,0.6009442446043165,0.6848920863309352,0.6536485097636177,0.28776978417266186,0.6187050359712231,0.9172661870503597,0.8741007194244604,0.8489208633093526,0.6834532374100719,0.8093525179856115,0.44964028776978415,0.6474820143884892,0.39568345323741005,0.4748201438848921,0.1223021582733813,0.6330935251798561,0.16042780748663102,0.34532374100719426,0.6438848920863309,0.7553956834532374,0.5179856115107914,0.12949640287769784,0.7898550724637681,0.21942446043165467,5.47786,"'-1.0165","'-0.0095",.185,.328,12.5,17.8,18.442622950819672,88.8,109.8,88.2,103.6,32.1,28,1.8,26.9,38.34080717488789,62.37623762376238,82.53968253968253,10.31390134529148,8.9,.200,.355,.400,.278,6.5420560747663545,7,19,5,3,17,2,30,171,46
Andres Valor,MIA,OF,20,131,105,570,0.7877697841726619,0.7158273381294964,0.9568345323741008,0.6263489208633094,0.7446043165467626,0.43576567317574516,0.5539568345323741,0.7194244604316546,0.7877697841726619,0.7482014388489209,0.4316546762589928,0.6510791366906474,0.8705035971223022,0.7517985611510791,0.935251798561151,0.6942446043165468,0.31654676258992803,0.9424460431654677,0.3669064748201439,0.4545454545454545,0.4892086330935252,0.3381294964028777,0.3597122302158273,0.9640287769784173,0.8992805755395683,0.18840579710144928,0.6438848920863309,9.11725,1.6682099999999997,0.01273442748091603,.213,.338,9.2,16,26.885245901639344,88.6,111.1,92.2,106.7,41.5,31.3,20.2,34.1,44.73684210526316,65.28301886792453,74.56647398843931,15.26315789473684,16.9,.219,.366,.390,.323,4.580152671755725,6,21,3,3,23,3,41,255,87
Elian Peña,NYM,SS,18,115,97,448,0.6330935251798561,0.7913669064748201,0.9496402877697842,0.6193794964028777,0.5244604316546763,0.6443987667009249,0.7050359712230215,0.7014388489208633,0.4460431654676259,0.60431654676259,0.37410071942446044,0.4784172661870504,0.7338129496402878,0.5323741007194245,0.39928057553956836,0.26258992805755393,0.8633093525179856,0.9640287769784173,0.7985611510791367,0.32620320855614976,0.2589928057553957,0.841726618705036,0.7697841726618705,0.4748201438848921,0.8057553956834532,0.2463768115942029,0.7769784172661871,5.15195,0.7042970000000001,0.006124321739130434,.228,.337,3.8,13.9,27.800829875518676,86.7,109.1,89.5,101.2,28.2,17.4,20.6,23.7,42.410714285714285,59.42028985507246,86.1788617886179,10.044642857142858,20.5,.278,.383,.402,.329,2.608695652173913,3,16,6,0,27,2,20,190,45
Quentin Young,MIN,3B/SS,19,108,97,452,0.6007194244604317,0.2446043165467626,0.9424460431654677,0.5116906474820144,0.9517985611510792,0.262589928057554,0.26258992805755393,0.9424460431654677,0.9928057553956835,0.24100719424460432,0.460431654676259,0.9784172661870504,0.9100719424460432,0.9568345323741008,0.9820143884892086,0.935251798561151,0.04316546762589928,0.41007194244604317,0.13309352517985612,0.6898395721925134,0.7194244604316546,0.10071942446043165,0.14028776978417265,0.31654676258992803,0.050359712230215826,0.38405797101449274,0.29856115107913667,4.47008,"'-1.79355","'-0.016606944444444445",.182,.432,22,8.3,26.605504587155966,94.3,111.8,96.3,109.1,54,45.4,8,40,48.672566371681405,69.23076923076923,68.51851851851852,19.469026548672566,10,.186,.250,.361,.304,10.185185185185183,11,9,3,1,18,4,49,220,88
Juan Villavicencio,PHI,2B/SS,21,87,72,360,0.9280575539568345,0.6294964028776978,0.935251798561151,0.7075089928057554,0.853956834532374,0.5775950668036999,0.935251798561151,0.8561151079136691,0.7266187050359713,0.7553956834532374,0.7122302158273381,1,0.6942446043165468,0.9784172661870504,0.7805755395683454,0.9928057553956835,0.36330935251798563,0.33093525179856115,0.6079136690647482,0.18181818181818185,0.07913669064748201,0.7769784172661871,0.7482014388489209,0.8129496402877698,0.6762589928057554,0.057971014492753624,0.16546762589928057,7.51208,0.210103,0.002414977011494253,.266,.393,8.5,16.1,22.09302325581395,95.7,108.8,97.7,104.8,66,29.9,7.1,27.3,38.611111111111114,53.723404255319146,85.14851485148516,10.555555555555557,8.3,.208,.333,.417,.273,4.597701149425287,4,14,2,2,15,3,26,139,38
