Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Seth Hernandez,PIT,SP,19,102,94,371,.179,.212,1,0.7702306079664569,0.5841194968553459,0.9849056603773584,0.9748427672955975,0.9433962264150944,0.9150943396226415,0.5691823899371069,0.8522012578616353,0.9748427672955975,0.32075471698113206,0.5314465408805031,0.9748427672955975,0.20754716981132076,0.9937106918238994,0.7773584905660378,0.5094339622641509,0.9937106918238994,1,.126,.183,4.3,6.9,36.75675675675676,88.6,34.8,47.1,15.7,52.1,.138,.206,.255,.250,1.96078431372549,2,7,3,1,13,2,48,188,98,50.67385444743935,64.51612903225806,58.33333333333334,26.41509433962264
Nate Payne,MIA,SP,20,57,51,235,.245,.290,0.9937106918238994,0.6352725366876311,0.3584905660377358,0.6547169811320754,0.8301886792452831,0.8238993710691824,0.5440251572327044,0.13522012578616352,0.8427672955974843,0.9559748427672956,0.12264150943396226,0.6320754716981132,0.9245283018867925,0.23270440251572327,0.9245283018867925,0.8339622641509434,0.11320754716981132,0.9025157232704403,0.9811320754716981,.152,.296,11.1,7,35.714285714285715,90.8,33.3,42.1,15.3,42.3,.216,.298,.333,.385,5.263157894736842,3,4,3,0,11,1,24,123,52,52.34042553191489,71.55963302752293,69.23076923076923,22.127659574468087
Riley Quick,MIN,SP,22,28,25,117,.116,.108,0.9874213836477987,0.9319706498951782,0.9701257861635221,0.9226415094339624,1,0.9937106918238994,1,0.8962264150943396,0.610062893081761,0.8742138364779874,1,0.9842767295597484,0.9622641509433962,0.9842767295597484,0.9559748427672956,0.6792452830188679,0.559748427672956,0.7704402515723271,0.9748427672955975,.050,.054,0,10.7,33.33333333333333,78,16.7,46.4,"'-4.4",43.9,.040,.143,.040,.083,0,0,3,0,0,1,0,13,57,25,48.71794871794872,63.33333333333333,73.68421052631578,21.367521367521366
Keyner Benitez,MIA,SP,19,75,65,307,.223,.210,0.9811320754716981,0.8255241090146751,0.914308176100629,0.7679245283018868,0.9339622641509434,0.8364779874213837,0.8930817610062893,0.8962264150943396,0.4968553459119497,0.8176100628930818,0.9937106918238994,0.8742138364779874,0.6729559748427673,0.9056603773584906,0.8176100628930818,0.6377358490566037,0.2893081761006289,0.6918238993710691,0.8742138364779874,.148,.194,0,12,31.176470588235286,79.1,26.8,30.7,1,37.4,.108,.227,.200,.125,0,0,9,0,0,7,2,23,147,55,47.88273615635178,68.61313868613139,75.53191489361703,17.91530944625407
Ovis Portes,CIN,SP,21,35,32,148,.293,.236,0.9748427672955975,0.48176100628930824,0.07154088050314465,0.9132075471698112,0.5440251572327044,0.3081761006289308,0.16981132075471697,0.08176100628930817,0.9056603773584906,0.7610062893081762,0.006289308176100629,0.02830188679245283,0.9874213836477987,0.13836477987421383,0.9371069182389937,0.8226415094339623,0.4276729559748428,0.9748427672955975,0.9874213836477987,.230,.402,12.5,5.7,30.50847457627119,95.9,56.2,48.6,17.5,42.9,.188,.229,.313,.375,5.7142857142857135,2,2,0,2,6,0,17,77,33,52.02702702702703,66.29213483146067,62.711864406779654,22.297297297297302
Nicolas Carreno,NYM,SP,19,81,66,331,.273,.288,0.9685534591194969,0.6058700209643607,0.44261006289308175,0.8679245283018868,0.6949685534591195,0.7924528301886793,0.5660377358490566,0.16037735849056603,0.4716981132075472,0.6855345911949685,0.34276729559748426,0.7012578616352201,0.8427672955974843,0.29559748427672955,0.8490566037735849,0.44150943396226416,0.6226415094339622,0.6855345911949685,0.8050314465408805,.156,.293,10.5,12.3,28.651685393258425,88.5,31.6,37,14.3,38.4,.167,.300,.318,.257,4.938271604938271,4,10,2,1,11,2,30,146,56,44.10876132930513,62.09150326797386,75.78947368421053,16.91842900302115
Edgar Colon,CIN,SP,20,33,29,131,.304,.361,0.9622641509433962,0.514937106918239,0.14858490566037735,0.9056603773584906,0.4371069182389937,0.42138364779874216,0.25471698113207547,0.13522012578616352,0.7264150943396226,0.6666666666666666,0.031446540880503145,0.17295597484276728,0.7421383647798742,0.8301886792452831,0.8553459119496856,0.8603773584905661,0.050314465408805034,0.9245283018867925,0.949685534591195,.214,.372,11.1,9.1,28.33333333333333,93,44.4,33.3,2.8,38.6,.241,.333,.483,.313,6.0606060606060606,2,3,1,0,7,2,11,70,27,53.435114503816784,74.64788732394365,67.9245283018868,20.610687022900766
Malachi Witherspoon,DET,SP,21,88,79,330,.266,.337,0.9559748427672956,0.7613731656184487,0.7044025157232705,0.9226415094339624,0.7264150943396226,0.44654088050314467,0.5849056603773585,0.7830188679245284,0.8647798742138365,0.89937106918239,0.8616352201257862,0.5880503144654088,0.7295597484276729,0.9182389937106918,0.8113207547169812,0.6830188679245283,0.5471698113207547,0.5345911949685535,0.89937106918239,.211,.286,2,6.8,33.74233128834356,84.2,34,33,0.4,37.3,.266,.330,.430,.388,1.1363636363636365,1,6,5,1,21,2,29,161,60,48.78787878787879,63.47305389221557,77.35849056603773,18.181818181818183
Reinold Navarro,PIT,SP,19,75,58,355,.308,.345,0.949685534591195,0.5213836477987421,0.5141509433962264,0.9358490566037736,0.41823899371069184,0.6792452830188679,0.6792452830188679,0.4276729559748428,0.09433962264150944,0.2578616352201258,0.39937106918238996,0.550314465408805,0.789308176100629,0.11949685534591195,0.9056603773584906,0.15849056603773584,0.6163522012578616,0.9559748427672956,0.7610062893081762,.180,.263,6.2,22.7,21.84466019417476,88,34.4,34.7,18.4,41.3,.190,.373,.362,.276,2.666666666666667,2,17,1,0,11,3,26,138,57,38.87323943661972,62.416107382550344,66.66666666666666,16.056338028169016
Brad Pacheco,PHI,SP,20,92,84,313,.224,.324,0.9433962264150944,0.6608490566037737,0.5361635220125787,0.8547169811320755,0.9182389937106918,0.7295597484276729,0.6729559748427673,0.6194968553459119,0.8867924528301887,0.6792452830188679,0.5251572327044025,0.3270440251572327,0.6163522012578616,0.5974842767295597,0.5031446540880503,0.9396226415094341,0.15723270440251572,0.6415094339622641,0.8113207547169812,.168,.264,3.4,6.5,28.57142857142857,87.1,39.7,29.3,8.7,29.9,.250,.304,.429,.315,2.1739130434782608,2,6,3,0,21,4,27,177,53,56.549520766773156,70.67307692307693,76.19047619047619,16.93290734824281
