Eno,Name,Arp 15,24-Mar,18-Mar,MLBAM id,Team,LG,Proj STM$,Proj IP,Health,26 K-BB,ppERA,ppK%,ppWHIP,Stuff+,Location+,Pitching+,26 ERA,26 SIERA,
1,Paul Skenes,2,2,2,694973,PIT,NL,47,189,91%,26.49%,2.87,29.30%,1.07,99,115,113,1.98,2.64,
2,Cristopher Sánchez,3,4,4,650911,PHI,NL,38.2,192,94%,22.46%,3,25.00%,1.12,118,97,113,2.11,2.66,
3,Chris Sale,7,10,10,519242,ATL,NL,39.3,159,63%,23.04%,2.96,29.70%,1.08,115,107,117,2.2,2.96,
4,Jacob deGrom,10,17,17,594798,TEX,AL,34.9,151,53%,28.16%,3.23,28.60%,1.06,110,115,123,2.62,2.61,
5,Jacob Misiorowski,25,23,24,694819,MIL,NL,22.5,161,74%,31.19%,2.98,31.60%,1.21,125,98,122,2.12,2.24,
6,Shohei Ohtani,12,20,20,660271,LAD,NL,23.8,137,66%,22.81%,2.99,29.20%,1.08,114,101,113,0.82,2.93,
7,Yoshinobu Yamamoto,5,5,5,808967,LAD,NL,21.9,158,85%,19.49%,3.34,26.70%,1.13,102,108,111,3.6,3.37,
8,Max Fried,6,7,7,608331,NYY,AL,21.3,172,87%,12.92%,3.43,22.60%,1.18,106,102,110,3.21,3.99,
9,Cam Schlittler,20,28,29,693645,NYY,AL,12.1,155,77%,24.75%,3.42,25.60%,1.23,113,108,117,1.35,2.69,
10,Nolan McLean,18,26,27,690997,NYM,NL,22.1,164,79%,25.71%,3.47,24.60%,1.27,108,103,116,2.78,2.65,
11,Logan Gilbert,9,8,8,669302,SEA,AL,28,169,88%,20.59%,3.11,26.90%,1.05,106,107,112,3.78,3.27,
12,Chase Burns,26,25,26,695505,CIN,NL,16.7,149,72%,17.39%,3.32,29.00%,1.14,111,102,114,2.11,3.57,
13,Dylan Cease,19,22,23,656302,TOR,AL,30.4,179,90%,24.88%,3.38,28.50%,1.2,107,100,108,2.41,2.8,
14,George Kirby,13,11,11,669923,SEA,AL,26.1,172,86%,14.10%,3.27,23.40%,1.1,100,113,112,2.84,3.61,
15,Bryan Woo,8,9,9,693433,SEA,AL,25.1,173,87%,17.54%,3.24,25.10%,1.05,110,109,115,3.91,3.88,
