Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Athletic,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Roundup,Fantasy Six Pack,Fantrax HQ,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Pitcher List,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,TJStats,Upside Prospect
"Griffin, Konnor",PIT,SS,804660,19.9,2024 #9,AA,R/R,"6'4"" 225",1,1.04,1,Paywall,Paywall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,Paywall
"McGonigle, Kevin",DET,SS,805808,21.6,2023 #37,AA,L/R,"5'10"" 187",2,3.00,2,Paywall,Paywall,2,2,2,2,5,2,2,3,6,2,2,2,4,8,6,2,6,2,3,2,2,Paywall
"Made, Jesus",MIL,SS,815908,18.9,2024 FA,AA,S/R,"6'1"" 187",3,3.44,3,Paywall,Paywall,3,3,3,3,2,4,3,5,2,4,4,3,3,7,2,3,1,6,2,3,5,Paywall
"Wetherholt, JJ",STL,SS,802139,23.5,2024 #7,AAA,L/R,"5'10"" 190",4,5.28,7,Paywall,Paywall,8,4,4,7,12,5,7,3,3,7,7,5,6,2,4,4,3,5,5,Paywall,4,Paywall
"De Vries, Leo",ATH,SS,815888,19.5,2024 FA,AA,S/R,"6'1"" 183",5,6.80,13,Paywall,Paywall,5,5,5,11,6,3,5,2,4,12,9,4,2,4,12,9,4,7,6,4,12,Paywall
"Clark, Max",DET,OF,703601,21.3,2023 #3,AA,L/L,"6'0"" 205",6,9.56,5,Paywall,Paywall,6,20,16,8,7,8,14,Paywall,7,8,10,10,5,5,3,5,16,8,11,Paywall,7,Paywall
"Jenkins, Walker",MIN,MIN,805805,21.1,2023 #5,AAA,L/R,"6'3"" 210",7,13.60,11,Paywall,Paywall,19,15,24,9,31,10,23,Paywall,10,5,16,14,7,16,5,24,9,12,4,Paywall,17,Paywall
"Walcott, Sebastian",TEX,SS,806964,20.0,2023 FA,AA,R/R,"6'4"" 190",8,13.84,16,Paywall,Paywall,11,6,9,5,30,6,36,Paywall,8,21,32,7,14,20,8,11,5,18,10,5,20,Paywall
"Emerson, Colt",SEA,SS,806068,20.7,2023 #22,AAA,L/R,"6'0"" 195",9,14.16,4,Paywall,Paywall,15,10,11,6,11,9,19,Paywall,11,11,5,9,12,13,17,12,29,23,13,Paywall,8,Paywall
"Miller, Aidan",PHI,SS,805795,21.8,2023 #27,AAA,R/R,"6'1"" 205",10,15.08,6,Paywall,Paywall,13,14,8,10,13,32,27,Paywall,20,20,6,23,21,10,9,29,13,16,12,Paywall,9,Paywall
"Basallo, Samuel",BAL,C,694212,21.6,2021 FA,MLB,L/R,"6'4"" 180",11,15.84,8,Paywall,Paywall,9,7,6,4,4,7,4,Paywall,5,3,8,8,11,225,7,6,7,13,7,Paywall,11,Paywall
"Benge, Carson",NYM,OF,701807,23.2,2024 #19,AAA,L/R,"6'1"" 184",12,17.96,18,Paywall,Paywall,10,9,15,15,21,21,18,Paywall,24,19,11,16,28,3,32,10,14,22,17,Paywall,13,Paywall
"McLean, Nolan",NYM,P,690997,24.7,2023 #91,MLB,R/R,"6'2"" 214",13,18.20,15,Paywall,Paywall,4,13,7,13,3,11,6,Paywall,13,10,3,6,15,225,23,8,8,4,9,Paywall,6,Paywall
"De Paula, Josue",LAD,OF,800543,20.8,2022 FA,AA,L/L,"6'3"" 185",14,19.52,20,Paywall,Paywall,14,19,18,21,17,13,10,Paywall,12,22,41,15,9,14,11,16,18,21,20,Paywall,34,Paywall
"White, Thomas",MIA,P,806258,21.5,2023 #35,AAA,L/L,"6'5"" 240",15,21.64,33,Paywall,Paywall,29,16,33,18,9,22,67,Paywall,14,15,19,17,16,19,27,15,21,20,16,Paywall,25,Paywall
"Chandler, Bubba",PIT,P,696149,23.5,2021 #72,MLB,S/R,"6'3"" 218",16,22.48,14,Paywall,Paywall,12,8,13,12,10,14,17,Paywall,9,18,12,11,18,225,10,13,31,14,14,Paywall,14,Paywall
"Yesavage, Trey",TOR,P,702056,22.7,2024 #20,MLB,R/R,"6'4"" 225",17,22.52,25,Paywall,Paywall,7,12,10,14,8,26,8,Paywall,26,9,14,12,8,225,28,7,19,11,15,Paywall,10,Paywall
"Pena, Luis",MIL,SS,821270,19.4,2024 FA,A+,R/R,"5'11"" 185",18,24.32,27,Paywall,Paywall,30,24,28,26,24,18,28,Paywall,17,35,18,26,22,31,15,25,25,31,31,Paywall,31,Paywall
"Quintero, Eduardo",LAD,OF,808234,19.5,2023 FA,A+,R/R,"6'1"" 175",19,24.36,9,Paywall,Paywall,27,18,14,37,43,34,21,Paywall,29,36,40,30,24,6,20,18,30,9,21,Paywall,36,Paywall
"Rainer, Bryce",DET,SS,800614,20.7,2024 #11,A,L/R,"6'3"" 195",20,27.56,17,Paywall,Paywall,36,22,23,35,23,37,11,Paywall,50,23,35,35,19,24,24,21,55,30,23,Paywall,30,Paywall
"Anderson, Kade",SEA,P,807739,21.7,2025 #3,,L/L,"6'2"" 179",21,28.88,28,Paywall,Paywall,28,27,31,16,50,23,29,Paywall,22,47,26,21,13,27,21,19,32,35,37,Paywall,28,Paywall
"Eldridge, Bryce",SF,1B,805811,21.4,2023 #16,MLB,L/R,"6'7"" 240",22,30.00,23,Paywall,Paywall,33,11,12,59,16,12,31,Paywall,18,16,17,25,23,225,18,33,11,32,19,Paywall,33,Paywall
"Hope, Zyhir",LAD,OF,814307,21.2,2023 #326,AA,L/L,"5'10"" 193",23,31.80,36,Paywall,Paywall,18,28,25,40,41,20,12,Paywall,19,37,27,27,27,25,16,52,33,28,Paywall,Paywall,35,Paywall
"Painter, Andrew",PHI,P,691725,23.0,2021 #13,AAA,R/R,"6'7"" 215",24,32.32,22,Paywall,Paywall,51,26,29,27,27,16,54,Paywall,15,53,21,28,38,9,13,27,41,51,39,Paywall,38,Paywall
"Bazzana, Travis",CLE,2B,683953,23.6,2024 #1,AAA,L/R,"6'0"" 199",25,33.28,50,Paywall,Paywall,24,36,26,23,54,17,22,Paywall,16,25,46,20,30,15,73,39,37,33,27,Paywall,47,Paywall
"Stewart, Sal",CIN,3B,701398,22.3,2022 #32,AAA,R/R,"6'1"" 224",26,33.88,19,Paywall,Paywall,46,21,17,17,34,31,9,Paywall,56,14,15,22,50,225,44,17,23,17,8,Paywall,16,Paywall
"Rodriguez, Rainiel",STL,C,823787,19.2,2024 FA,A+,R/R,"5'10"" 197",27,34.48,29,Paywall,Paywall,16,40,21,19,25,55,25,Paywall,69,39,24,37,34,41,Paywall,23,36,25,26,Paywall,19,Paywall
"Willits, Eli",WAS,SS,816113,18.3,2025 #1,A,S/R,"6'1"" 180",28,35.80,53,Paywall,Paywall,17,23,40,41,15,15,39,Paywall,27,44,22,13,17,28,66,20,60,44,44,Paywall,60,Paywall
"Waldschmidt, Ryan",ARI,OF,814439,23.5,2024 #31,AA,R/R,"6'2"" 205",29,36.72,34,Paywall,Paywall,39,31,20,63,35,66,24,Paywall,35,27,44,59,37,12,46,36,61,34,29,Paywall,42,Paywall
"Tolle, Payton",BOS,P,801139,23.4,2024 #50,AAA,L/L,"6'6"" 250",30,37.00,40,Paywall,Paywall,22,42,32,22,18,28,16,Paywall,40,31,28,19,47,225,41,14,58,36,33,Paywall,15,Paywall
"Jensen, Carter",KC,C,695600,22.7,2021 #78,MLB,L/R,"6'0"" 210",31,38.88,10,Paywall,Paywall,44,25,22,25,32,39,26,Paywall,60,13,13,18,31,225,59,22,43,29,25,Paywall,3,Paywall
"Florentino, Edward",PIT,OF,821273,19.4,2024 FA,A,L/R,"6'4"" 200",32,38.92,42,Paywall,Paywall,21,30,19,78,101,81,40,Paywall,63,17,31,50,53,30,96,37,39,10,22,Paywall,18,Paywall
"Sloan, Ryan",SEA,P,815549,20.2,2024 #55,A+,R/R,"6'5"" 220",33,38.96,21,Paywall,Paywall,32,53,30,24,20,44,20,Paywall,100,42,29,33,52,18,52,26,71,41,40,Paywall,27,Paywall
"Briceno, Josue",DET,C,800522,21.5,2022 FA,AA,L/R,"6'4"" 200",34,39.20,59,Paywall,Paywall,53,29,48,44,63,33,15,Paywall,31,43,37,40,29,32,22,31,40,26,Paywall,Paywall,22,Paywall
"Snelling, Robby",MIA,P,702281,22.3,2022 #39,AAA,R/L,"6'3"" 210",35,42.36,63,Paywall,Paywall,57,37,34,47,80,51,33,Paywall,34,49,25,39,63,11,35,35,26,47,34,Paywall,24,Paywall
"Doyle, Liam",STL,P,824604,21.8,2025 #5,AA,R/L,"6'2"" 220",36,45.52,26,Paywall,Paywall,31,41,Paywall,50,19,36,35,Paywall,36,46,70,34,64,37,33,32,50,89,Paywall,Paywall,57,Paywall
"Tong, Jonah",NYM,P,804636,22.8,2022 #209,MLB,R/R,"6'1"" 180",37,45.80,72,Paywall,Paywall,23,38,38,31,58,46,58,Paywall,28,32,30,48,60,225,26,50,15,42,24,Paywall,39,Paywall
"Hernandez, Seth",PIT,P,815825,19.7,2025 #6,,R/R,"6'4"" 190",38,46.20,100,Paywall,Paywall,68,39,36,49,45,27,55,Paywall,25,75,49,29,40,22,34,38,76,38,Paywall,Paywall,40,Paywall
"Williams, Jett",MIL,SS,702518,22.4,2022 #14,AAA,R/R,"5'7"" 175",39,51.32,45,Paywall,Paywall,41,64,46,32,75,30,96,Paywall,45,88,45,51,36,88,29,46,45,60,30,Paywall,46,Paywall
"Gonzalez, Josuar",SF,SS,829034,18.4,2025 FA,R,S/R,"6'0"" 167",40,51.88,38,Paywall,Paywall,20,56,37,30,44,82,49,Paywall,73,45,58,44,68,102,69,30,54,52,48,Paywall,32,Paywall
"Duno, Alfredo",CIN,C,806957,20.2,2023 FA,A,R/R,"6'2"" 210",41,55.00,80,Paywall,Paywall,63,75,Paywall,29,22,48,150,Paywall,41,38,42,38,41,51,56,42,34,50,47,Paywall,21,Paywall
"Lombard, George Jr.",NYY,SS,806146,20.8,2023 #26,AA,R/R,"6'2"" 190",42,55.28,24,Paywall,Paywall,42,55,Paywall,20,49,25,68,Paywall,30,63,53,32,67,110,37,40,150,99,Paywall,Paywall,37,Paywall
"Arias, Franklin",BOS,SS,808265,20.3,2023 FA,AA,R/R,"5'11"" 170",43,55.92,12,Paywall,Paywall,25,85,Paywall,36,14,24,95,Paywall,39,89,39,31,51,49,14,53,24,94,Paywall,Paywall,64,Paywall
"Sirota, Mike",LAD,OF,701527,22.8,2024 #87,A+,R/R,"6'2"" 188",44,56.80,51,Paywall,Paywall,34,44,43,55,165,64,32,Paywall,94,66,34,60,58,54,97,54,63,27,45,Paywall,52,Paywall
"Bonemer, Caleb",CHW,SS,815352,20.5,2024 #43,A+,R/R,"6'1"" 195",45,57.96,44,Paywall,Paywall,26,35,27,34,33,73,34,Paywall,96,41,47,61,55,115,Paywall,28,77,53,32,Paywall,29,Paywall
