Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.850000023841858,644,1293.2,60.7324272221239,5.373915990293591,67.1063432124175,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2699999809265137,679,1254,56.938928172028,1.3502656588244426,59.28919383085248,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF",4.650000095367432,686,1178.5,49.6325715831954,5.373915990293591,56.00648757348907,"Juan Soto","20123",665742
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,679,1090.2,41.0875214269846,6.84149859559048,48.929020022575145,"Bobby Witt Jr.","25764",677951
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,651,1051.7,37.3617634313548,5.373915990293591,43.7356794216484,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,679,1079.4,40.0423737295093,1.3502656588244426,42.39263938833372,"Vladimir Guerrero Jr.","19611",665489
"Gunnar Henderson ","BAL","SS/DH",12.510000228881836,672,998.2,32.1844114114536,6.84149859559048,40.025910007044054,"Gunnar Henderson","26289",683002
"Yordan Alvarez ","HOU","OF/DH",33.38999938964844,560,956,31.7298791513378,5.373915990293591,38.103795141631345,"Yordan Alvarez","19556",670541
"Kyle Schwarber ","PHI","OF/DH",24.690000534057617,686,981.7,30.5876579847551,5.373915990293591,36.96157397504866,"Kyle Schwarber","16478",656941
"Kyle Tucker ","LAD","OF/DH",13.130000114440918,651,965.9,29.0586456125225,5.373915990293591,35.43256160281615,"Kyle Tucker","18345",663656
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,672,962.2,28.7005857532023,5.373915990293591,35.07450174349588,"Fernando Tatis Jr.","19709",665487
"Julio Rodríguez ","SEA","OF",9.489999771118164,686,960,28.4876852963091,5.373915990293591,34.861601286602735,"Julio Rodriguez","23697",677594
"Elly De La Cruz ","CIN","SS",8.449999809265137,672,932.3,25.8070749981547,6.84149859559048,33.64857359374516,"Elly De La Cruz","26668",682829
"Brent Rooker ","ATH","OF/DH",42.11000061035156,672,929.1,25.4974016063101,5.373915990293591,31.87131759660371,"Brent Rooker","19627",667670
"Corbin Carroll ","ARI","OF",14.100000381469727,637,911.9,23.8329071251457,5.373915990293591,30.206823115439214,"Corbin Carroll","25878",682998
"Bryce Harper ","PHI","1B",47.900001525878906,665,946.6,27.1909279679601,1.3502656588244426,29.5411936267845,"Bryce Harper","11579",547180
"Pete Alonso ","BAL","1B",24.440000534057617,679,936.2,26.1844894444653,1.3502656588244426,28.53475510328968,"Pete Alonso","19251",624413
"Junior Caminero ","TBR","3B/DH",16.479999542236328,665,919,24.5199949633008,2.1942939554119634,27.714288918712693,"Junior Caminero","28163",691406
"Austin Riley ","ATL","3B",59.36000061035156,672,915.5,24.1812896909708,2.1942939554119634,27.375583646382704,"Austin Riley","18360",663586
"Riley Greene ","DET","OF/DH",78.4800033569336,651,881,20.8426234351466,5.373915990293591,27.216539425440182,"Riley Greene","25976",682985
"Matt Olson ","ATL","1B",48.0099983215332,686,921,24.7135408332036,1.3502656588244426,27.063806492028025,"Matt Olson","14344",621566
"Cal Raleigh ","SEA","C/DH",18.729999542236328,637,868.1,19.5942525742732,6.251303906049135,26.845556480322344,"Cal Raleigh","21534",663728
"Nick Kurtz ","ATH","1B/DH",19.8700008392334,616,909.3,23.5812974942719,1.3502656588244426,25.931563153096356,"Nick Kurtz","35110",701762
"Corey Seager ","TEX","SS/DH",95.08999633789062,567,815.1,17.459447637586,6.84149859559048,25.300946233176468,"Corey Seager","13624",608369
"Zach Neto ","LAA","SS",32.29999923706055,665,845.9,17.4458934183516,6.84149859559048,25.287392013942064,"Zach Neto","31347",687263
"Ketel Marte ","ARI","2B/DH",32.63999938964844,637,845.1,17.3684750703904,6.739887025601009,25.108362095991446,"Ketel Marte","13613",606466
"Wyatt Langford ","TEX","OF",37.75,644,850.2,17.8620170386427,5.373915990293591,24.235933028936294,"Wyatt Langford","33333",694671
"José Ramírez ","CLE","3B/DH",6.28000020980835,679,882.7,21.007137424564,2.1942939554119634,24.201431379975972,"Jose Ramirez","13510",608070
"James Wood ","WSN","OF/DH",37.790000915527344,644,844.1,17.271702135439,5.373915990293591,23.645618125732604,"James Wood","29518",695578
"Rafael Devers ","SFG","1B/DH",61.619998931884766,686,877.6,20.5135954563117,1.3502656588244426,22.86386111513619,"Rafael Devers","17350",646240
"Freddie Freeman ","LAD","1B",67.87999725341797,651,862.1,19.0136149645647,1.3502656588244426,21.3638806233891,"Freddie Freeman","5361",518692
"Byron Buxton ","MIN","OF/DH",73.4800033569336,560,780.4,14.7365517738675,5.373915990293591,21.110467764161143,"Byron Buxton","14161",621439
"Mookie Betts ","LAD","SS",60.58000183105469,651,802.7,13.2653026284501,6.84149859559048,21.106801224040506,"Mookie Betts","13611",605141
"Francisco Lindor ","NYM","SS",25.350000381469727,651,800.8,13.0814340520423,6.84149859559048,20.9229326476328,"Francisco Lindor","12916",596019
"Jackson Chourio ","MIL","OF",19.3799991607666,651,815.2,14.4749643153428,5.373915990293591,20.848880305636428,"Jackson Chourio","28806",694192
"Bo Bichette ","NYM","SS/DH",92.86000061035156,658,799.2,12.9265973561201,6.84149859559048,20.768095951710517,"Bo Bichette","19612",666182
"Roman Anthony ","BOS","OF/DH",50.75,630,805.6,13.5459441398091,5.373915990293591,19.919860130102748,"Roman Anthony","31812",701350
"Geraldo Perdomo ","ARI","SS",76.7699966430664,686,782.2,11.2814574619458,6.84149859559048,19.122956057536292,"Geraldo Perdomo","22799",672695
"Jo Adell ","LAA","OF",120.33000183105469,609,792.1,12.2395095179649,5.373915990293591,18.613425508258512,"Jo Adell","20220",666176
"Willy Adames ","SFG","SS",133.92999267578125,679,776.4,10.7201744392276,6.84149859559048,18.561673034818032,"Willy Adames","15986",642715
