Name,Team,POS,ADP,IP,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",7.019999980926514,202,1222.7,68.44471031363341,-15.933093527950438,65.32003494456593,"Tarik Skubal","22267",669373
"Garrett Crochet ","BOS","SP",12.239999771118164,199,1138.4,58.08726697093747,-15.933093527950438,52.63348750007365,"Garrett Crochet","27463",676979
"Paul Skenes ","PIT","SP",9.649999618530273,191,1116.1000000000001,55.34739761693844,-15.933093527950438,49.27749689494699,"Paul Skenes","33677",694973
"Logan Webb ","SFG","SP",57.189998626708984,205,1067.3000000000002,49.351629703254424,-15.933093527950438,41.933445705252765,"Logan Webb","17995",657277
"Cristopher Sánchez ","PHI","SP",24.75,202,1066.2,49.21647919700334,-15.933093527950438,41.76790356778012,"Cristopher Sanchez","20778",650911
"Bryan Woo ","SEA","SP",34.77000045776367,197,1022.4000000000001,43.83503176627876,-15.933093527950438,35.176316639325066,"Bryan Woo","30279",693433
"Chris Sale ","ATL","SP",39.36000061035156,162,894.3999999999999,42.508431588212304,-15.933093527950438,33.55140057248694,"Chris Sale","10603",519242
"Framber Valdez ","DET","SP",81.13999938964844,194,992.1000000000001,40.11224963954464,-15.933093527950438,30.616383216215738,"Framber Valdez","17295",664285
"Logan Gilbert ","SEA","SP",37.150001525878906,164,872.8000000000002,38.82599537427797,-15.933093527950438,29.040885748156338,"Logan Gilbert","22250",669302
"Zack Wheeler ","PHI","SP",110.48999786376953,157,838.8999999999999,38.260903546236726,-15.933093527950438,28.34872031217587,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,155,818.8,36.819906932289484,-15.933093527950438,26.58368319777193,"Yoshinobu Yamamoto","33825",808967
"Cole Ragans ","KCR","SP",48.15999984741211,164,856.2,36.78645137085265,-15.933093527950438,26.542704400842293,"Cole Ragans","21846",666142
"Hunter Brown ","HOU","SP",36.189998626708984,182,925.7,36.06836053604197,-15.933093527950438,25.66313469006949,"Hunter Brown","25880",686613
"Chase Burns ","CIN","SP",109.72000122070312,109,609.9,34.810746887886225,-15.933093527950438,24.122718326081337,"Chase Burns","35333",695505
"George Kirby ","SEA","SP",64.58000183105469,172,871.5999999999999,34.56427154816913,-15.933093527950438,23.820817462349044,"George Kirby","25436",669923
"Max Fried ","NYY","SP",50.04999923706055,188,936.1999999999998,34.272718367607844,-15.933093527950438,23.463701991339317,"Max Fried","13743",608331
"Mason Miller ","SDP","RP",27.860000610351562,66,607.8000000000002,-7.104422680716937,38.619063456535564,23.060248543073044,"Mason Miller","31757",695243
"Jacob deGrom ","TEX","SP",50.0099983215332,170,857.9999999999999,33.92189156206911,-15.933093527950438,23.03398388755597,"Jacob deGrom","10954",594798
"Grant Taylor ","CHW","SP/RP",506.67999267578125,92,605.8000000000001,-7.350150873900722,38.619063456535564,22.888238807844395,"Grant Taylor","33927",691799
"Jesús Luzardo ","PHI","SP",70.58999633789062,178,885.5999999999999,33.19865371780662,-15.933093527950438,22.14810974648631,"Jesus Luzardo","19959",666200
"Shohei Ohtani ","LAD","SP",1.2699999809265137,114,616.4999999999999,33.050220606518586,-15.933093527950438,21.966298111473375,"Shohei Ohtani","19755",660271
"Emmet Sheehan ","LAD","SP",111.20999908447266,147,751.5999999999999,32.67772655151332,-15.933093527950438,21.510040389827417,"Emmet Sheehan","29839",686218
"Jhoan Duran ","PHI","RP",41.84000015258789,70,589,-9.414267696644407,38.619063456535564,21.443357031923817,"Jhoan Duran","21029",661395
"Edwin Díaz ","LAD","RP",33,66,581.7,-10.311175601765164,38.619063456535564,20.815521498339283,"Edwin Diaz","14710",621242
"Cade Smith ","CLE","RP",39.90999984741211,70,580.4000000000001,-10.47089892733461,38.619063456535564,20.703715170440674,"Cade Smith","27867",671922
