Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Shohei Ohtani",33600,19755,,LAD,Util/SP,$81.36,$82.00,$48,$104,$89.20,100
"Aaron Judge",18312,15640,sa549847,NYY,OF,$73.22,$73.00,$37,$110,$79.20,100
"Juan Soto",23717,20123,sa906282,NYM,OF,$70.15,$70.00,$51,$95,$65.30,100
"Fernando Tatis Jr.",23682,19709,sa919910,SDP,2B/OF,$51.61,$51.00,$27,$73,$48.10,100
"Ronald Acuña Jr.",23327,18401,sa877503,ATL,OF,$50.49,$50.00,$32,$82,$58.80,100
"José Ramírez",18284,13510,sa598784,CLE,3B,$50.48,$51.00,$36,$71,$45.70,100
"Yordan Alvarez",23795,19556,sa943524,HOU,OF,$50.36,$50.00,$34,$69,$43.30,100
"Vladimir Guerrero Jr.",18549,19611,sa920245,TOR,1B,$49.90,$50.00,$35,$77,$47.40,100
"Bobby Witt Jr.",36668,25764,sa3011225,KCR,SS,$49.80,$49.00,$26,$75,$61.40,100
"Kyle Tucker",18546,18345,sa874240,LAD,OF,$45.06,$45.00,$26,$60,$47.20,100
"Julio Rodriguez",33625,23697,sa3005720,SEA,OF,$42.07,$42.00,$16,$68,$46.40,100
"Paul Skenes",43894,33677,sa3023079,PIT,SP,$40.72,$40.00,$20,$77,$56.80,100
"Tarik Skubal",35204,22267,sa3007593,DET,SP,$40.48,$40.00,$23,$69,$49.00,95.804
"Yoshinobu Yamamoto",44525,33825,sa3023345,LAD,SP,$40.41,$40.00,$28,$63,$41.60,100
"Francisco Lindor",18122,12916,sa597754,NYM,SS,$37.70,$38.50,$20,$49,$28.60,96.503
"Bryce Harper",14982,11579,sa548033,PHI,1B,$37.34,$37.00,$15,$59,$34.40,100
"Corbin Carroll",37182,25878,sa3010593,ARI,OF,$36.90,$36.00,$15,$62,$46.40,100
"Kyle Schwarber",18347,16478,sa709545,PHI,OF,$36.89,$37.00,$17,$55,$42.10,100
"Rafael Devers",18344,17350,sa828312,SFG,1B,$36.82,$37.00,$17,$56,$25.60,93.706
"Gunnar Henderson",37806,26289,sa3011484,BAL,SS,$36.80,$36.00,$22,$57,$45.00,100
"Matt Olson",18386,14344,sa657863,ATL,1B,$35.39,$35.00,$20,$59,$30.90,100
"Trea Turner",18368,16252,sa599179,PHI,SS,$34.64,$34.00,$16,$50,$32.90,100
"Pete Alonso",23859,19251,sa873981,BAL,1B,$34.61,$35.00,$21,$52,$32.90,100
"Corey Seager",18216,13624,sa657913,TEX,SS,$34.52,$35.00,$13,$55,$29.30,100
"Mookie Betts",18276,13611,sa597889,LAD,SS,$32.95,$33.00,$17,$68,$34.50,99.301
"Freddie Freeman",5680,5361,sa390291,LAD,1B,$32.44,$31.00,$15,$54,$32.70,100
"Ketel Marte",18466,13613,sa597026,ARI,2B,$31.28,$31.00,$15,$47,$35.20,100
"Logan Webb",21015,17995,sa828873,SFG,SP,$29.06,$29.00,$11,$47,$34.30,99.301
"Elly De La Cruz",36338,26668,sa3009289,CIN,SS,$28.76,$28.00,$14,$60,$41.50,100
"Austin Riley",22674,18360,sa874756,ATL,3B,$28.67,$28.00,$17,$52,$27.80,97.203
"Max Fried",18164,13743,sa657860,NYY,SP,$28.40,$29.00,$18,$36,$30.80,100
"Manny Machado",14934,11493,sa548155,SDP,3B,$27.78,$28.00,$11,$43,$26.10,100
"Seiya Suzuki",40927,30116,sa3018052,CHC,OF,$26.99,$27.00,$14,$42,$25.60,100
"Alex Bregman",18480,17678,sa659419,CHC,3B,$26.06,$26.00,$14,$40,$19.80,98.601
"Framber Valdez",22426,17295,sa873146,DET,SP,$25.98,$26.00,$14,$37,$27.60,99.301
"Dylan Cease",21052,18525,sa829000,TOR,SP,$25.93,$26.00,$14,$42,$25.00,100
"Garrett Crochet",38312,27463,,BOS,SP,$25.60,$24.00,$6,$63,$43.80,100
"Bo Bichette",23767,19612,sa917949,NYM,SS/3B,$24.98,$24.00,$13,$41,$24.90,97.902
"Logan Gilbert",33682,22250,sa3008598,SEA,SP,$24.45,$24.00,$13,$39,$29.50,100
"Mike Trout",6305,10155,sa500736,LAA,OF,$24.32,$25.00,$4,$45,$24.00,100
"Cal Raleigh",33654,21534,sa3008377,SEA,C,$23.55,$23.00,$9,$61,$35.20,100
"Blake Snell",18460,13543,sa597786,"LAD AAA",SP,$23.06,$24.00,$8,$35,$18.50,98.601
"Junior Caminero",39108,28163,sa3015532,TBR,3B,$23.06,$21.00,$9,$76,$39.70,100
"Christian Yelich",14893,11477,sa548190,MIL,OF,$22.34,$22.00,$5,$33,$18.40,100
"Chris Sale",14393,10603,sa392121,ATL,SP,$22.22,$22.00,$9,$37,$27.90,100
"George Kirby",36671,25436,sa3011526,SEA,SP,$21.90,$22.00,$7,$34,$24.50,100
"Jackson Chourio",39277,28806,sa3015704,MIL,OF,$21.86,$21.00,$7,$52,$32.50,100
"Jose Altuve",5918,5417,sa455591,HOU,2B/OF,$21.82,$21.00,$8,$41,$20.30,99.301
"Zack Wheeler",15962,10310,sa500722,PHI,SP,$21.79,$21.00,$7,$51,$21.70,100
"Cole Ragans",23625,21846,sa917938,KCR,SP,$21.14,$21.00,$7,$38,$27.70,99.301
"Tyler Glasnow",18236,14374,sa597835,LAD,SP,$20.82,$21.00,$8,$38,$20.00,100
