Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.850000023841858,493,973.8,104.96544405684,-25.85032301116273,80.11512104567774,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2699999809265137,519,940.7,94.6068606013242,-26.589724226065826,69.0171363752584,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF/DH",4.650000095367432,513,883.1,85.6883598506606,-25.85032301116273,60.838036839497946,"Juan Soto","20123",665742
"Yordan Alvarez ","HOU","OF/DH",33.38999938964844,472,825.5,82.9901286004552,-25.85032301116273,58.13980558929243,"Yordan Alvarez","19556",670541
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,520,844.2,77.7010769458888,-23.77630580920501,54.924771136683795,"Bobby Witt Jr.","25764",677951
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,524,841.5,76.5221499718062,-26.17174546743501,51.350404504371134,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr. ","ATL","OF/DH",5.260000228881836,423,679.8,66.4417329966772,-25.85032301116273,41.5914099855144,"Ronald Acuna Jr.","18401",660670
"Bryce Harper ","PHI","1B",47.900001525878906,514,760.1,64.1888597781551,-26.17174546743501,39.01711431072014,"Bryce Harper","11579",547180
"Gunnar Henderson ","BAL","SS/DH",12.510000228881836,514,740.1,60.7219039916872,-23.77630580920501,37.94559818248216,"Gunnar Henderson","26289",683002
"Kyle Tucker ","LAD","OF/DH",13.130000114440918,502,730.4,61.1730942639787,-25.85032301116273,36.32277125281593,"Kyle Tucker","18345",663656
"Fernando Tatis Jr. ","SDP","2B/OF",14.010000228881836,524,740.8,59.0660275869398,-23.899593341934043,36.16643424500577,"Fernando Tatis Jr.","19709",665487
"Kyle Schwarber ","PHI","OF/DH",24.690000534057617,525,752.3,60.8818051784316,-25.85032301116273,36.0314821672688,"Kyle Schwarber","16478",656941
"Nick Kurtz ","ATH","1B/DH",19.8700008392334,486,702.3,59.1455731556291,-26.17174546743501,33.97382768819411,"Nick Kurtz","35110",701762
"Corbin Carroll ","ARI","OF/DH",14.100000381469727,495,707.1,58.378144672835,-25.85032301116273,33.527821661672334,"Corbin Carroll","25878",682998
"Matt Olson ","ATL","1B",48.0099983215332,525,735.6,57.9868970967308,-26.17174546743501,32.815151629295755,"Matt Olson","14344",621566
"James Wood ","WSN","OF/DH",37.790000915527344,504,711.4,57.5240422953793,-25.85032301116273,32.67371928421661,"James Wood","29518",695578
"Elly De La Cruz ","CIN","SS/DH",8.449999809265137,514,705,54.6373965864358,-23.77630580920501,31.86109077723083,"Elly De La Cruz","26668",682829
"Corey Seager ","TEX","SS/DH",95.08999633789062,448,635.3,54.2847067286016,-23.77630580920501,31.508400919396514,"Corey Seager","13624",608369
"Mike Trout ","LAA","OF/DH",178.44000244140625,439,634.2,55.6935220318921,-25.85032301116273,30.843199020729422,"Mike Trout","10155",545361
"Munetaka Murakami ","CHW","1B",999,492,684.4,54.9763158123761,-26.17174546743501,29.80457034494101,"Munetaka Murakami","37120",808959
"Pete Alonso ","BAL","1B/DH",24.440000534057617,514,705.1,54.6547313653682,-26.17174546743501,29.482985897933176,"Pete Alonso","19251",624413
"Julio Rodríguez ","SEA","OF",9.489999771118164,525,710.3,53.6011980268488,-25.85032301116273,28.750875015686027,"Julio Rodriguez","23697",677594
"Junior Caminero ","TBR","3B/DH",16.479999542236328,513,700.4,54.0177187412756,-26.589724226065826,28.42799451520975,"Junior Caminero","28163",691406
"Riley Greene ","DET","OF/DH",78.4800033569336,498,678.1,52.8178928252743,-25.85032301116273,27.967569814111638,"Riley Greene","25976",682985
"Byron Buxton ","MIN","OF/DH",73.4800033569336,429,605.1,52.4263212198549,-25.85032301116273,27.575998208692226,"Byron Buxton","14161",621439
"Freddie Freeman ","LAD","1B",67.87999725341797,502,681.2,52.6443830292674,-26.17174546743501,27.472637561832407,"Freddie Freeman","5361",518692
"Austin Riley ","ATL","3B",59.36000061035156,509,681.3,51.4176639081082,-26.589724226065826,25.827939682042317,"Austin Riley","18360",663586
"Brent Rooker ","ATH","OF/DH",42.11000061035156,486,648.5,49.8194620900303,-25.85032301116273,24.969139078867496,"Brent Rooker","19627",667670
"Ketel Marte ","ARI","2B/DH",32.63999938964844,490,637.4,47.184413685631,-23.899593341934043,24.284820343696957,"Ketel Marte","13613",606466
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,435,592.3,49.1411376021512,-26.118931097220212,24.022206504930992,"Ben Rice","29576",700250
"José Ramírez ","CLE","3B/DH",6.28000020980835,516,672.5,48.6481494619706,-26.589724226065826,23.058425235904792,"Jose Ramirez","13510",608070
"Shea Langeliers ","ATH","C/DH",54.04999923706055,425,571.4,47.2953886625659,-26.118931097220212,22.176457565345668,"Shea Langeliers","25816",669127
"Oneil Cruz ","PIT","OF",92.93000030517578,434,575.3,46.3719471693808,-25.85032301116273,21.52162415821806,"Oneil Cruz","21711",665833
"Mickey Moniak ","COL","OF/DH",245.8300018310547,402,538.7,45.7145216234203,-25.85032301116273,20.86419861225758,"Mickey Moniak","19956",666160
