Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",43,193,7,22,22,12,0.10880829,0.170984455,0.2,0.34090909,0.305882352,0.378238341,0.505882352,0.38479692461602977,0.39750675402189556,141.82301273012763,2.0354573726654053,11.490400702670216,10.413568139076233,2.9479240376738187,"Bobby Witt Jr.",25764,677951
"Matt Olson","ATL",43,190,14,36,37,1,0.115789473,0.231578947,0.343373494,0.318181818,0.295180722,0.37368421,0.638554216,0.4288711497124205,0.4032932849640542,176.500262880457,0.24186162650585175,17.068131225263258,0.5950701236724854,2.438855351024861,"Matt Olson",14344,621566
"Aaron Judge","NYY",44,194,16,36,30,5,0.175257731,0.283505154,0.350318471,0.302325581,0.267515923,0.404145077,0.617834394,0.4333753097564616,0.43457944342430604,178.65825463118418,-0.03334204852581024,17.84109375714059,-1.4830456376075745,2.380577735092999,"Aaron Judge",15640,592450
"Shea Langeliers","ATH",38,174,12,30,25,0,0.086206896,0.212643678,0.29299363,0.366972477,0.331210191,0.390804597,0.624203821,0.4367482276321146,0.42914184393910315,177.01495271261714,-0.3037930093705654,15.392988328379932,0.8501237630844116,2.296934777551774,"Shea Langeliers",25816,669127
"Elly De La Cruz","CIN",43,191,10,31,29,9,0.089005235,0.27748691,0.225433526,0.369369369,0.294797687,0.356020942,0.520231213,0.3836301786737292,0.3733132102272727,141.21354098758073,0.6049756705760956,9.717624025391709,5.717885971069336,2.2127865124628134,"Elly De La Cruz",26668,682829
"Andy Pages","LAD",43,172,9,23,35,6,0.063953488,0.203488372,0.222929937,0.347826086,0.31210191,0.360465116,0.535031847,0.39037331418935645,0.35544481942819994,151.24859022982525,-0.08605040609836578,10.118213563353681,3.858174979686737,2.0005262116990283,"Andy Pages",24816,681624
"Max Muncy","LAD",40,156,11,27,17,0,0.128205128,0.25,0.279411765,0.302325581,0.272058823,0.365384615,0.551470588,0.3982871063293949,0.419995363297001,156.64276357780642,-0.20674088597297668,10.022427959040424,4.152653753757477,1.968730265359234,"Max Muncy",13301,571970
"Ben Rice","NYY",39,160,13,31,29,2,0.15625,0.25625,0.363636363,0.3375,0.303030303,0.4125,0.666666666,0.4550364413593389,0.429590201076073,193.2499719735864,-0.7553347945213318,16.721186868911943,-3.1921524107456207,1.9672607376257059,"Ben Rice",29576,700250
"Yordan Alvarez","HOU",44,194,13,27,29,1,0.139175257,0.159793814,0.302469136,0.310924369,0.308641975,0.417525773,0.611111111,0.43520818196515987,0.4850714898878528,179.344563277191,-0.44704669713974,17.583347054624536,-5.318199276924133,1.9592252350927561,"Yordan Alvarez",19556,670541
"Otto Lopez","MIA",42,177,4,27,18,5,0.039548022,0.18079096,0.161676647,0.393939393,0.335329341,0.367231638,0.497005988,0.38004308501205875,0.34422204711220483,142.34012799227827,0.4436734467744827,9.11921806147467,3.554061532020569,1.8827032246828177,"Otto Lopez",19608,672640
"Cody Bellinger","NYY",43,185,5,26,29,5,0.151351351,0.124324324,0.201298702,0.286821705,0.272727272,0.378378378,0.474025974,0.3757347802858095,0.3813641174979832,139.82952079945596,0.9680486470460892,9.599088397466206,2.227540135383606,1.8817661421089393,"Cody Bellinger",15998,641355
"Brice Turang","MIL",37,171,6,31,26,8,0.169590643,0.198830409,0.208633094,0.35,0.294964028,0.414201183,0.503597122,0.4046131070880663,0.4059640576025683,161.20237562102653,0.9439351409673691,13.059277888269207,-0.2976570129394531,1.872203642417994,"Brice Turang",22186,668930
"JJ Wetherholt","STL",42,193,8,32,22,5,0.10880829,0.170984455,0.180124224,0.262295081,0.248447204,0.3626943,0.428571428,0.35521441232413054,0.35985341496492557,128.93758870037274,1.3791487962007523,7.844482762015851,4.026966214179993,1.8524078787504523,"JJ Wetherholt",34985,802139
"Byron Buxton","MIN",40,185,15,33,23,4,0.07027027,0.254054054,0.319526627,0.268518518,0.260355029,0.318918918,0.579881656,0.384927399456501,0.33474111557006836,144.15123353768269,0.45251229405403137,10.020065306116035,1.1555587276816368,1.8147470724327388,"Byron Buxton",14161,621439
"Colson Montgomery","CHW",42,175,11,20,29,1,0.091428571,0.291428571,0.269736843,0.266666666,0.230263157,0.331428571,0.5,0.3624509007944537,0.33442068375604,129.50690417326544,-1.4143297970294952,4.634174618099414,6.821077346801758,1.8076286666326677,"Colson Montgomery",29712,695657
"Mike Trout","LAA",43,195,11,33,23,5,0.2,0.261538461,0.25490196,0.296703296,0.248366013,0.41025641,0.503267973,0.400540957900242,0.42702427914268093,154.25231699668137,0.39166632294654846,12.783603672720021,-2.2659973483532667,1.7829113220704327,"Mike Trout",10155,545361
"Xavier Edwards","MIA",43,181,4,30,15,4,0.127071823,0.110497237,0.165605096,0.345864661,0.318471337,0.405555555,0.484076433,0.3958126902580261,0.36129445337050453,153.0889552069349,0.10246333852410316,11.226286290938013,0.2833992689847946,1.7759772253460753,"Xavier Edwards",22266,669364
"Drake Baldwin","ATL",43,196,11,37,33,1,0.102040816,0.209183673,0.225433526,0.330578512,0.294797687,0.37755102,0.520231213,0.394576485034747,0.3976097693810096,153.12444470015308,-0.20825634896755219,11.845482818215602,-0.8470583260059357,1.7723295138702688,"Drake Baldwin",31539,686948
"Brandon Lowe","PIT",37,166,10,24,28,0,0.138554216,0.210843373,0.290780142,0.268041237,0.255319148,0.361445783,0.54609929,0.39422912159598017,0.37260995428246185,151.46209287612066,-0.37403880059719086,9.515290691243644,2.418895721435547,1.770693218377885,"Brandon Lowe",18882,664040
"Kevin McGonigle","DET",41,181,2,27,16,7,0.143646408,0.121546961,0.14379085,0.341085271,0.300653594,0.408839779,0.444444444,0.3847876293224524,0.39243295574715126,144.56010766979938,3.504288747906685,12.951662857430055,-2.2898155450820923,1.7474930900768868,"Kevin McGonigle",33572,805808
"Jordan Walker","STL",41,176,11,32,30,7,0.107954545,0.284090909,0.264516129,0.357894736,0.29032258,0.369318181,0.554838709,0.4023975855247541,0.3878228447654031,161.0984302853206,0.6101827770471573,13.058597115046174,-1.8858900163322687,1.724957857791118,"Jordan Walker",27475,691023
"Nico Hoerner","CHC",42,193,4,20,29,8,0.088082901,0.077720207,0.142011834,0.274509803,0.272189349,0.347150259,0.414201183,0.34047562933956405,0.33890956858689875,118.53239128312462,1.336022213101387,5.476591770267635,4.792287170886993,1.6874278317679872,"Nico Hoerner",21479,663538
"Wilyer Abreu","BOS",41,175,6,20,18,3,0.114285714,0.188571428,0.168831169,0.353448275,0.305194805,0.382857142,0.474025974,0.378726730744044,0.3739900533863575,136.56417568816374,-0.07838274911046028,7.416764040493685,2.535340428352356,1.6528838884961086,"Wilyer Abreu",23772,677800
"Mickey Moniak","COL",35,137,12,21,26,1,0.05839416,0.270072992,0.377952756,0.354430379,0.314960629,0.357664233,0.692913385,0.4466945106965782,0.343681725272297,175.34576420624703,0.7461221218109131,12.695649370574541,-1.4071021676063538,1.6095218325572138,"Mickey Moniak",19956,666160
"Randy Arozarena","SEA",44,185,4,31,16,11,0.091891891,0.237837837,0.15625,0.394736842,0.30625,0.389189189,0.4625,0.37962666073360957,0.3277163505554199,147.8103238566792,1.907783791422844,12.26826007646752,-3.1070464849472046,1.6073692217665496,"Randy Arozarena",19290,668227
"Miguel Vargas","CHW",41,181,9,30,23,6,0.165745856,0.160220994,0.232876712,0.236363636,0.239726027,0.375690607,0.472602739,0.3751770128806432,0.4064192877875434,138.0796709997566,0.45010289549827576,8.523532622556383,0.2993216961622238,1.5581739690054681,"Miguel Vargas",20178,678246
"Pete Crow-Armstrong","CHC",43,174,4,24,17,10,0.074712643,0.258620689,0.133757962,0.305555555,0.235668789,0.306358381,0.369426751,0.30303899008174273,0.30310409013615097,93.01495057339886,1.1525834649801254,-0.25440341098971486,9.635402143001556,1.5339751994733406,"Pete Crow-Armstrong",27769,691718
"Corbin Carroll","ARI",40,167,5,26,20,5,0.143712574,0.233532934,0.237410072,0.329896907,0.26618705,0.377245508,0.503597122,0.3835882124412491,0.35538427513766,145.11662344610124,2.6115042567253113,11.333670803421477,-1.8426941558718681,1.5224373695336477,"Corbin Carroll",25878,682998
"CJ Abrams","WSN",42,179,9,25,36,7,0.106145251,0.195530726,0.243421053,0.327272727,0.296052631,0.391061452,0.539473684,0.40359727608955515,0.374271652915261,159.7686907294887,-0.2443910837173462,12.140668150982219,-3.070834755897522,1.5182699984105348,"CJ Abrams",25768,682928
"Ozzie Albies","ATL",43,184,8,30,25,0,0.076086956,0.130434782,0.192771085,0.299270072,0.295180722,0.347826086,0.487951807,0.36593440725751547,0.2999920637711235,133.60152448152888,-0.14278262853622437,7.014499210238754,1.58122056722641,1.4857897332840544,"Ozzie Albies",16556,645277
"James Wood","WSN",43,204,12,36,29,7,0.181372549,0.31372549,0.286585365,0.306818181,0.237804878,0.387254901,0.524390243,0.39230548823722683,0.42551106154316604,152.07201889299662,1.2492534667253494,13.54644388925808,-5.844528675079346,1.4590886414400308,"James Wood",29518,695578
"Riley Greene","DET",43,179,4,26,22,1,0.139664804,0.268156424,0.162337663,0.450980392,0.324675324,0.418994413,0.487012987,0.40441262255833804,0.379466051495941,157.78020897358167,0.029740795493125916,12.144602092004115,-4.2536940574646,1.4550516762231407,"Riley Greene",25976,682985
"Kyle Schwarber","PHI",43,192,17,29,28,1,0.151041666,0.3125,0.37735849,0.231707317,0.226415094,0.359375,0.603773584,0.41381546420355636,0.39671809011728976,165.0880055917295,-1.1650221198797226,13.301812192428235,-5.5326313972473145,1.4268253083896036,"Kyle Schwarber",16478,656941
"Nick Kurtz","ATH",41,189,6,26,25,5,0.206349206,0.296296296,0.186666667,0.386363636,0.266666666,0.417989417,0.453333333,0.3871757307568112,0.3876756410341005,143.6211358233158,-0.8023859113454819,8.854677451067916,-1.7263604402542114,1.4124503992827464,"Nick Kurtz",35110,701762
"Maikel Garcia","KCR",41,180,3,22,17,4,0.105555555,0.155555555,0.144654088,0.315384615,0.276729559,0.35,0.421383647,0.3439157283968396,0.3462126837836372,114.28396856631922,0.4307660907506943,3.44243827580788,3.6622952818870544,1.3777077710510375,"Maikel Garcia",22715,672580
