Rank,Name,FirstName,LastName,MLBAMID,PlayerSlug,Position,PrimaryPosition,Org,OrgID,CurrentTeam,CurrentTeamID,Level,ETA,Age,BirthDate,BirthCity,BirthCountry,Height,Weight,Bats,Throws,DraftYear,BioExcerpt,Source,SourceURL,ArticleURL,FetchedAtUTC
1,Jesús Made,Jesús,Made,815908,jesus-made-815908,SS,SS,Milwaukee Brewers,158,Biloxi Shuckers,5015,AA,2026,19,2007-05-08,San Cristobal,Dominican Republic,"6' 1""",221,S,R,,"Video scouting report » Scouting grades: Hit: 50 | Power: 55 | Run: 50 | Arm: 50 | Field: 55 | Overall: 55 Made is yet another intriguing shortstop prospect in this year’s class and has a chance to make an immediate impact on the organization that signs him. The switch-hitting infielder has above-average power potential from both sides of the plate and has a good feel for the strike zone. In the batter’s box, he has a slightly upward swinging motion and uses it to hit the ball hard into the gaps",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
2,Leo De Vries,Leo,De Vries,815888,leo-de-vries-815888,SS,SS,Athletics,133,Midland RockHounds,237,AA,2026,19,2006-10-11,Azua,Dominican Republic,"6' 0""",183,S,R,,"Video scouting report » Scouting grades: Hit: 55 | Power: 55 | Run: 55 | Arm: 55 | Field: 50 | Overall: 55 Bani, Dominican Republic has already produced one top-tier big league switch-hitting infielder in José Ramírez, and De Vries is looking to become the next. The teen models his game after Ramírez, a five-time MLB All-Star. Also a point guard on the basketball court, De Vries comes from a highly skilled athletic family, with his father having played for the Dominican national team. Boasting a",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
3,Seth Hernandez,Seth,Hernandez,815825,seth-hernandez-815825,RHP,P,Pittsburgh Pirates,134,Greensboro Grasshoppers,477,A+,2028,19,2006-06-28,Pomona,USA,"6' 4""",190,R,R,2025,"Video scouting report » Scouting grades: Fastball: 70 | Curveball: 60 | Slider: 55 | Changeup: 60 | Control: 55 | Overall: 60 On the radar for quite some time, Hernandez started making it clear as a junior, when he won National High School Invitational MVP honors after tossing a complete-game shutout to help his Corona High School team win the tournament, that he'd be the top high school arm in the Class of 2025. He cemented it by showing elite stuff at summer showcase events like USA Baseball's",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
4,Eli Willits,Eli,Willits,816113,eli-willits-816113,SS,SS,Washington Nationals,120,Fredericksburg Nationals,436,A,2028,18,2007-12-09,Lawton,USA,"6' 1""",180,S,R,2025,"Video scouting report » Scouting grades: Hit: 60 | Power: 45 | Run: 60 | Arm: 55 | Field: 55 | Overall: 60 Willits comes from a baseball family, with father Reggie playing in the big leagues before coaching with the Yankees and returning to his alma mater as the associate head coach at Oklahoma -- where Eli's brother, Jaxon, is starring as a sophomore. Willits also is committed to the Sooners but is unlikely to get to Norman because he's a slam-dunk early first-rounder after reclassifying from t",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
5,Trey Yesavage,Trey,Yesavage,702056,trey-yesavage-702056,RHP,P,Toronto Blue Jays,141,Toronto Blue Jays,141,MLB,2026,22,2003-07-28,Pottstown,USA,"6' 4""",225,R,R,2024,"Video scouting report » Scouting grades: Fastball: 60 | Curveball: 50 | Slider: 60 | Splitter: 60 | Control: 50 | Overall: 55 East Carolina will have a pitcher selected in the top two rounds for the third time in four Drafts, with Yesavage following in the footsteps of 2021 first-rounder Gavin Williams and 2022 second-rounder Carson Whisenhunt. A reliever as a freshman, he moved into the Pirates' rotation last spring and was a consensus second-team All-American. He dominated as a junior, finishi",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
6,Colt Emerson,Colt,Emerson,806068,colt-emerson-806068,SS,SS,Seattle Mariners,136,Tacoma Rainiers,529,AAA,2026,20,2005-07-20,Zanesville,USA,"6' 0""",195,L,R,2023,"Video scouting report » Scouting grades: Hit: 60 | Power: 50 | Run: 50 | Arm: 55 | Field: 50 | Overall: 50 Ohio hasn't had a high school position player drafted in the top three rounds since Derek Dietrich in 2007, though Emerson should end that drought as a potential first-rounder in July. He played well throughout the showcase circuit and hit .360 as the starting third baseman on the U.S. national team that won the 18-and-under World Cup in September. He was an all-state wide receiver as a jun",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
7,Kade Anderson,Kade,Anderson,807739,kade-anderson-807739,LHP,P,Seattle Mariners,136,Arkansas Travelers,574,AA,2027,21,2004-07-06,Slidell,USA,"6' 2""",179,L,L,2025,"Video scout ing report » Scouting grades: Fastball: 60 | Curveball: 55 | Slider: 55 | Changeup: 60 | Control: 55 | Overall: 60 Anderson had Tommy John surgery in April 2022 and missed his Louisiana high school senior season the following spring. Louisiana State eased him back into action last year as a midweek starter and weekend reliever before he became the best pitcher in college baseball and the possible No. 1 overall pick in 2025. He led the Tigers to the national championship, won Most Out",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
8,Max Clark,Max,Clark,703601,max-clark-703601,OF,OF,Detroit Tigers,116,Toledo Mud Hens,512,AAA,2026,21,2004-12-21,Franklin,USA,"5' 11""",205,L,L,2023,"Video scouting report » Scouting grades: Hit: 60 | Power: 50 | Run: 70 | Arm: 65 | Field: 60 | Overall: 60 Clark is the best prospect to come out of Indiana since Bryan Bullington went No. 1 overall in 2002 and the state's best prepster ever. Gatorade's National Baseball Player of the Year, he's a viable candidate for the Pirates with the top pick. Besides his physical ability, he has excellent makeup and a penchant for rising to the occasion, such as when he provided a clutch homer against Cana",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
9,Josue De Paula,Josue,De Paula,800543,josue-de-paula-800543,OF,CF,Los Angeles Dodgers,119,Tulsa Drillers,260,AA,2027,20,2005-05-24,Brooklyn,USA,"6' 3""",185,L,L,,"Scouting grades: Hit: 60 | Power: 55 | Run: 40 | Arm: 50 | Field: 45 | Overall: 50 Born in Brooklyn and a second cousin of former NBA guards Stephon Marbury and Sebastian Telfair, De Paula signed out of the Dominican Republic in January 2022 for $397,500. He was spectacular in his pro debut, batting .349/.448/.522 and finishing sixth in the Rookie-level Dominican Summer League batting race. Club officials rave about his hitting attributes, with one saying De Paula is their best international bat",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
10,Sebastian Walcott,Sebastian,Walcott,806964,sebastian-walcott-806964,SS/3B,SS,Texas Rangers,140,Frisco RoughRiders,540,AA,2027,20,2006-03-14,Nassau,Bahamas,"6' 4""",190,R,R,,"Scouting grades: Hit: 60 | Power: 50 | Run: 50 | Arm: 60 | Field: 55 | Overall: 55 The Bahamas has emerged as a hotbed for international talent in recent years, and Walcott is carrying on the tradition. In fact, some believe the long and lean shortstop could eventually rival Miami’s Jazz Chisholm as the best international prospect to come from the Bahamas because of his elite athleticism, physical projection and baseball IQ. At the plate, Walcott has a chance to hit for average with plus power p",MLB Pipeline Top 100,https://www.mlb.com/milb/prospects/2026/top100/,https://www.mlb.com/news/updated-top-100-prospects-list-may-2026,2026-05-14T18:11:54+00:00
