PlayerIdKey,MLBAMIDKey,NameKey,Display_Name,Display_Team,Display_POS,Player_Type,Preseason_POS,ROS_POS,Preseason_PA,ROS_PA,Preseason_IP,ROS_IP,Preseason_Value,ROS_Value,Projection_Change,Clipped_Projection_Change,YTD_Value,YTD_ROS_Gap,Banked_Value_Signal,Skill_Score,Skill_Adjustment,Sample_Confidence,Confidence_Label,Role_Change,Stock_Label,MLB_Stock_Change,YTD_PA,YTD_G,YTD_IP,YTD_GS,YTD_SV,YTD_wRC+,YTD_xwOBA,YTD_xERA,YTD_FIP,YTD_xFIP,SC_xwOBA,SC_xwOBA_Allowed,SC_Whiff%
19556,670541,yordan alvarez,Yordan Alvarez ,HOU,OF/DH,hitter,OF/DH,OF/DH,560.000,449.000,,,37.949,55.122,17.173,17.173,48.034,-7.088,0.000,0.896,1.586,1.000,High,STABLE,Skills-Backed Riser,18.759,194.000,,,,,179.345,0.485,,,,0.485,,20.200
23590,676962,ben brown,Ben Brown ,CHC,SP,pitcher,SP/RP,SP,,,73.000,79.000,3.236,21.571,18.334,18.334,5.811,-15.760,0.000,0.622,0.307,0.630,Medium,STABLE,Skills-Backed Riser,18.641,,12.000,25.200,0.000,1.000,,,2.776,2.678,3.321,,,
31623,694819,jacob misiorowski,Jacob Misiorowski ,MIL,SP,pitcher,SP,SP,,,137.000,116.000,17.064,33.464,16.400,16.400,16.781,-16.683,0.000,0.919,1.676,1.000,High,STABLE_SP,Skills-Backed Riser,18.075,,9.000,51.000,9.000,0.000,,,2.477,2.283,2.227,,0.253,39.500
37120,808959,munetaka murakami,Munetaka Murakami ,CHW,1B,hitter,1B,1B,588.000,472.000,,,11.882,28.304,16.422,16.422,26.700,-1.603,0.000,0.705,0.821,1.000,High,STABLE,Skills-Backed Riser,17.243,182.000,,,,,145.018,0.384,,,,0.384,,43.100
33572,805808,kevin mcgonigle,Kevin McGonigle ,DET,3B/SS,hitter,3B/SS,3B/SS,546.000,483.000,,,4.276,17.541,13.265,13.265,27.668,10.127,2.025,0.637,0.549,1.000,High,STABLE,Skills-Backed Riser,15.840,181.000,,,,,144.560,0.392,,,,0.392,,13.100
31857,687570,connor prielipp,Connor Prielipp ,MIN,SP,pitcher,RP,SP,,,57.000,73.000,-8.151,7.218,15.369,15.369,9.504,2.286,0.000,0.500,0.000,0.000,Low,RP_TO_SP,Role-Driven Riser,15.369,,,,,,,,,,,,,
15640,592450,aaron judge,Aaron Judge ,NYY,OF/DH,hitter,OF/DH,OF/DH,644.000,484.000,,,66.840,80.110,13.270,13.270,46.414,-33.695,0.000,0.875,1.502,1.000,High,STABLE,Skills-Backed Riser,14.771,194.000,,,,,178.658,0.435,,,,0.435,,33.300
10155,545361,mike trout,Mike Trout ,LAA,OF/DH,hitter,OF/DH,OF/DH,560.000,428.000,,,17.907,29.851,11.944,11.944,35.049,5.197,1.039,0.865,1.461,1.000,High,STABLE,Skills-Backed Riser,14.444,195.000,,,,,154.252,0.427,,,,0.427,,23.300
27475,691023,jordan walker,Jordan Walker ,STL,OF,hitter,OF,OF,532.000,436.000,,,3.279,12.509,9.230,9.230,32.360,19.851,3.970,0.733,0.933,1.000,High,STABLE,Skills-Backed Riser,14.133,176.000,,,,,161.098,0.388,,,,0.388,,34.400
30076,694738,landen roupp,Landen Roupp ,SFG,SP,pitcher,SP,SP,,,126.000,104.000,2.774,12.787,10.013,10.013,28.063,15.276,3.055,0.745,0.981,1.000,High,STABLE_SP,Skills-Backed Riser,14.050,,8.000,43.200,8.000,0.000,,,2.518,2.511,3.114,,0.255,25.500
31505,701398,sal stewart,Sal Stewart ,CIN,1B/2B/3B,hitter,1B/3B,1B/2B/3B,504.000,432.000,,,2.779,13.898,11.118,11.118,24.417,10.520,2.104,0.632,0.528,1.000,High,STABLE,Skills-Backed Riser,13.750,187.000,,,,,121.570,0.384,,,,0.384,,24.900
33703,690997,nolan mclean,Nolan McLean ,NYM,SP,pitcher,SP,SP,,,145.000,120.000,9.090,19.010,9.920,9.920,30.715,11.705,2.341,0.786,1.142,1.000,High,STABLE_SP,Skills-Backed Riser,13.403,,8.000,45.100,8.000,0.000,,,2.321,2.378,2.510,,0.245,26.300
27514,669165,kyle hurt,Kyle Hurt ,LAD,RP,pitcher,RP,RP,,,49.000,50.000,-9.502,3.722,13.224,13.224,0.616,-3.106,0.000,0.500,0.000,0.000,Low,STABLE_RP,Projection Riser,13.224,,,,,,,,,,,,,
29576,700250,ben rice,Ben Rice ,NYY,C/1B/DH,hitter,C/1B/DH,C/1B/DH,546.000,414.000,,,16.386,23.968,7.582,7.582,44.525,20.558,4.000,0.880,1.522,1.000,High,STABLE,Skills-Backed Riser,13.104,160.000,,,,,193.250,0.430,,,,0.430,,26.000
32095,693645,cam schlittler,Cam Schlittler ,NYY,SP,pitcher,SP,SP,,,119.000,93.000,7.906,15.913,8.007,8.007,40.283,24.370,4.000,0.766,1.065,1.000,High,STABLE_SP,Skills-Backed Riser,13.072,,9.000,53.100,9.000,0.000,,,2.515,1.644,2.533,,0.253,29.000
29518,695578,james wood,James Wood ,WSN,OF/DH,hitter,OF/DH,OF/DH,644.000,483.000,,,23.547,34.772,11.225,11.225,36.435,1.663,0.333,0.836,1.343,1.000,High,STABLE,Skills-Backed Riser,12.901,204.000,,,,,152.072,0.426,,,,0.426,,35.600
25816,669127,shea langeliers,Shea Langeliers ,ATH,C/DH,hitter,C/DH,C/DH,524.000,408.000,,,15.665,23.233,7.567,7.567,41.613,18.380,3.676,0.822,1.286,1.000,High,STABLE,Skills-Backed Riser,12.530,174.000,,,,,177.015,0.429,,,,0.429,,25.200
35110,701762,nick kurtz,Nick Kurtz ,ATH,1B/DH,hitter,1B/DH,1B/DH,616.000,472.000,,,25.835,37.238,11.402,11.402,26.929,-10.308,0.000,0.741,0.962,1.000,High,STABLE,Skills-Backed Riser,12.365,189.000,,,,,143.621,0.388,,,,0.388,,35.600
25420,666171,ryan zeferjahn,Ryan Zeferjahn ,LAA,RP,pitcher,RP,RP,,,52.000,47.000,-7.497,3.496,10.993,10.993,4.470,0.974,0.195,0.729,0.914,1.000,High,STABLE_RP,Skills-Backed Riser,12.102,,15.000,21.200,0.000,1.000,,,1.988,2.368,3.665,,,
22191,668964,tobias myers,Tobias Myers ,NYM,SP/RP,pitcher,SP/RP,SP/RP,,,76.000,61.000,-67.926,2.230,70.156,12.000,-39.620,-41.850,0.000,0.479,-0.047,0.555,Medium,STABLE,Projection Riser,11.953,,12.000,22.200,0.000,1.000,,,2.636,4.209,3.651,,,
20178,678246,miguel vargas,Miguel Vargas ,CHW,1B/3B/DH,hitter,1B/3B,1B/3B/DH,602.000,467.000,,,2.470,10.440,7.970,7.970,24.201,13.761,2.752,0.748,0.994,1.000,High,STABLE,Skills-Backed Riser,11.716,181.000,,,,,138.080,0.406,,,,0.406,,17.900
33829,684007,shota imanaga,Shota Imanaga ,CHC,SP,pitcher,SP,SP,,,148.000,122.000,-3.455,2.770,6.225,6.225,31.175,28.405,4.000,0.676,0.706,1.000,High,STABLE_SP,Skills-Backed Riser,10.931,,9.000,54.100,9.000,0.000,,,2.899,2.849,3.256,,0.273,32.300
13301,571970,max muncy,Max Muncy ,LAD,3B,hitter,3B,3B,455.000,329.000,,,4.625,11.188,6.564,6.564,26.029,14.841,2.968,0.839,1.355,1.000,High,STABLE,Skills-Backed Riser,10.887,156.000,,,,,156.643,0.420,,,,0.420,,28.500
31986,800048,parker messick,Parker Messick ,CLE,SP,pitcher,SP,SP,,,128.000,105.000,0.400,6.540,6.139,6.139,28.611,22.072,4.000,0.666,0.663,1.000,High,STABLE_SP,Skills-Backed Riser,10.802,,9.000,53.200,9.000,0.000,,,3.087,2.994,2.988,,0.281,27.400
19804,641329,bryan baker,Bryan Baker ,TBR,RP,pitcher,RP,RP,,,63.000,49.000,4.019,13.753,9.734,9.734,5.374,-8.379,0.000,0.648,0.505,0.855,High,RP_CLOSER,Skills-Backed Riser,10.239,,19.000,17.100,0.000,11.000,,,2.287,2.933,3.480,,,
11579,547180,bryce harper,Bryce Harper ,PHI,1B,hitter,1B,1B,665.000,494.000,,,29.431,38.698,9.266,9.266,26.535,-12.162,0.000,0.701,0.806,1.000,High,STABLE,Skills-Backed Riser,10.072,178.000,,,,,146.841,0.403,,,,0.403,,27.100
25679,687330,kevin kelly,Kevin Kelly ,TBR,RP,pitcher,RP,RP,,,48.000,45.000,-6.880,2.385,9.266,9.266,5.324,2.938,0.339,0.544,0.169,0.960,High,STABLE_RP,Projection Riser,9.773,,19.000,19.200,0.000,2.000,,,3.238,3.005,3.201,,,
