Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.850000023841858,484,943.2,109.650599791218,-30.541020620727615,80.10957917048945,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2699999809265137,494,886.9,97.5650826886464,-31.431161721578714,67.1339209670677,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF/DH",4.650000095367432,498,846.4,89.4659447685739,-30.541020620727615,59.92492414784637,"Juan Soto","20123",665742
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,499,822.5,84.9398018005785,-28.996070182351204,56.94373161822731,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez ","HOU","OF/DH",33.38999938964844,449,769.7,84.6629123565655,-30.541020620727615,55.12189173583791,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,499,805,81.7620323966145,-31.358405071320497,51.40362732529404,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr. ","ATL","OF/DH",5.260000228881836,406,649.1,70.770911033408,-30.541020620727615,41.229890412680405,"Ronald Acuna Jr.","18401",660670
"Bryce Harper ","PHI","1B",47.900001525878906,494,729.9,69.0559514645123,-31.358405071320497,38.697546393191836,"Bryce Harper","11579",547180
"Kyle Schwarber ","PHI","OF/DH",24.690000534057617,504,732.7,67.7022156061858,-30.541020620727615,38.16119498545815,"Kyle Schwarber","16478",656941
"Nick Kurtz ","ATH","1B/DH",19.8700008392334,472,699.3,67.5961883966663,-31.358405071320497,37.237783325345745,"Nick Kurtz","35110",701762
"Fernando Tatis Jr. ","SDP","2B/OF",14.010000228881836,503,704.9,62.8403198207561,-28.589876298931642,35.25044352182455,"Fernando Tatis Jr.","19709",665487
"Kyle Tucker ","LAD","OF/DH",13.130000114440918,478,689.2,64.6448541057448,-30.541020620727615,35.1038334850172,"Kyle Tucker","18345",663656
"Corbin Carroll ","ARI","OF/DH",14.100000381469727,477,688,64.6131678143405,-30.541020620727615,35.0721471936129,"Corbin Carroll","25878",682998
"Gunnar Henderson ","BAL","SS/DH",12.510000228881836,489,690.2,62.7780440695716,-28.996070182351204,34.78197388722037,"Gunnar Henderson","26289",683002
"James Wood ","WSN","OF/DH",37.790000915527344,483,692.5,64.3130011404405,-30.541020620727615,34.77198051971286,"James Wood","29518",695578
"Matt Olson ","ATL","1B",48.0099983215332,504,704.3,62.54514983061,-31.358405071320497,32.186744759289425,"Matt Olson","14344",621566
