Name,Team,POS,ADP,IP,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Paul Skenes ","PIT","SP",9.649999618530273,141,808.9000000000002,89.5072944125389,-51.32177836397119,46.29647639414807,"Paul Skenes","33677",694973
"Cristopher Sánchez ","PHI","SP",24.75,149,811.6000000000003,84.64597522541374,-51.32177836397119,40.529875531036446,"Cristopher Sanchez","20778",650911
"Chris Sale ","ATL","SP",39.36000061035156,126,697.6000000000001,81.3373257511801,-51.32177836397119,36.60508471203805,"Chris Sale","10603",519242
"Garrett Crochet ","BOS","SP",12.239999771118164,118,661.8000000000001,80.81324350527142,-51.32177836397119,35.983407135383025,"Garrett Crochet","27463",676979
"Tarik Skubal ","DET","SP",7.019999980926514,97,572.9000000000001,80.26323492917648,-51.32177836397119,35.330975190978336,"Tarik Skubal","22267",669373
"Jacob Misiorowski ","MIL","SP",114.13999938964844,116,640.6,78.6891363107228,-51.32177836397119,33.46374572045969,"Jacob Misiorowski","31623",694819
"Jesús Luzardo ","PHI","SP",70.58999633789062,137,707.6000000000001,75.67599408973498,-51.32177836397119,29.88949192979226,"Jesus Luzardo","19959",666200
"Jacob deGrom ","TEX","SP",50.0099983215332,125,658.2,75.58948480431744,-51.32177836397119,29.786872763933495,"Jacob deGrom","10954",594798
"Blake Snell ","LAD","SP",178.41000366210938,105,568.9000000000001,74.31181937947345,-51.32177836397119,28.271278692022673,"Blake Snell","13543",605483
"Logan Gilbert ","SEA","SP",37.150001525878906,119,620.3,73.39857762638067,-51.32177836397119,27.187971779042805,"Logan Gilbert","22250",669302
"Logan Webb ","SFG","SP",57.189998626708984,135,679.3,72.39671015275312,-51.32177836397119,25.999535139571538,"Logan Webb","17995",657277
"Bryan Woo ","SEA","SP",34.77000045776367,137,687.0000000000002,72.32435452718222,-51.32177836397119,25.913705347943566,"Bryan Woo","30279",693433
"Dylan Cease ","TOR","SP",74.7699966430664,126,637.7,71.5915388678349,-51.32177836397119,25.0444237288954,"Dylan Cease","18525",656302
"Shohei Ohtani ","LAD","SP",1.2699999809265137,90,491,71.57606243604003,-51.32177836397119,25.02606525426931,"Shohei Ohtani","19755",660271
"Zack Wheeler ","PHI","SP",110.48999786376953,129,648.8,71.40979000214116,-51.32177836397119,24.82882933456828,"Zack Wheeler","10310",554430
"Mason Miller ","SDP","RP",27.860000610351562,50,475,2.715200352461093,30.459523278825785,24.222306541900814,"Mason Miller","31757",695243
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,114,582.9,70.62644445436953,-51.32177836397119,23.899608080416094,"Yoshinobu Yamamoto","33825",808967
"George Kirby ","SEA","SP",64.58000183105469,125,626.2,70.38305441588595,-51.32177836397119,23.61089360766364,"George Kirby","25436",669923
"Grant Taylor ","CHW","SP/RP",506.67999267578125,71,467.2,1.4461329452809164,30.459523278825785,23.333959356874693,"Grant Taylor","33927",691799
"Griffin Jax ","TBR","SP",149.2100067138672,85,459,69.6825143920767,-51.32177836397119,22.779898038263145,"Griffin Jax","20253",643377
"Chase Burns ","CIN","SP",109.72000122070312,99,516,69.68039795695944,-51.32177836397119,22.777387477630487,"Chase Burns","35333",695505
"Ben Brown ","CHC","SP",733.6500244140625,79,428.3,68.66305405153703,-51.32177836397119,21.57059236353317,"Ben Brown","23590",676962
"Tyler Glasnow ","LAD","SP",113.73999786376953,92,476.3000000000002,67.85920553856708,-51.32177836397119,20.61705005325239,"Tyler Glasnow","14374",607192
"Framber Valdez ","DET","SP",81.13999938964844,142,676.9999999999999,67.38446268632916,-51.32177836397119,20.053899921345465,"Framber Valdez","17295",664285
"Hunter Brown ","HOU","SP",36.189998626708984,91,467.5,67.090013650642,-51.32177836397119,19.704618173330886,"Hunter Brown","25880",686613
"Cole Ragans ","KCR","SP",48.15999984741211,114,559.3999999999999,66.80297213786513,-51.32177836397119,19.364123387530398,"Cole Ragans","21846",666142
"Max Fried ","NYY","SP",50.04999923706055,122,591.0000000000001,66.64371039529222,-51.32177836397119,19.17520369992503,"Max Fried","13743",608331
"Nolan McLean ","NYM","SP",87.29000091552734,120,582,66.5045547863331,-51.32177836397119,19.010134338329586,"Nolan McLean","33703",690997
"Drew Rasmussen ","TBR","SP",132.36000061035156,118,573.3000000000001,66.41420946226559,-51.32177836397119,18.90296478132422,"Drew Rasmussen","25385",656876
"José Soriano ","LAA","SP",321.80999755859375,127,608.2000000000002,66.129284384606,-51.32177836397119,18.5649805561564,"Jose Soriano","22100",667755
"Cade Smith ","CLE","RP",39.90999984741211,51,424.10000000000014,-5.56627798413772,30.459523278825785,18.42527170628165,"Cade Smith","27867",671922
"Jhoan Duran ","PHI","RP",41.84000015258789,50,420.3,-6.1845415927639795,30.459523278825785,17.992487180243266,"Jhoan Duran","21029",661395
"Spencer Strider ","ATL","SP",124.86000061035156,115,554.9,65.40824139559837,-51.32177836397119,17.709663930627254,"Spencer Strider","27498",675911
"Shane McClanahan ","TBR","SP",182.99000549316406,118,565.8,65.1939523399769,-51.32177836397119,17.45546966657342,"Shane McClanahan","21483",663556
"Aroldis Chapman ","BOS","RP",64.55000305175781,46,390.4000000000001,-8.398994111380109,30.459523278825785,16.442370417211976,"Aroldis Chapman","10233",547973
"Joe Ryan ","MIN","SP",78.52999877929688,123,580.0000000000001,64.19142348037526,-51.32177836397119,16.26624847690452,"Joe Ryan","21390",657746
"Andrés Muñoz ","SEA","RP",41.189998626708984,47,392.4,-8.736168680996789,30.459523278825785,16.2063482184803,"Andres Munoz","20373",662253
"Cam Schlittler ","NYY","SP",116.62999725341797,93,456,63.89379979201218,-51.32177836397119,15.913200887940931,"Cam Schlittler","32095",693645
"Nathan Eovaldi ","TEX","SP",132.50999450683594,121,567,63.401464072862204,-51.32177836397119,15.329181720775336,"Nathan Eovaldi","9132",543135
"Kyle Bradish ","BAL","SP",72.95999908447266,106,505.0000000000001,63.25265222868071,-51.32177836397119,15.152657926293589,"Kyle Bradish","24586",680694
"Braxton Ashcraft ","PIT","SP",239.36000061035156,115,539.6,62.91891686612956,-51.32177836397119,14.75677389653573,"Braxton Ashcraft","23793",677952
"Emmet Sheehan ","LAD","SP",111.20999908447266,95,456.79999999999995,62.6988076139357,-51.32177836397119,14.495675590742183,"Emmet Sheehan","29839",686218
"Devin Williams ","NYM","RP",59.470001220703125,47,377.29999999999995,-11.192953020537901,30.459523278825785,14.486599180801521,"Devin Williams","15816",642207
"Eury Pérez ","MIA","SP",78.6500015258789,98,468.9000000000001,62.67975969788049,-51.32177836397119,14.473080545048564,"Eury Perez","27768",691587
"Sonny Gray ","BOS","SP",138.08999633789062,124,574.6999999999999,62.666531978397636,-51.32177836397119,14.457389541094567,"Sonny Gray","12768",543243
