Name,Team,POS,ADP,IP,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",7.019999980926514,202,1222.7,68.60044885774485,-16.088832072061916,65.3200349445658,"Tarik Skubal","22267",669373
"Garrett Crochet ","BOS","SP",12.239999771118164,199,1138.4,58.24300551504893,-16.088832072061916,52.633487500073564,"Garrett Crochet","27463",676979
"Paul Skenes ","PIT","SP",9.649999618530273,191,1116.1000000000001,55.50313616104988,-16.088832072061916,49.2774968949469,"Paul Skenes","33677",694973
"Logan Webb ","SFG","SP",57.189998626708984,205,1067.3000000000002,49.50736824736589,-16.088832072061916,41.9334457052527,"Logan Webb","17995",657277
"Cristopher Sánchez ","PHI","SP",24.75,202,1066.2,49.372217741114795,-16.088832072061916,41.76790356778005,"Cristopher Sanchez","20778",650911
"Bryan Woo ","SEA","SP",34.77000045776367,197,1022.4000000000001,43.99077031039022,-16.088832072061916,35.176316639325,"Bryan Woo","30279",693433
"Chris Sale ","ATL","SP",39.36000061035156,162,894.3999999999999,42.66417013232376,-16.088832072061916,33.55140057248689,"Chris Sale","10603",519242
"Framber Valdez ","DET","SP",81.13999938964844,194,992.1000000000001,40.26798818365611,-16.088832072061916,30.616383216215684,"Framber Valdez","17295",664285
"Logan Gilbert ","SEA","SP",37.150001525878906,164,872.8000000000002,38.98173391838943,-16.088832072061916,29.040885748156285,"Logan Gilbert","22250",669302
"Zack Wheeler ","PHI","SP",110.48999786376953,157,838.8999999999999,38.41664209034819,-16.088832072061916,28.34872031217583,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,155,818.8,36.97564547640095,-16.088832072061916,26.583683197771883,"Yoshinobu Yamamoto","33825",808967
"Cole Ragans ","KCR","SP",48.15999984741211,164,856.2,36.94218991496411,-16.088832072061916,26.542704400842247,"Cole Ragans","21846",666142
"Hunter Brown ","HOU","SP",36.189998626708984,182,925.7,36.22409908015344,-16.088832072061916,25.663134690069448,"Hunter Brown","25880",686613
"Chase Burns ","CIN","SP",109.72000122070312,109,609.9,34.96648543199768,-16.088832072061916,24.1227183260813,"Chase Burns","35333",695505
"George Kirby ","SEA","SP",64.58000183105469,172,871.5999999999999,34.720010092280596,-16.088832072061916,23.820817462349,"George Kirby","25436",669923
"Max Fried ","NYY","SP",50.04999923706055,188,936.1999999999998,34.42845691171931,-16.088832072061916,23.463701991339285,"Max Fried","13743",608331
"Mason Miller ","SDP","RP",27.860000610351562,66,607.8000000000002,-6.948684136605438,38.46332491242405,23.06024854307302,"Mason Miller","31757",695243
"Jacob deGrom ","TEX","SP",50.0099983215332,170,857.9999999999999,34.077630106180585,-16.088832072061916,23.033983887555937,"Jacob deGrom","10954",594798
"Grant Taylor ","CHW","SP/RP",506.67999267578125,92,605.8000000000001,-7.194412329789222,38.46332491242405,22.888238807844374,"Grant Taylor","33927",691799
"Jesús Luzardo ","PHI","SP",70.58999633789062,178,885.5999999999999,33.354392261918086,-16.088832072061916,22.14810974648627,"Jesus Luzardo","19959",666200
"Shohei Ohtani ","LAD","SP",1.2699999809265137,114,616.4999999999999,33.20595915063005,-16.088832072061916,21.966298111473346,"Shohei Ohtani","19755",660271
"Emmet Sheehan ","LAD","SP",111.20999908447266,147,751.5999999999999,32.83346509562478,-16.088832072061916,21.510040389827378,"Emmet Sheehan","29839",686218
"Jhoan Duran ","PHI","RP",41.84000015258789,70,589,-9.258529152532903,38.46332491242405,21.443357031923796,"Jhoan Duran","21029",661395
"Edwin Díaz ","LAD","RP",33,66,581.7,-10.155437057653662,38.46332491242405,20.815521498339265,"Edwin Diaz","14710",621242
"Cade Smith ","CLE","RP",39.90999984741211,70,580.4000000000001,-10.315160383223109,38.46332491242405,20.70371517044066,"Cade Smith","27867",671922
"Blake Snell ","LAD","SP",178.41000366210938,125,645.2,31.075014221294193,-16.088832072061916,19.356162284210125,"Blake Snell","13543",605483
"Dylan Cease ","TOR","SP",74.7699966430664,172,841.8999999999999,31.070946423501596,-16.088832072061916,19.351179750588376,"Dylan Cease","18525",656302
"Tyler Glasnow ","LAD","SP",113.73999786376953,135,686,30.94501072449493,-16.088832072061916,19.19692457703437,"Tyler Glasnow","14374",607192
"Kyle Bradish ","BAL","SP",72.95999908447266,145,716.4000000000001,29.53722062314008,-16.088832072061916,17.472561206481178,"Kyle Bradish","24586",680694
"Devin Williams ","NYM","RP",59.470001220703125,64,541.8000000000001,-15.057714511669886,38.46332491242405,17.38392728052791,"Devin Williams","15816",642207
"Aroldis Chapman ","BOS","RP",64.55000305175781,62,540.5,-15.217437837239345,38.46332491242405,17.27212095262929,"Aroldis Chapman","10233",547973
"Sonny Gray ","BOS","SP",138.08999633789062,177,848.8999999999999,29.35956578077071,-16.088832072061916,17.254956676879548,"Sonny Gray","12768",543243
"Abner Uribe ","MIL","RP",167.27999877929688,72,538.1000000000001,-15.512311669059851,38.46332491242405,17.065709270354933,"Abner Uribe","25327",682842
"Jacob Misiorowski ","MIL","SP",114.13999938964844,137,680.2000000000003,29.203827236712392,-16.088832072061916,17.064196818219514,"Jacob Misiorowski","31623",694819
"Andrés Muñoz ","SEA","RP",41.189998626708984,64,534.7,-15.930049597472273,38.46332491242405,16.77329272046624,"Andres Munoz","20373",662253
"Trey Yesavage ","TOR","SP",194.2899932861328,118,597.8,28.85125708926253,-16.088832072061916,16.632343342883964,"Trey Yesavage","35456",702056
"Griffin Jax ","TBR","RP",149.2100067138672,68,527.7,-16.79009827361547,38.46332491242405,16.171258647166,"Griffin Jax","20253",643377
"Daniel Palencia ","CHC","RP",91.05999755859375,67,526.4999999999999,-16.937535189525754,38.46332491242405,16.068052806028803,"Daniel Palencia","27914",694037
"David Bednar ","NYY","RP",64.05999755859375,65,526.1,-16.98668082816249,38.46332491242405,16.033650858983087,"David Bednar","19569",670280
"Drew Rasmussen ","TBR","SP",132.36000061035156,159,761.9,27.927534925223405,-16.088832072061916,15.500901473315302,"Drew Rasmussen","25385",656876
"Joe Ryan ","MIN","SP",78.52999877929688,168,799.0999999999999,27.86950654446818,-16.088832072061916,15.42982410593608,"Joe Ryan","21390",657746
"Reid Detmers ","LAA","SP",350.4599914550781,149,712.7,27.02548001065083,-16.088832072061916,14.39599922160927,"Reid Detmers","27468",672282
"Edward Cabrera ","CHC","SP",174.72000122070312,139,670.5,26.983473772221426,-16.088832072061916,14.34454693563803,"Edward Cabrera","21690",665795
"Nathan Eovaldi ","TEX","SP",132.50999450683594,174,816.2000000000003,26.884767413540555,-16.088832072061916,14.223644232041677,"Nathan Eovaldi","9132",543135
"Eury Pérez ","MIA","SP",78.6500015258789,133,641.4000000000001,26.493843744046483,-16.088832072061916,13.744812582558511,"Eury Perez","27768",691587
"Hunter Greene ","CIN","SP",444.32000732421875,81,423.49999999999994,26.464622012965147,-16.088832072061916,13.70901968796981,"Hunter Greene","22182",668881
"Grayson Rodriguez ","LAA","SP",397.1099853515625,113,555.8,26.262394351277422,-16.088832072061916,13.461316587918645,"Grayson Rodriguez","24492",680570
"Josh Hader ","HOU","RP",124.38999938964844,61,494.80000000000007,-20.832327051488498,38.46332491242405,13.341698502654884,"Josh Hader","14212",623352
"Nick Pivetta ","SDP","SP",96.01000213623047,174,809.5,26.061577966374884,-16.088832072061916,13.21534212198116,"Nick Pivetta","15454",601713
"Ryan Walker ","SFG","RP",144.55999755859375,63,488.4000000000001,-21.618657269676557,38.46332491242405,12.791267349923237,"Ryan Walker","20423",676254
"Gerrit Cole ","NYY","SP",232.89999389648438,134,636.8,25.41438303594897,-16.088832072061916,12.422610854329726,"Gerrit Cole","13125",543037
"Spencer Strider ","ATL","SP",124.86000061035156,147,691.1999999999998,25.412473661474895,-16.088832072061916,12.420272114058289,"Spencer Strider","27498",675911
"MacKenzie Gore ","TEX","SP",164.82000732421875,161,748.3000000000002,25.22801148402415,-16.088832072061916,12.194329466967343,"MacKenzie Gore","22201",669022
"José Soriano ","LAA","SP",321.80999755859375,175,806.8999999999999,25.227845451461164,-16.088832072061916,12.194126098248061,"Jose Soriano","22100",667755
"Ryan Helsley ","BAL","RP",85.58999633789062,64,476.1,-23.129885657756763,38.46332491242405,11.733407478267097,"Ryan Helsley","18138",664854
"Jeff Hoffman ","TOR","RP",99.63999938964844,63,474.70000000000005,-23.301895392985394,38.46332491242405,11.613000663607055,"Jeff Hoffman","17432",656546
"Freddy Peralta ","NYM","SP",56.36000061035156,163,751.9999999999999,24.654036913864466,-16.088832072061916,11.491283804506828,"Freddy Peralta","18679",642547
"Jose A. Ferrer ","SEA","RP",999,70,469.29999999999995,-23.965361514581588,38.46332491242405,11.148574378489721,"Jose A. Ferrer","24017",678606
"Shane McClanahan ","TBR","SP",182.99000549316406,141,657.5000000000001,24.357668788977303,-16.088832072061916,11.128270640638771,"Shane McClanahan","21483",663556
"Jeremiah Estrada ","SDP","RP",623.5800170898438,70,466.4,-24.321667394698053,38.46332491242405,10.899160262408191,"Jeremiah Estrada","22210",669093
"Jack Flaherty ","DET","SP",209,161,738.1000000000001,23.97479769878691,-16.088832072061916,10.659302374039443,"Jack Flaherty","17479",656427
