Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.850000023841858,644,1293.2,60.6205052521422,5.2192712530485075,66.83977650519066,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2699999809265137,679,1254,56.8416296308784,1.22286719427743,59.06449682515589,"Shohei Ohtani","19755",660271
"Juan Soto ","NYM","OF",4.650000095367432,686,1178.5,49.5634380644139,5.2192712530485075,55.78270931746246,"Juan Soto","20123",665742
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,679,1090.2,41.0513279277409,7.050869154030602,49.10219708177148,"Bobby Witt Jr.","25764",677951
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,651,1051.7,37.3399322282855,5.2192712530485075,43.55920348133398,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,679,1079.4,40.0102091341274,1.22286719427743,42.23307632840485,"Vladimir Guerrero Jr.","19611",665489
"Gunnar Henderson ","BAL","SS/DH",12.510000228881836,672,998.2,32.1825382043669,7.050869154030602,40.233407358397514,"Gunnar Henderson","26289",683002
"Yordan Alvarez ","HOU","OF/DH",33.38999938964844,560,956,31.7297581050056,5.2192712530485075,37.94902935805407,"Yordan Alvarez","19556",670541
"Kyle Schwarber ","PHI","OF/DH",24.690000534057617,686,981.7,30.5919400474574,5.2192712530485075,36.81121130050595,"Kyle Schwarber","16478",656941
"Kyle Tucker ","LAD","OF/DH",13.130000114440918,651,965.9,29.0688218123563,5.2192712530485075,35.28809306540477,"Kyle Tucker","18345",663656
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,672,962.2,28.7121422256554,5.2192712530485075,34.93141347870386,"Fernando Tatis Jr.","19709",665487
"Julio Rodríguez ","SEA","OF",9.489999771118164,686,960,28.5000624714008,5.2192712530485075,34.71933372444927,"Julio Rodriguez","23697",677594
"Elly De La Cruz ","CIN","SS",8.449999809265137,672,932.3,25.8297855655588,7.050869154030602,33.880654719589415,"Elly De La Cruz","26668",682829
"Brent Rooker ","ATH","OF/DH",42.11000061035156,672,929.1,25.5213059230067,5.2192712530485075,31.740577176055183,"Brent Rooker","19627",667670
"Corbin Carroll ","ARI","OF",14.100000381469727,637,911.9,23.8632278442889,5.2192712530485075,30.08249909733744,"Corbin Carroll","25878",682998
"Bryce Harper ","PHI","1B",47.900001525878906,665,946.6,27.2083039682136,1.22286719427743,29.431171162491115,"Bryce Harper","11579",547180
"Pete Alonso ","BAL","1B",24.440000534057617,679,936.2,26.2057451299192,1.22286719427743,28.42861232419666,"Pete Alonso","19251",624413
"Junior Caminero ","TBR","3B/DH",16.479999542236328,665,919,24.5476670512015,2.063641875254538,27.611308926456022,"Junior Caminero","28163",691406
"Austin Riley ","ATL","3B",59.36000061035156,672,915.5,24.2102674421601,2.063641875254538,27.27390931741462,"Austin Riley","18360",663586
"Riley Greene ","DET","OF/DH",78.4800033569336,651,881,20.8844712958948,5.2192712530485075,27.103742548943355,"Riley Greene","25976",682985
"Matt Olson ","ATL","1B",48.0099983215332,686,921,24.7404668277966,1.22286719427743,26.963334022074005,"Matt Olson","14344",621566
"Cal Raleigh ","SEA","C/DH",18.729999542236328,637,868.1,19.6409127368566,6.10501259796492,26.74592533482146,"Cal Raleigh","21534",663728
"Nick Kurtz ","ATH","1B/DH",19.8700008392334,616,909.3,23.6125881347154,1.22286719427743,25.835455328992747,"Nick Kurtz","35110",701762
"Corey Seager ","TEX","SS/DH",95.08999633789062,567,815.1,17.5143371861926,7.050869154030602,25.565206340223206,"Corey Seager","13624",608369
"Zach Neto ","LAA","SS",32.29999923706055,665,845.9,17.5008352166511,7.050869154030602,25.55170437068168,"Zach Neto","31347",687263
"Ketel Marte ","ARI","2B/DH",32.63999938964844,637,845.1,17.423715306013,6.591712295277061,25.015427601290103,"Ketel Marte","13613",606466
"Wyatt Langford ","TEX","OF",37.75,644,850.2,17.9153547363305,5.2192712530485075,24.13462598937903,"Wyatt Langford","33333",694671
"José Ramírez ","CLE","3B/DH",6.28000020980835,679,882.7,21.0483511060007,2.063641875254538,24.111992981255206,"Jose Ramirez","13510",608070
"James Wood ","WSN","OF/DH",37.790000915527344,644,844.1,17.3273154177155,5.2192712530485075,23.54658667076401,"James Wood","29518",695578
"Rafael Devers ","SFG","1B/DH",61.619998931884766,686,877.6,20.5567116756832,1.22286719427743,22.77957886996063,"Rafael Devers","17350",646240
"Mookie Betts ","LAD","SS",60.58000183105469,651,802.7,13.3363600421972,7.050869154030602,21.387229196227818,"Mookie Betts","13611",605141
"Freddie Freeman ","LAD","1B",67.87999725341797,651,862.1,19.0625134070713,1.22286719427743,21.28538060134871,"Freddie Freeman","5361",518692
"Francisco Lindor ","NYM","SS",25.350000381469727,651,800.8,13.1532002544319,7.050869154030602,21.204069408462484,"Francisco Lindor","12916",596019
"Bo Bichette ","NYM","SS/DH",92.86000061035156,658,799.2,12.9989604331558,7.050869154030602,21.049829587186416,"Bo Bichette","19612",666182
"Byron Buxton ","MIN","OF/DH",73.4800033569336,560,780.4,14.801937719957,5.2192712530485075,21.021208973005482,"Byron Buxton","14161",621439
"Jackson Chourio ","MIL","OF",19.3799991607666,651,815.2,14.5413586459166,5.2192712530485075,20.76062989896501,"Jackson Chourio","28806",694192
"Roman Anthony ","BOS","OF/DH",50.75,630,805.6,13.6159197182601,5.2192712530485075,19.8351909713086,"Roman Anthony","31812",701350
"Geraldo Perdomo ","ARI","SS",76.7699966430664,686,782.2,11.3601623320976,7.050869154030602,19.411031486128177,"Geraldo Perdomo","22799",672695
"Willy Adames ","SFG","SS",133.92999267578125,679,776.4,10.8010429799718,7.050869154030602,18.85191213400243,"Willy Adames","15986",642715
"Jo Adell ","LAA","OF",120.33000183105469,609,792.1,12.3145212262432,5.2192712530485075,18.53379247929177,"Jo Adell","20220",666176
"Pete Crow-Armstrong ","CHC","OF",32.939998626708984,644,790.1,12.1217214496482,5.2192712530485075,18.340992702696678,"Pete Crow-Armstrong","27769",691718
"Trea Turner ","PHI","SS",26.780000686645508,644,768.6,10.049123851251,7.050869154030602,18.099993005281593,"Trea Turner","16252",607208
"Mike Trout ","LAA","OF/DH",178.44000244140625,560,748.1,11.6882213279463,5.2192712530485075,17.907492580994834,"Mike Trout","10155",545361
"Jazz Chisholm Jr. ","NYY","2B/3B",19.520000457763672,602,770.1,10.1937236836973,6.591712295277061,17.785435978974366,"Jazz Chisholm Jr.","20454",665862
"Randy Arozarena ","SEA","OF",89.37999725341797,679,783.3,11.4662022092248,5.2192712530485075,17.685473462273386,"Randy Arozarena","19290",668227
"Taylor Ward ","BAL","OF",148.42999267578125,658,782.1,11.3505223432678,5.2192712530485075,17.569793596316334,"Taylor Ward","17548",621493
"Gleyber Torres ","DET","2B/DH",261.510009765625,658,763.2,9.52856445444425,6.591712295277061,17.120276749721324,"Gleyber Torres","16997",650402
"William Contreras ","MIL","C/DH",56.560001373291016,610,767.7,9.96236395178319,6.10501259796492,17.067376549748122,"William Contreras","20503",661388
"Jarren Duran ","BOS","OF",64.04000091552734,602,772.3,10.4058034379519,5.2192712530485075,16.625074691000407,"Jarren Duran","24617",680776
"Maikel Garcia ","KCR","2B/3B/SS/OF/DH",63.150001525878906,665,751.9,8.43924571668202,7.050869154030602,16.490114870712624,"Maikel Garcia","22715",672580
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,546,710,9.28073889918813,6.10501259796492,16.38575149715309,"Ben Rice","29576",700250
"Vinnie Pasquantino ","KCR","1B/DH",77.0999984741211,637,806.8,13.7315995842171,1.22286719427743,15.95446677849457,"Vinnie Pasquantino","27676",686469
"Ian Happ ","CHC","OF",184.86000061035156,658,764,9.60568436508229,5.2192712530485075,15.8249556181308,"Ian Happ","17919",664023
"Manny Machado ","SDP","3B/DH",37.52000045776367,644,796.3,12.719400757093,2.063641875254538,15.783042632347476,"Manny Machado","11493",592518
"Shea Langeliers ","ATH","C/DH",54.04999923706055,524,681.9,8.56031439076444,6.10501259796492,15.665326988729358,"Shea Langeliers","25816",669127
"Christian Yelich ","MIL","OF/DH",127.22000122070312,637,758.8,9.1044049459351,5.2192712530485075,15.323676198983575,"Christian Yelich","11477",592885
"CJ Abrams ","WSN","SS",65,630,739.3,7.22460712413297,7.050869154030602,15.275476278163577,"CJ Abrams","25768",682928
"Hunter Goodman ","COL","C/DH",67.36000061035156,583,731.8,8.03810841628926,6.10501259796492,15.143121014254186,"Hunter Goodman","29715",696100
"Teoscar Hernández ","LAD","OF",125.41999816894531,595,751.7,8.87187763737188,5.2192712530485075,15.09114889042039,"Teoscar Hernandez","13066",606192
"Jackson Merrill ","SDP","OF",70.79000091552734,630,754.7,8.70916540391514,5.2192712530485075,14.928436656963648,"Jackson Merrill","29490",701538
"Seiya Suzuki ","CHC","OF/DH",113.43000030517578,567,723.7,8.70338739579716,5.2192712530485075,14.92265864884566,"Seiya Suzuki","30116",673548
"George Springer ","TOR","OF/DH",94.37999725341797,595,748.2,8.53447802833048,5.2192712530485075,14.753749281378989,"George Springer","12856",543807
"Oneil Cruz ","PIT","OF",92.93000030517578,560,715.3,8.52630499178691,5.2192712530485075,14.74557624483542,"Oneil Cruz","21711",665833
"Dansby Swanson ","CHC","SS",152.30999755859375,686,732.7,6.58836786136919,7.050869154030602,14.639237015399793,"Dansby Swanson","18314",621020
