Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",10,6,16,2.86616,24,24,0,0,,141,566,116,49,45,13,35,,6,166,10.6073,2.24168,4.73184,0.828361,0.29271,0.0618597,0.2308507077395916,0.220243,1.07184,0.29643,0.767785,,,2.84676,3.97607,4.29023,9.649999618530273,,,,,,,790.9,5.609219858156028,745,5.283687943262412,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",11,6,16,3.00348,24,24,0,0,,149,610,129,54,50,12,38,,6,153,9.2386,2.27539,4.06023,0.750885,0.250368,0.0616637,0.18870480358600616,0.228483,1.12215,0.291631,0.753626,,,3.05244,3.89648,4.297,24.75,,,,,,,793.6000000000003,5.326174496644297,763,5.120805369127517,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Garrett Crochet","BOS",8,5,12,3.05478,19,19,0,0,,118,478,98,44,40,12,31,,5,142,10.8259,2.36454,4.57843,0.928692,0.297697,0.0650217,0.2326756864786148,0.221876,1.09157,0.298679,0.761109,,,2.98576,3.17991,3.22446,12.239999771118164,,,,,,,646.8,5.48135593220339,610,5.169491525423729,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10,5,14,2.96179,21,21,0,0,,126,517,101,45,42,14,36,,5,154,10.96,2.54374,4.30864,0.987667,0.29724,0.0689869,0.22825299948453903,0.212599,1.08434,0.283193,0.77888,,,3.10424,3.0643,3.61977,39.36000061035156,,,,,,,682.6,5.417460317460318,633,5.023809523809524,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",10,6,15,3.29943,24,24,0,0,,137,570,114,55,50,16,43,,6,158,10.338,2.80249,3.68885,1.06573,0.277104,0.0751192,0.2019844874739647,0.219724,1.14395,0.283162,0.760135,,,3.44553,3.01009,3.33687,70.58999633789062,,,,,,,689.6000000000003,5.033576642335769,646,4.7153284671532845,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Tarik Skubal","DET",7,3,11,2.69587,15,15,0,0,,97,382,77,32,29,9,20,,4,113,10.5076,1.86044,5.64793,0.875092,0.295573,0.0523329,0.24323992803692818,0.21387,0.99881,0.284909,0.778554,,,2.80323,2.80436,2.95854,7.019999980926514,,,,,,,560.9000000000001,5.7824742268041245,522,5.381443298969073,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Jacob deGrom","TEX",8,6,13,3.23299,21,21,0,0,,125,502,100,49,45,16,32,,5,143,10.3274,2.28074,4.52809,1.18058,0.285605,0.063074,0.2225305363535881,0.215747,1.05655,0.274952,0.760913,,,3.43095,2.7701,2.83982,50.0099983215332,,,,,,,643.2,5.1456,592,4.736,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Logan Webb","SFG",9,6,13,3.43684,21,21,0,0,,135,560,129,56,52,11,33,,6,125,8.29716,2.19054,3.78773,0.759464,0.222757,0.0588103,0.16394700482487679,0.248086,1.19922,0.306144,0.723473,,,3.24579,2.75136,2.71938,57.189998626708984,,,,,,,661.3000000000001,4.898518518518519,665,4.925925925925926,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",9,6,13,3.47066,21,21,0,0,,129,526,110,54,50,16,35,,6,141,9.84297,2.45036,4.01696,1.13934,0.26913,0.0669986,0.20213186740875244,0.226393,1.12094,0.285586,0.741487,,,3.53858,2.70777,2.90304,110.48999786376953,,,,,,,630.8,4.889922480620155,596,4.62015503875969,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Framber Valdez","DET",10,7,13,3.62536,23,23,0,0,,142,593,132,63,57,12,47,,6,129,8.16214,2.96794,2.7501,0.771391,0.217523,0.0790965,0.13842670619487762,0.244445,1.25718,0.300464,0.718629,,,3.56146,2.68469,2.46738,81.13999938964844,,,,,,,659,4.640845070422535,653,4.598591549295775,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Dylan Cease","TOR",9,6,14,3.37815,23,23,0,0,,126,530,102,52,47,15,49,,6,151,10.7778,3.47827,3.09861,1.05225,0.28497,0.0919672,0.19300279021263123,0.215192,1.19735,0.282822,0.761743,,,3.56244,2.53983,2.54563,74.7699966430664,,,,,,,619.7,4.9182539682539685,572,4.5396825396825395,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Yoshinobu Yamamoto","LAD",9,5,12,3.344,19,19,0,0,,114,459,93,46,42,13,35,,5,123,9.71422,2.75523,3.52574,1.00845,0.266827,0.0756796,0.19114719331264496,0.222645,1.12888,0.283834,0.743881,,,3.48264,2.49194,2.64717,26.639999389648438,,,,,,,567.8999999999999,4.98157894736842,527,4.62280701754386,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Bryan Woo","SEA",10,7,14,3.23761,22,22,0,0,,137,552,114,54,49,18,29,,6,139,9.13083,1.89955,4.80685,1.16498,0.251059,0.0522295,0.19882972165942192,0.221146,1.04907,0.267847,0.756078,,,3.54364,2.48809,2.68833,34.77000045776367,,,,,,,669.0000000000002,4.883211678832119,624,4.554744525547445,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"José Soriano","LAA",8,7,13,3.58753,22,22,0,0,,127,548,116,55,51,10,53,,6,126,8.90956,3.78275,2.35531,0.731759,0.229857,0.0975907,0.13226603716611862,0.237135,1.33016,0.29959,0.735643,,,3.62211,2.42826,2.47405,321.80999755859375,,,,,,,590.2000000000002,4.64724409448819,580,4.566929133858268,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Drew Rasmussen","TBR",7,7,13,3.49299,23,23,0,0,,118,482,105,50,46,13,31,,5,113,8.64116,2.34826,3.67981,0.99878,0.234178,0.0636386,0.17053931206464767,0.23515,1.15364,0.286849,0.731002,,,3.56837,2.397,2.35073,132.36000061035156,,,,,,,558.3000000000001,4.731355932203391,539,4.567796610169491,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Logan Gilbert","SEA",9,6,13,3.10891,21,21,0,0,,119,484,98,45,41,15,27,,5,130,9.83427,2.07,4.75086,1.10767,0.269455,0.0567171,0.21273771673440933,0.217469,1.05289,0.272496,0.767217,,,3.36359,2.39,2.56158,37.150001525878906,,,,,,,605.3,5.086554621848739,564,4.739495798319328,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Blake Snell","LAD",9,5,12,3.04986,19,19,0,0,,105,440,78,39,35,11,46,,5,134,11.5483,3.92479,2.94241,0.956306,0.305181,0.103718,0.2014630138874054,0.199911,1.17958,0.273525,0.785255,,,3.40642,2.38846,2.81852,178.41000366210938,,,,,,,553.9000000000001,5.275238095238096,497,4.733333333333333,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"George Kirby","SEA",9,7,13,3.26703,22,22,0,0,,125,514,111,50,45,14,26,,5,120,8.64817,1.85695,4.65718,1.02822,0.233807,0.0502036,0.18360374867916107,0.230518,1.09671,0.278447,0.747502,,,3.44042,2.37407,2.36266,64.58000183105469,,,,,,,611.1999999999999,4.8896,590,4.72,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Max Fried","NYY",9,6,12,3.42848,20,20,0,0,,122,504,107,51,47,12,38,,5,114,8.38126,2.7647,3.03152,0.883471,0.225939,0.0745298,0.15140917152166367,0.231613,1.1804,0.28279,0.732836,,,3.6035,2.36534,2.3638,50.04999923706055,,,,,,,576.0000000000002,4.721311475409838,553,4.532786885245901,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Sonny Gray","BOS",8,7,12,3.87562,22,22,0,0,,124,520,119,58,53,15,33,,5,125,9.06523,2.4136,3.75589,1.11207,0.240335,0.0639889,0.17634627223014832,0.247984,1.23015,0.305058,0.71873,,,3.66253,2.34187,2.11026,138.08999633789062,,,,,,,559.6999999999999,4.513709677419354,561,4.524193548387097,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Jacob Misiorowski","MIL",8,4,14,2.98239,27,21,0,0,,116,497,82,42,38,12,57,,6,157,12.1998,4.46208,2.7341,0.971554,0.316057,0.115598,0.20045897364616394,0.190424,1.20818,0.265384,0.800573,,,3.47078,2.28401,3.03788,114.13999938964844,,,,,,,622.6000000000001,5.367241379310346,549,4.732758620689655,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Nathan Eovaldi","TEX",8,6,11,3.69732,20,20,0,0,,121,499,112,54,50,14,31,,5,114,8.49427,2.3304,3.64498,1.05626,0.228362,0.062651,0.1657109409570694,0.241913,1.18573,0.29222,0.721575,,,3.67871,2.26151,2.01547,132.50999450683594,,,,,,,552,4.56198347107438,543,4.487603305785124,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Joe Ryan","MIN",8,6,12,3.64809,21,21,0,0,,123,506,108,55,50,18,30,,5,131,9.55181,2.20467,4.33254,1.29227,0.258743,0.0597209,0.19902241602540016,0.230101,1.12272,0.281317,0.737763,,,3.74053,2.25777,2.15392,78.52999877929688,,,,,,,565,4.59349593495935,538,4.373983739837398,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Shohei Ohtani","LAD",8,4,11,2.99171,18,18,0,0,,90,366,70,33,30,10,28,,4,107,10.6884,2.7796,3.84531,1.0029,0.292488,0.0760637,0.21642474085092545,0.20824,1.08091,0.274289,0.776128,,,3.26689,2.20831,2.45787,1.2699999809265137,,,,,,,479,5.322222222222222,438,4.866666666666666,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Shane McClanahan","TBR",7,6,12,3.54669,20,20,0,0,,118,480,97,51,47,14,41,,5,120,9.1339,3.11005,2.93689,1.02921,0.249678,0.0850143,0.16466368734836578,0.224206,1.1693,0.278759,0.732146,,,3.76425,2.15116,2.24653,182.99000549316406,,,,,,,550.8,4.667796610169491,510,4.322033898305085,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Cole Ragans","KCR",7,5,11,3.66476,20,20,0,0,,114,470,95,51,46,14,43,,5,132,10.4327,3.41981,3.05066,1.08526,0.280338,0.0918941,0.18844379484653473,0.224564,1.21268,0.293256,0.735668,,,3.665,2.14041,2.13866,48.15999984741211,,,,,,,544.3999999999999,4.7754385964912265,508,4.456140350877193,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chase Burns","CIN",7,3,11,3.31632,24,18,0,0,,99,410,80,40,36,12,33,,5,119,10.8227,3.0378,3.56267,1.12811,0.289797,0.0813426,0.20845438539981842,0.213849,1.14297,0.278896,0.765396,,,3.50905,2.10547,2.43403,109.72000122070312,,,,,,,501,5.0606060606060606,463,4.6767676767676765,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Nick Lodolo","CIN",7,6,11,3.72442,20,20,0,0,,111,467,101,50,46,15,31,,5,114,9.27146,2.50942,3.69467,1.23187,0.243986,0.0660373,0.17794855684041977,0.234083,1.19154,0.283976,0.739617,,,3.82353,2.10421,2.25213,127.94999694824219,,,,,,,494.30000000000007,4.453153153153154,480,4.324324324324325,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Ranger Suarez","BOS",8,7,11,4.14852,22,22,0,0,,126,531,127,63,58,14,36,,6,111,7.95672,2.58134,3.0824,1.02759,0.20955,0.0679828,0.14156756550073624,0.260288,1.29871,0.3107,0.69829,,,3.8453,2.10204,1.73038,183.97999572753906,,,,,,,526,4.174603174603175,544,4.317460317460317,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
