Name,Team,POS,ADP,IP,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Paul Skenes ","PIT","SP",9.649999618530273,146,838.9000000000002,90.99458364714924,-51.03832574246225,48.73996243496593,"Paul Skenes","33677",694973
"Cristopher Sánchez ","PHI","SP",24.75,155,834.1,83.97007307913954,-51.03832574246225,40.34703756595644,"Cristopher Sanchez","20778",650911
"Griffin Jax ","TBR","SP",149.2100067138672,110,629.6,80.7313875766605,-51.03832574246225,36.47743785029136,"Griffin Jax","20253",643377
"Garrett Crochet ","BOS","SP",12.239999771118164,122,678.3000000000002,80.61572023728627,-51.03832574246225,36.33923786044619,"Garrett Crochet","27463",676979
"Chris Sale ","ATL","SP",39.36000061035156,124,684,80.190725384614,-51.03832574246225,35.831451612043566,"Chris Sale","10603",519242
"Tarik Skubal ","DET","SP",7.019999980926514,93,546.1,78.4595488401052,-51.03832574246225,33.76303210688645,"Tarik Skubal","22267",669373
"Jacob Misiorowski ","MIL","SP",114.13999938964844,121,649.3000000000001,76.43808032157821,-51.03832574246225,31.347770112929176,"Jacob Misiorowski","31623",694819
"Jesús Luzardo ","PHI","SP",70.58999633789062,143,733.1,75.30546573442551,-51.03832574246225,29.994515812365112,"Jesus Luzardo","19959",666200
"Logan Webb ","SFG","SP",57.189998626708984,158,794.6999999999999,75.28259664904063,-51.03832574246225,29.967191700087128,"Logan Webb","17995",657277
"Jacob deGrom ","TEX","SP",50.0099983215332,131,680.7,74.79996641354877,-51.03832574246225,29.390542371030282,"Jacob deGrom","10954",594798
"Logan Gilbert ","SEA","SP",37.150001525878906,125,642.8,72.5829870436681,-51.03832574246225,26.741682908523327,"Logan Gilbert","22250",669302
"Mason Miller ","SDP","RP",27.860000610351562,52,492.19999999999993,2.3871886979562342,33.45580642733732,26.090096587705492,"Mason Miller","31757",695243
"Zack Wheeler ","PHI","SP",110.48999786376953,135,680.5,72.00253528687685,-51.03832574246225,26.048155873768813,"Zack Wheeler","10310",554430
"Shohei Ohtani ","LAD","SP",1.2699999809265137,95,514.9000000000001,71.83967567303795,-51.03832574246225,25.85357028806685,"Shohei Ohtani","19755",660271
"Chase Burns ","CIN","SP",109.72000122070312,103,547.1,71.7177953451487,-51.03832574246225,25.707946984481378,"Chase Burns","35333",695505
"Bryan Woo ","SEA","SP",34.77000045776367,144,715.3,71.62618681236425,-51.03832574246225,25.598492592523943,"Bryan Woo","30279",693433
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,119,610.9,71.3733049606809,-51.03832574246225,25.296347929011013,"Yoshinobu Yamamoto","33825",808967
"Tyler Glasnow ","LAD","SP",113.73999786376953,104,545.4,70.74143080958501,-51.03832574246225,24.541381127342493,"Tyler Glasnow","14374",607192
"Dylan Cease ","TOR","SP",74.7699966430664,133,664.6000000000001,70.71512475183017,-51.03832574246225,24.509950501080557,"Dylan Cease","18525",656302
"Grant Taylor ","CHW","SP/RP",506.67999267578125,73,477.20000000000005,-0.13105451927748707,33.45580642733732,24.32732633564188,"Grant Taylor","33927",691799
"Max Fried ","NYY","SP",50.04999923706055,144,704.4000000000001,69.7962634078411,-51.03832574246225,23.41208978175039,"Max Fried","13743",608331
