"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Kochanowicz, Jack",686799,2026,25,200,2,15,11.5,".274",".413",".283",".350",".359","72.8",31.8,10.5,54.4,33.7,"5.2",30.6,6.4,5.6,42.4,"79.220169855","94.91116",66.7,17.6,24.8,37.5,62.5,52,66,82.4,48,23.4,44.9,42.4,59,16.7,19.4,4.9
"Bradley, Taj",671737,2026,25,199,5,26.1,8.5,".234",".395",".297",".312",".380","72",26.8,9.3,52.6,31.1,"17.7",44.5,10.2,7,45.3,"83.723387656","95.232082913",65.2,17.3,28.4,46.7,53.3,52.5,73.8,82.7,47.5,26.8,45.9,39.8,34.4,31.3,25.8,8.6
"Sasaki, Roki",808963,2026,24,157,9,19.7,10.2,".268",".486",".405",".370",".414","71.8",27.6,10.7,57.9,31.5,"15.9",35.8,12.3,3.8,46.2,"80.760695849","94.631074571",65.4,19.2,30.4,45.6,54.4,53.5,79.1,80.8,46.5,28.4,46.7,36.8,40.6,33,18.9,7.5
"Wrobleski, Justin",680736,2026,25,177,2,12.4,6.2,".264",".412",".247",".320",".334","72.3",26.7,7.8,58.2,31.9,"13.9",35.2,6.3,7.7,40.8,"77.746770429","94.114846357",65.6,10.4,29.3,26.8,73.2,45.4,84.6,89.6,54.6,14.9,49.1,35.9,40.1,28.9,26.1,4.9
"Woo, Bryan",693433,2026,26,211,6,22.3,4.7,".229",".395",".276",".290",".346","72.2",27.3,8.2,47.3,31.1,"22.4",36.2,8.6,7.2,44.1,"77.912669474","94.683668092",72.1,16.6,33.8,37.9,62.1,47.7,75.5,83.4,52.3,22.9,53.8,34.9,30.3,34.9,22.4,12.5
"Gausman, Kevin",592332,2026,35,209,6,23,4.3,".248",".409",".288",".297",".368","71.7",24.3,9.1,39.1,34.3,"14.5",34.9,9.2,4.6,36.2,"74.968217067","94.192725867",70.8,17.7,35.2,42.2,57.8,53.3,86.9,82.3,46.7,26.6,51.8,40.1,40.8,21.1,28.3,9.9
"Ray, Robbie",592662,2026,34,203,10,24.1,9.9,".235",".475",".316",".337",".407","71.9",26.1,11.1,48.1,31.5,"20.4",38.8,12.1,8.2,33.6,"77.414031231","93.448132692",71.3,17.7,30.7,44.7,55.3,56.2,71.4,82.3,43.8,27.3,48.5,34.3,29.1,41,23.9,6
"Burns, Chase",695505,2026,23,184,6,26.1,8.7,".210",".355",".272",".283",".342","72.3",27.8,11.4,51.8,32.1,"17.1",23.3,7.8,7.5,38.3,"78.375808246","94.142657699",68.8,25.8,32.4,47.2,52.8,54.5,73.5,74.2,45.5,33.5,49,40.8,47.5,24.2,17.5,10.8
"Early, Connelly",813349,2026,24,177,5,22,10.2,".242",".441",".308",".341",".386","72.4",26.7,10.2,58.2,31.8,"12.8",34.5,12.1,5.2,42.2,"80.598747018","94.752037193",60.9,12.6,30.6,36.4,63.6,54.1,75,87.4,45.9,21.5,44.5,44,41.4,30.2,23.3,5.2
"Cavalli, Cade",676917,2026,27,190,1,23.2,9.5,".246",".353",".342",".323",".356","72.1",25,9.1,53,32.2,"8.8",38.3,7.5,5.8,39.2,"79.300705667","93.961174333",61.8,13.8,30.4,47.5,52.5,52.9,68.3,86.2,47.1,25.8,45.2,35.8,44.2,24.2,28.3,3.3
