Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Cam Schlittler","NYY",5,1,0,9,9,53.1,9.956250237375503,1.5187500362098225,0.1687500040233136,0.24812030075187969,0.79326923,0.488721804,0.023255813,98.12006402220631,1.3500000321865089,2.5150938149837723,1.6437981256842606,2.532860784577209,2.375077486038208,"Cam Schlittler",32095,693645
"Dylan Cease","TOR",3,1,0,9,9,52.1,12.898089485365011,3.6114650559022032,0.17197452647153347,0.3418803418803419,0.75471698,0.47008547,0.028571428,97.98735996462264,2.407643370601469,2.888616190074326,1.8642599138141258,2.55552800513214,2.2064688205718994,"Dylan Cease",18525,656302
"Cristopher Sánchez","PHI",4,2,0,9,9,55.1,10.897590611873548,2.2771084860631294,0.4879518184420992,0.3576158940397351,0.79646018,0.601307189,0.078947368,,2.114457879915763,2.7770090901307944,2.2026836819564988,2.4627706642841147,1.9579375982284546,"Cristopher Sanchez",20778,650911
"Max Fried","NYY",4,3,0,10,10,61.2,7.297297598237635,2.772973087330301,0.14594595196475268,0.25,0.67092652,0.487951807,0.017543859,95.06169577205883,3.2108109432245593,2.4989127375249485,2.717108955313638,3.8050098494291618,1.8642529249191284,"Max Fried",13743,608331
"Jacob Misiorowski","MIL",3,2,0,9,9,51,14.117647058823529,3,0.7058823529411765,0.2604166666666667,0.81497797,0.42,0.114285714,99.72826423267327,2.1176470588235294,2.4768511746952004,2.282768748788273,2.2274033089186633,1.8604408502578735,"Jacob Misiorowski",31623,694819
"Davis Martin","CHW",5,1,0,8,8,50,9.36,1.8,0.36,0.304,0.87649402,0.408,0.045454545,94.20316386815921,1.62,3.900217573801123,2.3262981605529784,3.042732419371605,1.852239727973938,"Davis Martin",21448,663436
"Shohei Ohtani","LAD",3,2,0,7,7,44,10.227272727272727,2.25,0.4090909090909091,0.21904761904761905,0.91160221,0.509433962,0.051282051,97.98838438531354,0.8181818181818182,2.306319610519033,2.379025433280251,3.033491758020087,1.6408627033233643,"Shohei Ohtani",19755,660271
"Seth Lugo","KCR",1,3,0,9,9,52.2,7.860759873245812,3.2468355998189224,0.17088608420099594,0.3548387096774194,0.70652174,0.372549019,0.017543859,91.88030032835145,3.7594938524219104,4.850072722890512,2.6885766213949887,3.9623846393046764,1.615179419517517,"Seth Lugo",12447,607625
"Paul Skenes","PIT",6,2,0,9,9,50,10.08,1.26,0.72,0.1826086956521739,0.74829932,0.439655172,0.081632653,97.38301064311594,1.98,1.8541590527546175,2.5062981605529786,2.8432363124191764,1.6094319820404053,"Paul Skenes",33677,694973
"Shota Imanaga","CHC",4,3,0,9,9,54.1,9.77300636368749,2.153374283524362,0.8282208782786007,0.23134328358208955,0.80952381,0.36231884,0.080645161,91.90337053571429,2.319018459180082,2.8985084813890203,2.8486294428663035,3.25560639146125,1.5766509771347046,"Shota Imanaga",33829,684007
"Tarik Skubal","DET",3,2,0,7,7,43.1,9.346154120405759,1.2461538827207677,0.41538462757358924,0.29464285714285715,0.71428571,0.459459459,0.0625,97.14186862244898,2.7000000792283303,3.157943821792368,2.113990439127182,2.551557662164527,1.5433343648910522,"Tarik Skubal",22267,669373
"Nolan McLean","NYM",1,2,0,8,8,45.1,11.316176787998446,2.3823530079996726,0.5955882519999182,0.25742574257425743,0.69587629,0.461538461,0.09375,96.77330123546511,2.779411842666285,2.320997771702046,2.37835696366419,2.509855035923702,1.5001450777053833,"Nolan McLean",33703,690997
"Parker Messick","CLE",5,1,0,9,9,53.2,9.726708535458988,2.3478261982142383,0.8385093565050851,0.2677165354330709,0.85106383,0.480620155,0.108695652,93.90499327612704,2.3478261982142383,3.087047354213782,2.9944969130189674,2.987635871735133,1.4122802019119263,"Parker Messick",31986,800048
"Jacob deGrom","TEX",3,2,0,8,8,44.2,11.485075280777393,1.6119403902845462,1.2089552927134097,0.2621359223300971,0.85889571,0.296296296,0.109090909,97.4373809070122,2.6194031342123876,3.0200153339708313,2.8376414288388876,2.821458021413685,1.341890811920166,"Jacob deGrom",10954,594798
