Name,Org,Savant_Level,Player_Type,Pos,Age,PA,Pitches,PS Score,xwOBA,wOBA,Evidence_Score,Confidence,Confidence_Label,Pipeline_Rank,Composite_Rank,MLBAMID,Composite_MLBAMID,Prior_Value,Prospect_Update,Updated_Prospect_Value,Avg_Salary,Last10_Salary,Roster%,Match_Status,Savant_File
Seth Hernandez,PIT,A,pitcher,SP,19,102,371,1.000,0.179,0.212,0.986,0.457,Medium,3.000,38.000,815825,815825,25.000,3.552,28.552,0.000,0.000,0.000,name_org,A_pitchers_YTD_5_14.csv
Trey Yesavage,TOR,AAA,pitcher,SP,22,33,135,0.749,0.303,0.436,0.625,0.319,Medium,5.000,17.000,702056,702056,25.000,0.638,25.638,7.350,12.100,100.000,name_org,AAA_pitchers_YTD_5_14.csv
Bryce Eldridge,SFG,AAA,hitter,1B/DH,21,136,571,0.982,0.958,0.919,0.975,1.000,High,18.000,,805811,,15.000,7.595,22.595,5.700,5.300,99.301,name_org,AAA_hitters_YTD_5_14.csv
Travis Bazzana,CLE,AAA,hitter,2B,23,116,484,0.991,0.798,0.863,0.933,0.866,High,13.000,25.000,683953,683953,15.000,6.002,21.002,7.140,6.500,100.000,name_org,AAA_hitters_YTD_5_14.csv
Walker Jenkins,MIN,AAA,hitter,OF,21,111,401,1.000,0.565,0.620,0.869,0.918,High,12.000,7.000,805805,805805,15.000,5.424,20.424,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Spencer Strider,ATL,AAA,pitcher,SP,27,35,147,0.947,0.252,0.211,0.835,0.259,Medium,,,,,17.802,1.388,19.190,19.780,15.600,99.301,savant_only,AAA_pitchers_YTD_5_14.csv
Thomas White,MIA,AAA,pitcher,SP,21,61,294,0.980,0.258,0.306,0.847,0.729,High,14.000,15.000,806258,806258,15.000,4.047,19.047,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Max Clark,DET,AAA,hitter,OF,21,162,644,0.916,0.318,0.303,0.736,1.000,High,8.000,6.000,703601,703601,15.000,3.781,18.781,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Colt Emerson,SEA,AAA,hitter,SS,20,153,595,0.614,0.286,0.577,0.516,1.000,High,6.000,9.000,806068,806068,15.000,0.255,15.255,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Bryce Rainer,DET,A,hitter,SS,20,49,209,0.914,0.590,0.201,0.817,0.190,Low,46.000,20.000,800614,800614,13.000,0.603,13.603,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Hagen Smith,CHW,AAA,pitcher,SP,22,112,485,0.992,0.254,0.297,0.861,1.000,High,50.000,86.000,696146,696146,8.000,3.615,11.615,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Kaelen Culpepper,MIN,AAA,hitter,SS,23,173,674,0.958,0.599,0.595,0.850,1.000,High,39.000,50.000,701785,701785,8.000,3.503,11.503,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Robby Snelling,MIA,AAA,pitcher,SP,22,109,490,0.970,0.266,0.217,0.828,1.000,High,28.000,35.000,702281,702281,8.000,3.277,11.277,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
Jackson Holliday,BAL,AAA,hitter,2B,22,54,215,0.154,0.117,0.017,0.143,0.425,Medium,,,,,12.438,-1.214,11.224,13.820,13.400,100.000,savant_only,AAA_hitters_YTD_5_14.csv
Ryan Waldschmidt,ARI,AAA,hitter,OF,23,153,614,0.910,0.447,0.779,0.771,1.000,High,33.000,29.000,814439,814439,8.000,2.709,10.709,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Joe Mack,MIA,AAA,hitter,C,23,102,431,0.883,0.779,0.587,0.851,0.762,High,44.000,87.000,691788,691788,8.000,2.676,10.676,1.820,2.100,26.573,name_org,AAA_hitters_YTD_5_14.csv
Gage Jump,ATH,AAA,pitcher,SP,23,128,564,0.960,0.313,0.385,0.746,1.000,High,41.000,55.000,695611,695611,8.000,2.464,10.464,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
JoJo Parker,TOR,A,hitter,3B/SS,19,135,635,0.993,0.802,0.701,0.936,0.554,High,32.000,46.000,828098,828098,8.000,2.415,10.415,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
George Lombard Jr.,NYY,AAA,hitter,SS,20,59,235,0.997,0.964,0.289,0.987,0.492,Medium,21.000,,806146,,8.000,2.395,10.395,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Jonah Tong,NYM,AAA,pitcher,SP,22,153,653,0.935,0.313,0.303,0.730,1.000,High,36.000,37.000,804636,804636,8.000,2.300,10.300,0.000,0.000,0.000,name_org,AAA_pitchers_YTD_5_14.csv
A.J. Ewing,NYM,AAA,hitter,OF,21,51,182,0.994,0.973,0.654,0.988,0.422,Medium,34.000,76.000,805999,805999,8.000,2.056,10.056,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Noah Schultz,CHW,AAA,pitcher,SP,22,45,166,1.000,0.149,0.146,1.000,0.392,Medium,27.000,65.000,702273,702273,8.000,1.959,9.959,3.540,6.300,99.301,name_org,AAA_pitchers_YTD_5_14.csv
Jasson Domínguez,NYY,AAA,hitter,OF,23,105,402,0.988,0.895,0.798,0.960,0.784,High,,,,,6.840,2.885,9.725,7.600,6.500,97.902,savant_only,AAA_hitters_YTD_5_14.csv
Angel Genao,CLE,AAA,hitter,SS,21,37,129,0.949,0.432,0.901,0.794,0.306,Medium,47.000,83.000,694197,694197,8.000,0.899,8.899,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Jett Williams,MIL,AAA,hitter,SS,22,177,708,0.804,0.414,0.410,0.687,1.000,High,60.000,39.000,702518,702518,7.000,1.872,8.872,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Edward Florentino,PIT,A,hitter,OF,19,40,161,0.986,1.000,1.000,0.990,0.164,Low,37.000,32.000,821273,821273,8.000,0.805,8.805,0.000,0.000,0.000,name_org,A_hitters_YTD_5_14.csv
Payton Tolle,BOS,AAA,pitcher,SP,23,61,220,0.997,0.200,0.274,0.951,0.493,Medium,,30.000,,801139,7.000,1.777,8.777,4.520,5.400,99.301,name_org,AAA_pitchers_YTD_5_14.csv
Braden Montgomery,CHW,AAA,hitter,OF,23,37,128,0.328,0.143,0.370,0.273,0.276,Medium,24.000,54.000,695731,695731,8.000,-0.628,7.372,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Pedro Ramírez,CHC,AAA,hitter,2B/3B,22,174,690,0.973,0.637,0.828,0.872,1.000,High,87.000,380.000,699393,699393,3.000,3.721,6.721,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Emmanuel Rodriguez,MIN,AAA,hitter,OF,23,108,461,0.985,0.902,0.846,0.960,0.806,High,54.000,59.000,691181,691181,3.000,3.710,6.710,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
Charlie Condon,COL,AAA,hitter,1B/OF,23,158,621,0.919,0.690,0.502,0.850,1.000,High,75.000,77.000,809707,809707,3.000,3.500,6.500,0.000,0.000,0.000,name_org,AAA_hitters_YTD_5_14.csv
