Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez ","HOU","OF/DH",33.38999938964844,194,364.1,152.230500957715,-105.19685214046616,48.03364881724892,"Yordan Alvarez","19556",670541
"Aaron Judge ","NYY","OF/DH",1.850000023841858,194,358,150.611329934348,-105.19685214046616,46.414477793882384,"Aaron Judge","15640",592450
"Matt Olson ","ATL","1B",48.0099983215332,190,351.4,149.835733418428,-105.9944605830389,44.84127283538921,"Matt Olson","14344",621566
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,160,322.1,149.380604577223,-105.85526754664158,44.52533703058081,"Ben Rice","29576",700250
"Shea Langeliers ","ATH","C/DH",54.04999923706055,174,324,146.467909482063,-105.85526754664158,41.61264193542178,"Shea Langeliers","25816",669127
"Kyle Schwarber ","PHI","OF/DH",24.690000534057617,192,329.3,143.481409710239,-105.19685214046616,39.28455756977286,"Kyle Schwarber","16478",656941
"Mickey Moniak ","COL","OF/DH",245.8300018310547,137,273.3,142.040923692068,-105.19685214046616,37.8440715516028,"Mickey Moniak","19956",666160
"James Wood ","WSN","OF/DH",37.790000915527344,204,329.6,140.632160740681,-105.19685214046616,36.435308600214796,"James Wood","29518",695578
"CJ Abrams ","WSN","SS",65,179,293.4,137.125143773228,-102.93480354017505,35.190340233052616,"CJ Abrams","25768",682928
"Mike Trout ","LAA","OF/DH",178.44000244140625,195,316.1,139.245409707982,-105.19685214046616,35.04855756751594,"Mike Trout","10155",545361
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,193,304.8,136.734108468557,-102.93480354017505,34.79930492838247,"Bobby Witt Jr.","25764",677951
"Byron Buxton ","MIN","OF/DH",73.4800033569336,185,297,136.616279949205,-105.19685214046616,32.41942780873896,"Byron Buxton","14161",621439
"Jordan Walker ","STL","OF",511.7200012207031,176,288.5,136.556718279921,-105.19685214046616,32.359866139455335,"Jordan Walker","27475",691023
"Brice Turang ","MIL","2B",48.18000030517578,171,275.4,134.299848952508,-103.65925471038116,31.64059424212707,"Brice Turang","22186",668930
"Elly De La Cruz ","CIN","SS/DH",8.449999809265137,191,289.6,133.187599525669,-102.93480354017505,31.25279598549405,"Elly De La Cruz","26668",682829
"Drake Baldwin ","ATL","C/DH",78.62999725341797,196,304.3,135.869169449375,-105.85526754664158,31.013901902733682,"Drake Baldwin","31539",686948
"Xavier Edwards ","MIA","2B/SS",182.42999267578125,181,274.7,131.673308832161,-102.93480354017505,29.738505291985863,"Xavier Edwards","22266",669364
"Andy Pages ","LAD","OF",133.4199981689453,172,272.8,133.365637122585,-105.19685214046616,29.168784982119217,"Andy Pages","24816",681624
"Brandon Lowe ","PIT","2B/DH",187.57000732421875,166,258.4,131.007771921631,-103.65925471038116,28.348517211249913,"Brandon Lowe","18882",664040
"Riley Greene ","DET","OF/DH",78.4800033569336,179,275.4,132.347262064933,-105.19685214046616,28.15040992446672,"Riley Greene","25976",682985
"Kevin McGonigle ","DET","3B/SS",999,181,266.9,129.602893425233,-102.93480354017505,27.66808988505812,"Kevin McGonigle","33572",805808
"Nick Kurtz ","ATH","1B/DH",19.8700008392334,189,283,131.923856287855,-105.9944605830389,26.92939570481598,"Nick Kurtz","35110",701762
"Munetaka Murakami ","CHW","1B",999,182,275.7,131.694673343897,-105.9944605830389,26.700212760858147,"Munetaka Murakami","37120",808959
"Bryce Harper ","PHI","1B",47.900001525878906,178,271.4,131.529583935148,-105.9944605830389,26.535123352108744,"Bryce Harper","11579",547180
"Ildemaro Vargas ","ARI","1B/2B/3B/DH",999,146,233,129.14711717442,-103.65925471038116,26.487862464038926,"Ildemaro Vargas","13324",545121
"Randy Arozarena ","SEA","OF",89.37999725341797,185,273.9,130.484665090227,-105.19685214046616,26.287812949760678,"Randy Arozarena","19290",668227
"Max Muncy ","LAD","3B",234.3699951171875,156,249.1,130.979933315148,-105.95043673902461,26.029496576123318,"Max Muncy","13301",571970
"Otto Lopez ","MIA","2B/SS",229.16000366210938,177,255.6,127.579738907702,-102.93480354017505,25.644935367527395,"Otto Lopez","19608",672640
"Corbin Carroll ","ARI","OF/DH",14.100000381469727,167,254.5,129.72849085722,-105.19685214046616,25.531638716754134,"Corbin Carroll","25878",682998
"Oneil Cruz ","PIT","OF",92.93000030517578,189,271.1,128.765145602927,-105.19685214046616,24.568293462460485,"Oneil Cruz","21711",665833
"Sal Stewart ","CIN","1B/2B/3B",161.8699951171875,187,262.9,127.076701768819,-103.65925471038116,24.417447058438395,"Sal Stewart","31505",701398
"Miguel Vargas ","CHW","1B/3B/DH",303.0899963378906,181,265.2,129.151649041672,-105.95043673902461,24.20121230264741,"Miguel Vargas","20178",678246
"Christian Walker ","HOU","1B",212.94000244140625,179,263.4,129.162007592736,-105.9944605830389,24.167547009697465,"Christian Walker","13419",572233
"Ryan Jeffers ","MIN","C/DH",298.05999755859375,128,213.6,128.390942941414,-105.85526754664158,23.535675394771932,"Ryan Jeffers","24618",680777
"Cody Bellinger ","NYY","1B/OF",80.98999786376953,185,262.2,127.379041979835,-105.19685214046616,23.182189839369055,"Cody Bellinger","15998",641355
"Chase DeLauter ","CLE","OF/DH",999,165,243.3,127.243733405064,-105.19685214046616,23.04688126459786,"Chase DeLauter","32127",800050
"Carlos Cortes ","ATH","OF/DH",999,107,189.9,127.225605938711,-105.19685214046616,23.028753798244452,"Carlos Cortes","21842",666126
"Jonathan Aranda ","TBR","1B/DH",195.60000610351562,181,260.9,128.010266189135,-105.9944605830389,23.01580560609605,"Jonathan Aranda","21837",666018
"Wilyer Abreu ","BOS","OF",199.89999389648438,175,251.6,127.006134138864,-105.19685214046616,22.809281998397964,"Wilyer Abreu","23772",677800
"Josh Jung ","TEX","3B/DH",610.5,164,243.2,127.461262978743,-105.95043673902461,22.510826239718043,"Josh Jung","26299",673962
"Colson Montgomery ","CHW","3B/SS",254.75,175,238.7,123.581985581253,-102.93480354017505,21.647182041077816,"Colson Montgomery","29712",695657
"Liam Hicks ","MIA","C/1B/DH",748.5399780273438,147,221,125.717789341277,-105.85526754664158,20.86252179463505,"Liam Hicks","29844",689414
"Brandon Marsh ","PHI","OF",609.72998046875,151,222.1,125.03347755744,-105.19685214046616,20.836625416974172,"Brandon Marsh","20202",669016
"Ian Happ ","CHC","OF/DH",184.86000061035156,185,252.9,124.910469763883,-105.19685214046616,20.713617623416773,"Ian Happ","17919",664023
"JJ Wetherholt ","STL","2B",999,193,252.2,122.77207636543,-103.65925471038116,20.112821655048336,"JJ Wetherholt","34985",802139
"Ozzie Albies ","ATL","2B",150.5,184,243.4,122.632883334341,-103.65925471038116,19.973628623959787,"Ozzie Albies","16556",645277
"Iván Herrera ","STL","C/DH",178.42999267578125,192,255,123.759375769889,-105.85526754664158,18.904108223247327,"Ivan Herrera","20599",671056
"Seiya Suzuki ","CHC","OF/DH",113.43000030517578,127,190.9,122.609576592455,-105.19685214046616,18.412724451989178,"Seiya Suzuki","30116",673548
"Casey Schmitt ","SFG","1B/2B/3B/DH",999,142,198.4,120.939260223374,-103.65925471038116,18.280005512993295,"Casey Schmitt","27577",669477
"Luke Raley ","SEA","1B/OF/DH",748.25,119,181.9,122.173222625883,-105.19685214046616,17.97637048541713,"Luke Raley","19354",670042
"Michael Harris II ","ATL","OF",99.06999969482422,142,202.3,121.974467926838,-105.19685214046616,17.777615786372152,"Michael Harris II","25931",671739
"Willson Contreras ","BOS","1B/DH",168.1999969482422,170,229.7,122.41341153184,-105.9944605830389,17.41895094880118,"Willson Contreras","11609",575929
"Nico Hoerner ","CHC","2B/SS",101.93000030517578,193,239.2,119.32138402055,-102.93480354017505,17.386580480374853,"Nico Hoerner","21479",663538
"Shohei Ohtani ","LAD","DH",1.2699999809265137,185,243.2,122.335722398857,-105.9944605830389,17.341261815818527,"Shohei Ohtani","19755",660271
"Dalton Rushing ","LAD","C/1B",745.8300170898438,70,136,121.94921895613,-105.85526754664158,17.09395140948888,"Dalton Rushing","31382",687221
"Taylor Ward ","BAL","OF/DH",148.42999267578125,195,248.3,121.248721940072,-105.19685214046616,17.05186979960561,"Taylor Ward","17548",621493
"Ryan O'Hearn ","PIT","1B/OF/DH",285.44000244140625,172,226.5,121.075863617361,-105.19685214046616,16.879011476894313,"Ryan O'Hearn","16442",656811
"Junior Caminero ","TBR","3B/DH",16.479999542236328,183,238.1,121.470135970068,-105.95043673902461,16.519699231043127,"Junior Caminero","28163",691406
"Adley Rutschman ","BAL","C/DH",148.92999267578125,112,171.5,121.121182276608,-105.85526754664158,16.265914729966457,"Adley Rutschman","26288",668939
"Alec Burleson ","STL","1B/OF/DH",175.19000244140625,183,234.1,120.408384479335,-105.19685214046616,16.211532338869397,"Alec Burleson","27615",676475
"Ezequiel Duran ","TEX","1B/2B/3B/SS/OF",999,116,163.9,118.127561000429,-102.93480354017505,16.1927574602542,"Ezequiel Duran","23733",677649
"Oswald Peraza ","LAA","1B/2B/3B/SS",999,123,169.5,117.905499560826,-102.93480354017505,15.970696020650834,"Oswald Peraza","22823",672724
"Austin Martin ","MIN","OF",748.5599975585938,125,179.8,120.151362927567,-105.19685214046616,15.954510787101249,"Austin Martin","27462",668885
"JJ Bleday ","CIN","OF",748.5800170898438,61,120.5,120.031592178066,-105.19685214046616,15.834740037599378,"JJ Bleday","26368",668709
"Yandy Díaz ","TBR","1B/DH",138.63999938964844,176,228.8,120.710077280744,-105.9944605830389,15.715616697704933,"Yandy Diaz","16578",650490
"Bryan Reynolds ","PIT","OF/DH",204.72000122070312,186,233.5,119.516901672885,-105.19685214046616,15.3200495324188,"Bryan Reynolds","19326",668804
"Hunter Goodman ","COL","C/DH",67.36000061035156,160,211.1,119.917000709405,-105.85526754664158,15.061733162763018,"Hunter Goodman","29715",696100
"Troy Johnston ","COL","1B/OF/DH",748.4099731445312,140,189.6,119.091553665658,-105.19685214046616,14.894701525191326,"Troy Johnston","26143",687859
"Jake Bauers ","MIL","1B/OF/DH",999,142,190.9,118.948476178252,-105.19685214046616,14.751624037785461,"Jake Bauers","15194",641343
"Xander Bogaerts ","SDP","SS/DH",237.1999969482422,166,204.4,116.674126796747,-102.93480354017505,14.739323256571673,"Xander Bogaerts","12161",593428
"Dominic Smith ","ATL","1B/DH",999,89,142.7,119.090258845115,-105.9944605830389,14.09579826207658,"Dominic Smith","15653",642086
"Kyle Tucker ","LAD","OF/DH",13.130000114440918,181,223.1,117.976714601716,-105.19685214046616,13.77986246124973,"Kyle Tucker","18345",663656
"Michael Conforto ","CHC","OF/DH",999,59,110.7,117.918447747665,-105.19685214046616,13.721595607199388,"Michael Conforto","16376",624424
"Daniel Schneemann ","CLE","2B/3B/SS/OF",999,129,165.5,115.379307904412,-102.93480354017505,13.444504364237158,"Daniel Schneemann","25180",682177
"Kazuma Okamoto ","TOR","3B",999,177,220.8,118.342500938333,-105.95043673902461,13.392064199307962,"Kazuma Okamoto","37123",672960
"Julio Rodríguez ","SEA","OF",9.489999771118164,192,231.2,117.441954400033,-105.19685214046616,13.245102259566314,"Julio Rodriguez","23697",677594
"Brandon Nimmo ","TEX","OF/DH",145.4600067138672,181,220.4,117.260032345472,-105.19685214046616,13.063180205005535,"Brandon Nimmo","12927",607043
"Angel Martínez ","CLE","2B/OF",748.5800170898438,143,179.1,115.572235919645,-103.65925471038116,12.91298120926364,"Angel Martinez","26540",682657
"TJ Rumfield ","COL","1B/DH",999,171,213.2,117.789613271623,-105.9944605830389,12.79515268858404,"TJ Rumfield","29805",681198
"Freddie Freeman ","LAD","1B",67.87999725341797,177,218.5,117.731993831162,-105.9944605830389,12.737533248122677,"Freddie Freeman","5361",518692
"Maikel Garcia ","KCR","2B/3B/SS/OF/DH",63.150001525878906,180,212.3,115.354058937686,-103.65925471038116,12.694804227304807,"Maikel Garcia","22715",672580
"Daylen Lile ","WSN","OF/DH",206.50999450683594,186,221.6,116.358190987957,-105.19685214046616,12.161338847490589,"Daylen Lile","29995",695734
"Zach Neto ","LAA","SS",32.29999923706055,203,228.1,113.934290024299,-102.93480354017505,11.999486484123905,"Zach Neto","31347",687263
"Joey Wiemer ","WSN","OF",999,75,118.8,116.163320741248,-105.19685214046616,11.966468600781386,"Joey Wiemer","27690",686894
"Samuel Basallo ","BAL","C/1B/DH",160.94000244140625,130,171.8,116.807493141368,-105.85526754664158,11.952225594726892,"Samuel Basallo","28824",694212
"José Ramírez ","CLE","3B/DH",6.28000020980835,197,233.6,116.858638489737,-105.95043673902461,11.908201750712605,"Jose Ramirez","13510",608070
"Spencer Steer ","CIN","1B/OF/DH",335.70001220703125,160,196.5,116.041607768232,-105.19685214046616,11.844755627766023,"Spencer Steer","26323",668715
"Jake McCarthy ","COL","OF",506.760009765625,93,134,115.804655908985,-105.19685214046616,11.607803768519164,"Jake McCarthy","21622",664983
"Spencer Horwitz ","PIT","1B",738.1500244140625,142,180.9,116.294097451421,-105.9944605830389,11.299636868382295,"Spencer Horwitz","26477",687462
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,181,212.8,115.242704513081,-105.9944605830389,10.248243930041664,"Vladimir Guerrero Jr.","19611",665489
"Nathaniel Lowe ","CIN","1B/DH",999,97,135.5,115.226519274222,-105.9944605830389,10.232058691183346,"Nathaniel Lowe","19566",663993
"Carlos Correa ","HOU","3B/SS",281.2300109863281,141,175.7,115.157893874416,-105.95043673902461,10.207457135391678,"Carlos Correa","14162",621043
"Paul Goldschmidt ","NYY","1B",748.3599853515625,70,110.5,115.180553202713,-105.9944605830389,10.186092619673984,"Paul Goldschmidt","9218",502671
"Curtis Mead ","WSN","1B/2B/3B/DH",999,104,132.8,112.80132349135,-103.65925471038116,10.142068780968446,"Curtis Mead","23986",678554
"Luis Campusano ","SDP","C/DH",999,58,98.5,114.924179061879,-105.85526754664158,10.068911515237748,"Luis Campusano","22217",669134
"Ceddanne Rafaela ","BOS","2B/OF",125.02999877929688,148,172.8,112.679610517007,-103.65925471038116,10.020355806625888,"Ceddanne Rafaela","24262",678882
"Nolan Arenado ","ARI","3B/DH",638.0599975585938,149,182,114.877565584744,-105.95043673902461,9.927128845719531,"Nolan Arenado","9777",571448
"Juan Soto ","NYM","OF/DH",4.650000095367432,115,145.6,113.514121291276,-105.19685214046616,9.317269150810308,"Juan Soto","20123",665742
"Jorge Soler ","LAA","OF/DH",634.8099975585938,170,195.7,113.388523860617,-105.19685214046616,9.191671720150431,"Jorge Soler","14221",624585
"Dillon Dingler ","DET","C/DH",254.6199951171875,148,177.1,113.820993369544,-105.85526754664158,8.965725822902536,"Dillon Dingler","27464",693307
"Brendan Donovan ","SEA","2B/3B/SS/OF",268.5799865722656,91,116.4,111.621096071658,-103.65925471038116,8.961841361276445,"Brendan Donovan","24679",680977
"William Contreras ","MIL","C/DH",56.560001373291016,169,196.2,113.765316157905,-105.85526754664158,8.910048611263441,"William Contreras","20503",661388
"Nick Gonzales ","PIT","2B/3B/SS",999,158,174.4,110.663577503831,-102.93480354017505,8.728773963655696,"Nick Gonzales","27490",693304
"Konnor Griffin ","PIT","SS",999,148,164.9,110.582651322811,-102.93480354017505,8.647847782635933,"Konnor Griffin","35376",804606
"Trevor Larnach ","MIN","OF/DH",748.52001953125,118,145.1,112.649182272094,-105.19685214046616,8.452330131628063,"Trevor Larnach","21501",663616
"Heliot Ramos ","SFG","OF",218.8000030517578,169,190.9,112.358495432685,-105.19685214046616,8.161643292218745,"Heliot Ramos","22515",671218
"Miguel Andujar ","SDP","3B/OF/DH",722.9099731445312,114,143.1,113.094599970516,-105.95043673902461,8.144163231491195,"Miguel Andujar","15878",609280
"Brayan Rocchio ","CLE","2B/SS",999,162,175,109.846546783653,-102.93480354017505,7.91174324347785,"Brayan Rocchio","23690",677587
"Chase Meidroth ","CHW","2B/SS",646.8699951171875,172,183.8,109.741666453794,-102.93480354017505,7.806862913619476,"Chase Meidroth","31580",805367
"José Tena ","WSN","2B/3B/DH",999,83,104.5,110.414972274305,-103.65925471038116,7.755717563923563,"Jose Tena","23691",677588
"Pete Alonso ","BAL","1B/DH",24.440000534057617,187,208.7,112.689969069399,-105.9944605830389,7.695508486359687,"Pete Alonso","19251",624413
"Brooks Lee ","MIN","2B/3B/SS",542.5700073242188,154,166.6,109.569455540691,-102.93480354017505,7.634652000515621,"Brooks Lee","31595",686797
"Luis Arraez ","SFG","1B/2B/DH",280.04998779296875,173,185.7,110.001925050945,-103.65925471038116,7.342670340564264,"Luis Arraez","18568",650333
"Dominic Canzone ","SEA","OF/DH",477.1600036621094,99,123.2,111.473486718327,-105.19685214046616,7.276634577860803,"Dominic Canzone","26438",686527
"Justin Crawford ","PHI","OF",999,134,155.3,111.451474798311,-105.19685214046616,7.254622657844438,"Justin Crawford","31791",702222
"Gary Sánchez ","MIL","C/1B/DH",999,99,125.1,111.977818676425,-105.85526754664158,7.122551129783147,"Gary Sanchez","11442",596142
"Moisés Ballesteros ","CHC","C/DH",594.3599853515625,117,141.5,111.937679291382,-105.85526754664158,7.082411744740583,"Moises Ballesteros","28820",694208
"Ronald Acuña Jr. ","ATL","OF/DH",5.260000228881836,152,171,111.22552890239,-105.19685214046616,7.028676761923755,"Ronald Acuna Jr.","18401",660670
